Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
Capture Frame Rate,240.000000,,,,,,,nan,,,,,,,,nan,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,battery_state,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,gripper_state,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,chisel_state,C1_X,C1_Y,C1_Z,C3_X,C3_Y,C3_Z,A1_X,A1_Y,A1_Z,B3_X,B3_Y,B3_Z,A3_X,A3_Y,A3_Z,A2_X,A2_Y,A2_Z,B2_X,B2_Y,B2_Z,B1_X,B1_Y,B1_Z,C2_X,C2_Y,C2_Z
0.004167,0.300043,0.038993,0.137705,-0.999999,0.000795,0.000667,0.000637,-1,0.22784,0.325781,0.275843,-0.449141,-0.509072,-0.672262,0.295265,-1,0.005549,0.136616,0.314581,-0.627394,0.068944,-0.771523,-0.079851,-1,0.378071,-0.107501,0.134015,0.225723,-0.1078,0.134743,0.380902,0.197648,0.131121,0.223199,0.038882,0.126694,0.218784,0.19582,0.129629,0.298305,0.197908,0.130158,0.299019,0.039177,0.124995,0.380502,0.038993,0.124326,0.29867,-0.107886,0.133077
0.008333,0.300045,0.039002,0.137723,-0.999999,0.000803,0.000645,0.000639,-1,0.227852,0.325746,0.275746,-0.448973,-0.509143,-0.672346,0.295208,-1,0.005635,0.136565,0.314533,-0.627343,0.068908,-0.771554,-0.079981,-1,0.378076,-0.107488,0.134023,0.225737,-0.107787,0.134766,0.380903,0.197656,0.131114,0.2232,0.038881,0.126696,0.218779,0.195822,0.129632,0.298303,0.197909,0.130162,0.29902,0.039169,0.124997,0.380498,0.039003,0.124337,0.29868,-0.107884,0.133079
0.012500,0.300019,0.039059,0.138392,-0.999999,0.000682,-0.000747,0.000671,-1,0.22786,0.32575,0.275613,-0.448676,-0.509238,-0.67254,0.295053,-1,0.005781,0.136625,0.314531,-0.62746,0.06883,-0.771388,-0.080727,-1,0.378101,-0.107485,0.134031,0.225746,-0.107774,0.13477,0.380909,0.197651,0.131144,0.22321,0.038878,0.126714,0.218798,0.195807,0.129649,0.298313,0.197905,0.130187,0.299032,0.039162,0.125019,0.380508,0.03899,0.124348,0.298701,-0.107879,0.133072
0.016667,0.300054,0.039088,0.138335,-0.999999,0.000654,-0.00059,0.000723,-1,0.227868,0.325734,0.275482,-0.448411,-0.50932,-0.672696,0.294959,-1,0.005875,0.136579,0.314463,-0.627384,0.068906,-0.771436,-0.080798,-1,0.378119,-0.107489,0.134025,0.22577,-0.107773,0.134753,0.38093,0.197636,0.131148,0.223228,0.03887,0.126723,0.218818,0.1958,0.129657,0.298328,0.197901,0.130187,0.299046,0.039161,0.125012,0.380531,0.038987,0.124347,0.298726,-0.107888,0.133057
0.020833,0.300044,0.039053,0.138411,-0.999999,0.000712,-0.00078,0.00067,-1,0.227872,0.32572,0.275351,-0.448123,-0.509427,-0.672858,0.294843,-1,0.005959,0.136534,0.314393,-0.627291,0.069041,-0.771495,-0.080834,-1,0.378134,-0.107492,0.134036,0.225779,-0.107769,0.134764,0.380942,0.197633,0.131167,0.223247,0.038866,0.126729,0.218843,0.195779,0.129678,0.298349,0.19789,0.13022,0.299061,0.039147,0.125037,0.380537,0.038967,0.124364,0.29874,-0.107893,0.133068
0.025000,0.300045,0.039057,0.138379,-0.999999,0.000678,-0.000646,0.000656,-1,0.227883,0.32565,0.275283,-0.448023,-0.509468,-0.672896,0.294836,-1,0.006037,0.136485,0.314336,-0.627223,0.069148,-0.771536,-0.080879,-1,0.378128,-0.107497,0.134044,0.22577,-0.107789,0.134766,0.380948,0.197621,0.131194,0.223253,0.03885,0.12675,0.218847,0.195769,0.129703,0.298353,0.197881,0.130235,0.299064,0.039139,0.125056,0.38055,0.038961,0.124385,0.298739,-0.1079,0.133064
0.029167,0.300022,0.038914,0.137417,-0.999997,-0.00046,0.002222,0.000682,-1,0.227876,0.325603,0.275181,-0.447832,-0.509566,-0.672987,0.294749,-1,0.006095,0.136425,0.314262,-0.627109,0.069221,-0.771617,-0.080935,-1,0.378128,-0.10752,0.134062,0.225763,-0.107793,0.134795,0.380947,0.197608,0.131221,0.223248,0.038837,0.12678,0.218845,0.195744,0.129731,0.298352,0.197874,0.130279,0.299051,0.039123,0.125068,0.38054,0.038953,0.124413,0.298724,-0.107923,0.133096
0.033333,0.299978,0.038989,0.138631,-0.999999,0.000865,-0.00134,0.000539,-1,0.227865,0.325533,0.275088,-0.447723,-0.509691,-0.67298,0.294714,-1,0.006157,0.136346,0.314172,-0.626995,0.069245,-0.771705,-0.080957,-1,0.378105,-0.107534,0.13408,0.225748,-0.107806,0.134802,0.380935,0.197601,0.13122,0.223243,0.038839,0.126781,0.218836,0.195745,0.129746,0.298348,0.197858,0.130271,0.299044,0.039112,0.125078,0.380528,0.038946,0.124422,0.298704,-0.107946,0.133102
