Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
Capture Frame Rate,240.000000,,,,,,,nan,,,,,,,,nan,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,battery_state,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,gripper_state,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,chisel_state,C1_X,C1_Y,C1_Z,C3_X,C3_Y,C3_Z,A1_X,A1_Y,A1_Z,B3_X,B3_Y,B3_Z,A3_X,A3_Y,A3_Z,A2_X,A2_Y,A2_Z,B2_X,B2_Y,B2_Z,B1_X,B1_Y,B1_Z,C2_X,C2_Y,C2_Z
0.004167,0.300345,0.038814,0.138549,-0.999999,0.000108,-0.00169,-0.000232,-1,0.210706,0.308829,0.267634,-0.495982,-0.528978,-0.652748,0.219328,-1,-0.058155,0.144053,0.317693,-0.583045,-0.061508,-0.809689,-0.026049,-1,0.37788,-0.107497,0.133439,0.225691,-0.108146,0.132891,0.380844,0.197649,0.130812,0.223212,0.038974,0.125872,0.218505,0.195547,0.128992,0.298266,0.19796,0.12958,0.298972,0.039196,0.124427,0.380507,0.03906,0.123801,0.298652,-0.107896,0.132404
0.008333,0.300384,0.038773,0.138406,-0.999999,5e-06,-0.001125,-0.000254,-1,0.210775,0.308849,0.267564,-0.495751,-0.529148,-0.6528,0.219284,-1,-0.058035,0.144028,0.317676,-0.583019,-0.060989,-0.809757,-0.025749,-1,0.377915,-0.107541,0.13349,0.225663,-0.10789,0.133209,0.380903,0.197587,0.130877,0.223257,0.038935,0.125916,0.218609,0.195432,0.129142,0.298317,0.197912,0.129641,0.299026,0.039148,0.124492,0.380537,0.039015,0.123825,0.298686,-0.107957,0.132461
0.012500,0.300382,0.038706,0.13865,-0.999998,0.000226,-0.001793,-0.000306,-1,0.210824,0.308881,0.267456,-0.495459,-0.529249,-0.652953,0.219245,-1,-0.057922,0.144002,0.317642,-0.583012,-0.060648,-0.809792,-0.025591,-1,0.37795,-0.107603,0.133533,0.22569,-0.107929,0.13323,0.380949,0.197519,0.130915,0.223284,0.038892,0.125951,0.218683,0.195334,0.129223,0.298348,0.197868,0.129686,0.299059,0.039092,0.124535,0.380567,0.038969,0.123852,0.298718,-0.108007,0.132483
0.016667,0.300385,0.038683,0.138685,-0.999998,0.000257,-0.001822,-0.000313,-1,0.210969,0.308249,0.267972,-0.496726,-0.529009,-0.651797,0.220394,-1,-0.057734,0.144044,0.317607,-0.58313,-0.060484,-0.80971,-0.025902,-1,0.377962,-0.107649,0.133572,0.225696,-0.107942,0.133258,0.380968,0.197471,0.130966,0.223296,0.038853,0.125978,0.218711,0.195265,0.129307,0.298367,0.197829,0.129722,0.299073,0.039049,0.124555,0.380572,0.038927,0.12387,0.298731,-0.108044,0.132512
0.020833,0.300382,0.038672,0.138687,-0.999998,0.000271,-0.001822,-0.000306,-1,0.211017,0.308286,0.267871,-0.496525,-0.528989,-0.651978,0.220359,-1,-0.057632,0.144017,0.317584,-0.583189,-0.06022,-0.809693,-0.025707,-1,0.377958,-0.107688,0.13358,0.225709,-0.107949,0.133262,0.380962,0.197445,0.130971,0.223291,0.038831,0.125988,0.218719,0.195213,0.129341,0.298372,0.197789,0.129745,0.299074,0.039006,0.124571,0.380574,0.038901,0.123886,0.298731,-0.108051,0.132507
0.025000,0.30037,0.038693,0.138671,-0.999998,0.000273,-0.001785,-0.000293,-1,0.211062,0.308293,0.267791,-0.496473,-0.528911,-0.652059,0.220424,-1,-0.057551,0.144018,0.317568,-0.583269,-0.060135,-0.809644,-0.025635,-1,0.377946,-0.1077,0.133586,0.225712,-0.107929,0.133271,0.380948,0.19744,0.130973,0.223275,0.038824,0.125983,0.218714,0.195199,0.12934,0.298353,0.197784,0.12974,0.299059,0.038994,0.124566,0.380553,0.038897,0.12388,0.298727,-0.108036,0.132485
0.029167,0.300358,0.038715,0.13862,-0.999998,0.000277,-0.001726,-0.000282,-1,0.211088,0.308356,0.267648,-0.496314,-0.52893,-0.652167,0.220415,-1,-0.057474,0.144024,0.317533,-0.583375,-0.060259,-0.809556,-0.025709,-1,0.37793,-0.107682,0.13355,0.22571,-0.107896,0.133229,0.380938,0.197445,0.130943,0.223261,0.038825,0.125966,0.218699,0.195224,0.129283,0.29833,0.197793,0.129714,0.299043,0.03901,0.124533,0.380548,0.038909,0.123871,0.298712,-0.108022,0.132444
0.033333,0.300343,0.038761,0.138544,-0.999999,0.00024,-0.001637,-0.000262,-1,0.211033,0.309109,0.266891,-0.494693,-0.529305,-0.653528,0.219127,-1,-0.05741,0.144047,0.317493,-0.583468,-0.060538,-0.809463,-0.025883,-1,0.3779,-0.107656,0.133493,0.225683,-0.107868,0.133204,0.380914,0.197478,0.130904,0.223233,0.038858,0.125931,0.218649,0.195288,0.129214,0.298304,0.197838,0.12966,0.29901,0.039054,0.124496,0.380523,0.03894,0.123854,0.298696,-0.107995,0.132389
