Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
Capture Frame Rate,240.000000,,,,,,,nan,,,,,,,,nan,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,battery_state,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,gripper_state,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,chisel_state,C1_X,C1_Y,C1_Z,C3_X,C3_Y,C3_Z,A1_X,A1_Y,A1_Z,B3_X,B3_Y,B3_Z,A3_X,A3_Y,A3_Z,A2_X,A2_Y,A2_Z,B2_X,B2_Y,B2_Z,B1_X,B1_Y,B1_Z,C2_X,C2_Y,C2_Z
0.004167,0.299941,0.039094,0.138224,-1.0,0.000332,-6.9e-05,0.000734,-1,0.151469,0.341028,0.305747,-0.535824,-0.462133,-0.65637,0.261735,-1,-0.080137,0.145232,0.371428,-0.646088,0.12723,-0.751311,-0.043747,-1,0.377843,-0.107539,0.133986,0.225587,-0.107855,0.134129,0.380897,0.197807,0.131184,0.223101,0.038926,0.127187,0.218742,0.195854,0.128922,0.298222,0.197934,0.13028,0.298919,0.03917,0.125363,0.380397,0.038987,0.124357,0.29851,-0.107931,0.132947
0.008333,0.299901,0.039057,0.138434,-0.999999,0.000501,-0.000707,0.000699,-1,0.151446,0.340946,0.305745,-0.535794,-0.462338,-0.656254,0.261722,-1,-0.080113,0.145112,0.37141,-0.646125,0.126966,-0.751337,-0.043528,-1,0.377834,-0.107557,0.133988,0.225577,-0.107876,0.134135,0.380886,0.197778,0.13118,0.223088,0.03891,0.127193,0.218735,0.19584,0.128926,0.298213,0.197926,0.130285,0.298907,0.039156,0.125372,0.380392,0.038977,0.124363,0.298508,-0.107947,0.13296
0.012500,0.299878,0.039047,0.138398,-1.0,0.000428,-0.000577,0.000634,-1,0.15142,0.340911,0.305688,-0.535624,-0.46263,-0.656235,0.261603,-1,-0.08009,0.144999,0.371414,-0.646173,0.126571,-0.75137,-0.043403,-1,0.377826,-0.107559,0.133989,0.22557,-0.107881,0.134153,0.380881,0.197763,0.131193,0.223085,0.038903,0.127197,0.218728,0.195826,0.128941,0.298203,0.197913,0.130294,0.298903,0.039147,0.125386,0.38038,0.03897,0.124364,0.298497,-0.107966,0.132963
0.016667,0.299898,0.039029,0.138373,-1.0,0.000423,-0.000519,0.000622,-1,0.151414,0.340833,0.305651,-0.535544,-0.462828,-0.656161,0.261602,-1,-0.080045,0.144873,0.37139,-0.6462,0.126173,-0.751421,-0.043277,-1,0.377839,-0.107575,0.133993,0.225579,-0.107905,0.134141,0.380895,0.197757,0.13119,0.223104,0.038889,0.127192,0.218745,0.195801,0.128938,0.298224,0.197905,0.130294,0.298919,0.039136,0.125394,0.380394,0.038958,0.124367,0.298514,-0.107968,0.132966
0.020833,0.299956,0.039052,0.138222,-1.0,0.000323,-7.3e-05,0.000726,-1,0.151403,0.340764,0.305595,-0.535442,-0.463048,-0.656084,0.261613,-1,-0.080008,0.144759,0.371359,-0.646212,0.125807,-0.751481,-0.043124,-1,0.377854,-0.10757,0.133974,0.225596,-0.107892,0.134125,0.380909,0.197761,0.13118,0.223116,0.03889,0.127183,0.218759,0.1958,0.128925,0.298248,0.197905,0.130285,0.298938,0.039127,0.125362,0.380416,0.038957,0.124349,0.298536,-0.107978,0.132946
0.025000,0.299984,0.039059,0.138168,-1.0,0.000328,-8e-06,0.00072,-1,0.151398,0.340675,0.305557,-0.535399,-0.463279,-0.65594,0.261656,-1,-0.079984,0.144648,0.371309,-0.646215,0.125391,-0.751552,-0.04304,-1,0.377882,-0.107567,0.133955,0.225626,-0.107902,0.134099,0.380929,0.197777,0.131155,0.223133,0.038882,0.127162,0.218773,0.195815,0.128885,0.298261,0.197904,0.130263,0.29896,0.039133,0.125338,0.38044,0.038961,0.124339,0.298555,-0.107967,0.132929
0.029167,0.299981,0.039069,0.138135,-1.0,0.000278,6.3e-05,0.000667,-1,0.151364,0.340636,0.305473,-0.53523,-0.463494,-0.655932,0.26164,-1,-0.079934,0.144399,0.370997,-0.645876,0.126093,-0.751813,-0.041499,-1,0.377902,-0.107556,0.133934,0.225633,-0.107886,0.134082,0.380928,0.197785,0.131143,0.223143,0.03889,0.127153,0.218772,0.195821,0.12888,0.298261,0.197915,0.130253,0.298964,0.039133,0.125337,0.380445,0.038973,0.124318,0.29857,-0.10796,0.132916
0.033333,0.299977,0.039072,0.138132,-1.0,0.000267,7e-05,0.000647,-1,0.151326,0.340566,0.305415,-0.535118,-0.463701,-0.655865,0.26167,-1,-0.080127,0.144785,0.370727,-0.645192,0.121294,-0.752873,-0.046882,-1,0.37791,-0.107552,0.133938,0.225642,-0.107882,0.134069,0.380925,0.197794,0.13113,0.223144,0.038895,0.127155,0.218761,0.195827,0.128872,0.298258,0.197921,0.130256,0.298961,0.039141,0.125333,0.380442,0.03898,0.124317,0.298572,-0.107952,0.132909
