Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
Capture Frame Rate,240.000000,,,,,,,nan,,,,,,,,nan,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,battery_state,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,gripper_state,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,chisel_state,C1_X,C1_Y,C1_Z,C3_X,C3_Y,C3_Z,A1_X,A1_Y,A1_Z,B3_X,B3_Y,B3_Z,A3_X,A3_Y,A3_Z,A2_X,A2_Y,A2_Z,B2_X,B2_Y,B2_Z,B1_X,B1_Y,B1_Z,C2_X,C2_Y,C2_Z
0.041667,0.300333,0.038739,0.138688,-0.999998,0.000197,-0.001881,-0.000164,-1,0.056175,0.122011,0.254674,-0.53066,-0.21651,-0.819451,0.004882,-1,0.229224,0.23489,0.171561,-0.325558,-0.627744,-0.637926,0.304958,-1,0.37805,-0.107517,0.134064,0.225704,-0.107781,0.133882,0.380954,0.197495,0.130972,0.223301,0.038857,0.12539,0.218717,0.195267,0.128674,0.298336,0.197826,0.129874,0.299082,0.03908,0.124172,0.380607,0.038958,0.123671,0.298733,-0.10801,0.13234
0.045833,0.300315,0.038711,0.13872,-0.999998,0.000201,-0.001906,-0.000171,-1,0.056183,0.121958,0.254619,-0.530538,-0.216353,-0.819571,0.004893,-1,0.229247,0.234767,0.171551,-0.325644,-0.627638,-0.637988,0.304955,-1,0.378034,-0.107538,0.134081,0.225689,-0.107812,0.133905,0.380942,0.197467,0.131002,0.223288,0.038829,0.125408,0.218707,0.195228,0.128699,0.29832,0.197795,0.129886,0.299063,0.039049,0.124182,0.38059,0.038933,0.123683,0.298712,-0.108027,0.132378
0.050000,0.300283,0.038724,0.138685,-0.999998,0.000192,-0.001835,-0.000153,-1,0.056286,0.121857,0.254609,-0.530814,-0.2162,-0.819432,0.005123,-1,0.229262,0.234731,0.171461,-0.325734,-0.627628,-0.638032,0.304788,-1,0.378008,-0.107537,0.134085,0.225649,-0.107814,0.133913,0.380915,0.197479,0.130986,0.223257,0.038843,0.125393,0.218674,0.195258,0.128665,0.298285,0.197809,0.129868,0.299026,0.039062,0.124181,0.380562,0.038944,0.123683,0.298681,-0.108026,0.132384
0.054167,0.300273,0.038738,0.138659,-0.999998,0.000172,-0.001809,-0.000133,-1,0.056319,0.121794,0.25455,-0.530873,-0.216053,-0.819431,0.005279,-1,0.229302,0.234728,0.171321,-0.325746,-0.627486,-0.638244,0.304622,-1,0.377981,-0.107525,0.134074,0.225634,-0.107812,0.133887,0.38089,0.197503,0.130955,0.223231,0.038856,0.125356,0.218645,0.195299,0.128586,0.298266,0.197829,0.129841,0.299008,0.039073,0.124145,0.380555,0.038958,0.123661,0.298656,-0.108019,0.132359
0.058333,0.300293,0.038788,0.138406,-0.999999,-2e-05,-0.001132,-7.3e-05,-1,0.056774,0.121436,0.254905,-0.532317,-0.216005,-0.818502,0.005895,-1,0.228779,0.235473,0.16995,-0.320339,-0.623246,-0.644296,0.306318,-1,0.37796,-0.107506,0.134062,0.225617,-0.107791,0.133872,0.380865,0.197559,0.130906,0.223206,0.038893,0.125302,0.218592,0.195391,0.128454,0.298247,0.197868,0.129799,0.298982,0.039114,0.124093,0.380546,0.038992,0.12362,0.298633,-0.107983,0.132349
0.062500,0.300289,0.038695,0.137555,-1.0,0.000207,0.000547,-0.000197,-1,0.056736,0.121386,0.254757,-0.532191,-0.215756,-0.818648,0.006095,-1,0.228827,0.235429,0.169884,-0.320651,-0.623336,-0.644168,0.306076,-1,0.377948,-0.107485,0.134032,0.225594,-0.107778,0.133846,0.380842,0.197587,0.130852,0.223191,0.038916,0.125257,0.21855,0.19547,0.128336,0.298223,0.197888,0.12976,0.298969,0.039137,0.124056,0.380532,0.039009,0.123592,0.298618,-0.107965,0.13232
0.066667,0.300279,0.03872,0.137565,-1.0,0.00016,0.000511,-0.000182,-1,0.056792,0.121278,0.254747,-0.53237,-0.215596,-0.818572,0.006371,-1,0.228859,0.235391,0.169835,-0.321012,-0.623627,-0.643872,0.305727,-1,0.377931,-0.107467,0.134026,0.22558,-0.107753,0.133839,0.380817,0.197615,0.130833,0.223169,0.03893,0.125234,0.2185,0.195519,0.128259,0.298203,0.197912,0.129729,0.298942,0.039166,0.124036,0.380512,0.039035,0.123579,0.298599,-0.107948,0.132306
0.070833,0.300284,0.038717,0.137636,-1.0,0.000145,0.00036,-0.000173,-1,0.056849,0.121213,0.254728,-0.53242,-0.215481,-0.818569,0.006448,-1,0.228889,0.235327,0.169722,-0.321123,-0.623725,-0.643851,0.305456,-1,0.37794,-0.107459,0.134042,0.225584,-0.107759,0.133847,0.380817,0.197611,0.130835,0.223157,0.038916,0.125229,0.218488,0.195523,0.128224,0.298193,0.197899,0.129723,0.298945,0.039154,0.124035,0.380507,0.039021,0.123577,0.298598,-0.107942,0.1323
0.075000,0.300299,0.03873,0.137625,-1.0,0.000129,0.000367,-0.000165,-1,0.056898,0.121148,0.254687,-0.532407,-0.215351,-0.818611,0.006584,-1,0.228925,0.235264,0.169697,-0.321289,-0.62379,-0.64379,0.305276,-1,0.377958,-0.10745,0.134026,0.2256,-0.107741,0.133859,0.380822,0.197613,0.130812,0.223168,0.038918,0.12521,0.218495,0.195535,0.12822,0.298203,0.197908,0.129708,0.298955,0.039162,0.124028,0.380513,0.039025,0.123566,0.298621,-0.107936,0.132306
0.079167,0.300317,0.038837,0.138261,-1.0,-6.1e-05,-0.000931,-6.1e-05,-1,0.056935,0.121094,0.254629,-0.532274,-0.215295,-0.818711,0.006648,-1,0.228965,0.235167,0.169693,-0.321413,-0.623776,-0.643792,0.30517,-1,0.377992,-0.107452,0.134026,0.225632,-0.107747,0.133856,0.380853,0.197611,0.130821,0.223197,0.038909,0.125224,0.218515,0.195515,0.128244,0.298235,0.197894,0.129716,0.298983,0.039153,0.124024,0.380543,0.039021,0.123572,0.298654,-0.107943,0.132288
0.091667,0.300369,0.03872,0.13762,-1.0,0.000221,0.000439,-0.000219,-1,0.056944,0.120971,0.254455,-0.531721,-0.21508,-0.819126,0.006788,-1,0.22887,0.234891,0.169775,-0.321517,-0.62375,-0.643775,0.305151,-1,0.37803,-0.107446,0.134064,0.225665,-0.107724,0.13389,0.380893,0.19761,0.13088,0.223253,0.038926,0.125313,0.218552,0.195476,0.128366,0.298288,0.197904,0.129771,0.299041,0.03916,0.124094,0.380584,0.039045,0.123622,0.298705,-0.107926,0.132344
0.104167,0.300346,0.038647,0.137817,-1.0,0.000502,-0.000135,-0.000291,-1,0.056832,0.12094,0.25425,-0.530753,-0.214798,-0.81983,0.006569,-1,0.228678,0.234581,0.169864,-0.321464,-0.623829,-0.643695,0.305214,-1,0.378038,-0.10749,0.134085,0.22568,-0.107776,0.133925,0.380918,0.197552,0.130964,0.223287,0.038891,0.125411,0.218604,0.195329,0.128593,0.298315,0.197868,0.129842,0.29906,0.039112,0.124177,0.380594,0.039,0.123665,0.298716,-0.10798,0.132389
0.108333,0.300359,0.038641,0.137811,-1.0,0.000516,-0.000147,-0.00029,-1,0.056793,0.12096,0.254142,-0.530363,-0.214714,-0.820105,0.006443,-1,0.228639,0.234496,0.169887,-0.321362,-0.623677,-0.643829,0.30535,-1,0.378041,-0.107506,0.134072,0.225686,-0.10779,0.133904,0.38095,0.197535,0.130974,0.223304,0.038877,0.125409,0.218654,0.195297,0.128624,0.298327,0.197852,0.129858,0.299086,0.039097,0.124172,0.380612,0.038991,0.123657,0.298734,-0.107983,0.132364
0.112500,0.300374,0.038622,0.137861,-1.0,0.000532,-0.000253,-0.000285,-1,0.056638,0.121077,0.253914,-0.529457,-0.214889,-0.820647,0.006023,-1,0.229227,0.233568,0.171258,-0.327683,-0.628871,-0.636673,0.302972,-1,0.378048,-0.10754,0.13406,0.225695,-0.107831,0.133878,0.380967,0.197505,0.130989,0.223326,0.038844,0.125405,0.218691,0.195261,0.128644,0.298352,0.197821,0.129867,0.299102,0.039067,0.124177,0.380629,0.038961,0.123667,0.298743,-0.108023,0.132329
0.116667,0.300382,0.03865,0.137862,-1.0,0.000509,-0.000264,-0.000229,-1,0.056776,0.120892,0.253984,-0.530041,-0.214492,-0.820371,0.006454,-1,0.229067,0.233634,0.171044,-0.326739,-0.628248,-0.637617,0.303301,-1,0.378043,-0.107544,0.13406,0.225686,-0.107825,0.13386,0.380962,0.197508,0.130968,0.223315,0.038846,0.125391,0.218692,0.195272,0.128617,0.298344,0.197822,0.129856,0.299091,0.039068,0.124162,0.380623,0.038953,0.123655,0.298735,-0.108018,0.132307
