Format Version,1.23,Take Name,take_132,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-06-28 06.45.32.464 PM,Total Frames in Take,1670,Total Exported Frames,1670,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,bucket_SC,bucket_SC,bucket_SC,bucket_SC,bucket_SC,bucket_SC,bucket_SC,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,box3,box3,box3,box3,box3,box3,box3
,ID,"852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.007110,-0.778898,-0.008905,-0.627047,0.291094,0.238739,-0.068424,-0.652903,0.377448,0.528675,0.389556,0.226018,0.231315,0.220366,0.738715,0.201443,0.619962,-0.171369,-0.074840,0.244868,0.227852,0.004981,0.999596,-0.018406,-0.021060,-0.028060,0.037760,0.229014
1,0.004167,0.007107,-0.778903,-0.008878,-0.627042,0.291097,0.238759,-0.068417,-0.652851,0.377467,0.528661,0.389644,0.226022,0.231394,0.220345,0.738791,0.201251,0.619996,-0.171147,-0.074956,0.244889,0.227906,0.004974,0.999595,-0.018417,-0.021106,-0.028038,0.037771,0.229030
2,0.008333,0.007072,-0.778916,-0.008943,-0.627025,0.291108,0.238765,-0.068413,-0.652781,0.377590,0.528585,0.389743,0.226014,0.231507,0.220332,0.738851,0.201066,0.620027,-0.170992,-0.075048,0.244907,0.227942,0.004972,0.999595,-0.018323,-0.021193,-0.028016,0.037775,0.229046
3,0.012500,0.007038,-0.778924,-0.008935,-0.627015,0.291120,0.238763,-0.068404,-0.652790,0.377920,0.528402,0.389657,0.225997,0.231639,0.220401,0.738820,0.201098,0.620041,-0.171036,-0.075053,0.244929,0.227971,0.004926,0.999595,-0.018293,-0.021232,-0.027999,0.037769,0.229061
4,0.016667,0.007054,-0.778916,-0.008915,-0.627025,0.291120,0.238760,-0.068386,-0.652776,0.378075,0.528260,0.389725,0.225971,0.231750,0.220417,0.738697,0.201527,0.619944,-0.171415,-0.074864,0.244984,0.228019,0.004878,0.999595,-0.018308,-0.021258,-0.028007,0.037766,0.229085
5,0.020833,0.007062,-0.778920,-0.008914,-0.627021,0.291106,0.238754,-0.068371,-0.652709,0.378263,0.528135,0.389822,0.225911,0.231885,0.220454,0.738695,0.201552,0.619928,-0.171451,-0.074912,0.244991,0.228046,0.004863,0.999595,-0.018353,-0.021192,-0.028034,0.037767,0.229102
6,0.025000,0.007082,-0.778913,-0.008915,-0.627029,0.291092,0.238742,-0.068368,-0.652651,0.378218,0.528183,0.389898,0.225904,0.231937,0.220445,0.738688,0.201572,0.619937,-0.171427,-0.074983,0.244999,0.228065,0.004880,0.999595,-0.018402,-0.021174,-0.028050,0.037759,0.229109
7,0.029167,0.007088,-0.778902,-0.008934,-0.627042,0.291080,0.238737,-0.068384,-0.652612,0.378299,0.528117,0.389975,0.225873,0.232028,0.220432,0.738633,0.201724,0.619914,-0.171567,-0.074980,0.245024,0.228053,0.004768,0.999595,-0.018432,-0.021147,-0.028058,0.037753,0.229091
8,0.033333,0.007110,-0.778900,-0.008927,-0.627045,0.291078,0.238746,-0.068409,-0.652554,0.378400,0.528050,0.390063,0.225843,0.232131,0.220411,0.738530,0.201866,0.619933,-0.171777,-0.074957,0.245063,0.228009,0.004756,0.999596,-0.018382,-0.021144,-0.028061,0.037756,0.229063
9,0.037500,0.007106,-0.778892,-0.008928,-0.627054,0.291077,0.238753,-0.068434,-0.652455,0.378495,0.528034,0.390158,0.225813,0.232239,0.220406,0.739284,0.197976,0.621172,-0.168550,-0.076819,0.244747,0.227987,0.004637,0.999597,-0.018305,-0.021184,-0.028062,0.037748,0.229037
10,0.041667,0.007093,-0.778890,-0.008930,-0.627057,0.291078,0.238742,-0.068449,-0.652438,0.378401,0.528148,0.390124,0.225846,0.232226,0.220406,0.739179,0.198077,0.621219,-0.168725,-0.076808,0.244776,0.227962,0.004720,0.999598,-0.018295,-0.021131,-0.028065,0.037753,0.229013
11,0.045833,0.007129,-0.778892,-0.008910,-0.627054,0.291087,0.238738,-0.068450,-0.652400,0.378642,0.528065,0.390067,0.225818,0.232306,0.220491,0.739174,0.197974,0.621260,-0.168710,-0.076876,0.244780,0.227955,0.004872,0.999598,-0.018342,-0.021080,-0.028067,0.037757,0.229007
12,0.050000,0.007136,-0.778898,-0.008870,-0.627048,0.291107,0.238723,-0.068443,-0.652345,0.378824,0.528064,0.389984,0.225812,0.232368,0.220601,0.738293,0.201863,0.620143,-0.172041,-0.075080,0.245141,0.227960,0.005078,0.999595,-0.018427,-0.021086,-0.028058,0.037757,0.229008
13,0.054167,0.007083,-0.778903,-0.008907,-0.627041,0.291127,0.238719,-0.068435,-0.652321,0.378974,0.528056,0.389888,0.225825,0.232407,0.220684,0.738303,0.201645,0.620247,-0.171878,-0.075195,0.245151,0.227980,0.005175,0.999595,-0.018399,-0.021101,-0.028027,0.037753,0.229002
14,0.058333,0.007088,-0.778903,-0.008920,-0.627041,0.291140,0.238732,-0.068442,-0.652163,0.379032,0.528193,0.389911,0.225834,0.232471,0.220739,0.738197,0.201663,0.620337,-0.171989,-0.075198,0.245179,0.227968,0.005072,0.999597,-0.018281,-0.021138,-0.027999,0.037739,0.228989
15,0.062500,0.007054,-0.778904,-0.008937,-0.627039,0.291145,0.238735,-0.068460,-0.652127,0.379090,0.528238,0.389854,0.225855,0.232503,0.220776,0.738041,0.201709,0.620442,-0.172222,-0.075171,0.245212,0.227922,0.004874,0.999597,-0.018209,-0.021205,-0.027970,0.037729,0.228976
16,0.066667,0.007058,-0.778904,-0.008943,-0.627040,0.291148,0.238742,-0.068472,-0.652011,0.379125,0.528388,0.389811,0.225865,0.232521,0.220843,0.737972,0.201632,0.620535,-0.172274,-0.075225,0.245224,0.227902,0.004962,0.999600,-0.018166,-0.021118,-0.027986,0.037743,0.228964
17,0.070833,0.007063,-0.778896,-0.008936,-0.627050,0.291131,0.238740,-0.068468,-0.652034,0.379204,0.528422,0.389649,0.225873,0.232508,0.220943,0.737864,0.201663,0.620617,-0.172405,-0.075261,0.245229,0.227898,0.004943,0.999599,-0.018211,-0.021129,-0.028006,0.037752,0.228969
18,0.075000,0.007086,-0.778900,-0.008914,-0.627045,0.291118,0.238739,-0.068451,-0.652075,0.379160,0.528462,0.389569,0.225885,0.232487,0.221018,0.737756,0.201746,0.620655,-0.172636,-0.075273,0.245228,0.227887,0.004949,0.999599,-0.018271,-0.021082,-0.028046,0.037765,0.228987
19,0.079167,0.007095,-0.778887,-0.008933,-0.627060,0.291098,0.238731,-0.068436,-0.652045,0.379231,0.528575,0.389398,0.225891,0.232457,0.221155,0.737669,0.201780,0.620704,-0.172792,-0.075314,0.245221,0.227889,0.004878,0.999598,-0.018325,-0.021066,-0.028062,0.037756,0.229006
20,0.083333,0.007121,-0.778889,-0.008910,-0.627058,0.291088,0.238729,-0.068430,-0.652036,0.379273,0.528638,0.389285,0.225902,0.232436,0.221245,0.737561,0.201735,0.620824,-0.172869,-0.075385,0.245202,0.227895,0.004891,0.999596,-0.018381,-0.021106,-0.028070,0.037754,0.229020
21,0.087500,0.007114,-0.778898,-0.008884,-0.627048,0.291084,0.238733,-0.068429,-0.651971,0.379215,0.528787,0.389248,0.225921,0.232410,0.221300,0.737529,0.201631,0.620889,-0.172899,-0.075466,0.245191,0.227899,0.004887,0.999597,-0.018372,-0.021092,-0.028070,0.037752,0.229024
22,0.091667,0.007088,-0.778893,-0.008948,-0.627053,0.291084,0.238746,-0.068420,-0.651914,0.379121,0.529029,0.389105,0.225969,0.232330,0.221395,0.737465,0.201532,0.620985,-0.172940,-0.075539,0.245184,0.227909,0.004874,0.999597,-0.018330,-0.021117,-0.028071,0.037765,0.229032
23,0.095833,0.007078,-0.778912,-0.008921,-0.627029,0.291084,0.238755,-0.068409,-0.651925,0.379178,0.529082,0.388960,0.225988,0.232304,0.221497,0.737439,0.201311,0.621100,-0.172895,-0.075656,0.245170,0.227921,0.004804,0.999597,-0.018312,-0.021170,-0.028065,0.037768,0.229054
24,0.100000,0.007067,-0.778907,-0.008910,-0.627037,0.291090,0.238748,-0.068387,-0.651961,0.379285,0.529081,0.388798,0.226010,0.232265,0.221615,0.737434,0.201139,0.621186,-0.172805,-0.075757,0.245147,0.227967,0.004930,0.999595,-0.018360,-0.021160,-0.028055,0.037766,0.229079
25,0.104167,0.007052,-0.778911,-0.008934,-0.627031,0.291099,0.238730,-0.068367,-0.652031,0.379334,0.529070,0.388648,0.226037,0.232207,0.221712,0.737420,0.201063,0.621241,-0.172758,-0.075831,0.245109,0.228014,0.004944,0.999595,-0.018344,-0.021169,-0.028046,0.037750,0.229103
26,0.108333,0.007055,-0.778916,-0.008924,-0.627026,0.291104,0.238729,-0.068358,-0.651947,0.379312,0.529206,0.388624,0.226052,0.232172,0.221786,0.737407,0.200933,0.621311,-0.172711,-0.075920,0.245071,0.228029,0.004966,0.999594,-0.018385,-0.021194,-0.028034,0.037739,0.229114
27,0.112500,0.007045,-0.778916,-0.008927,-0.627026,0.291104,0.238737,-0.068371,-0.651849,0.379273,0.529388,0.388580,0.226070,0.232140,0.221845,0.737355,0.200962,0.621344,-0.172782,-0.075949,0.245072,0.228026,0.004835,0.999596,-0.018317,-0.021199,-0.028020,0.037736,0.229099
28,0.116667,0.007026,-0.778917,-0.008946,-0.627024,0.291101,0.238753,-0.068392,-0.651746,0.379158,0.529570,0.388615,0.226087,0.232113,0.221854,0.737363,0.200826,0.621407,-0.172681,-0.076069,0.245058,0.228012,0.004744,0.999597,-0.018256,-0.021217,-0.028012,0.037739,0.229076
29,0.120833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.125000,0.007091,-0.778901,-0.008921,-0.627043,0.291096,0.238750,-0.068435,-0.651617,0.379134,0.529828,0.388505,0.226098,0.232028,0.221956,0.738413,0.196297,0.622627,-0.168966,-0.078263,0.244621,0.227949,0.004691,0.999598,-0.018249,-0.021175,-0.028022,0.037731,0.229025
31,0.129167,0.007083,-0.778894,-0.008913,-0.627052,0.291087,0.238741,-0.068438,-0.651566,0.379099,0.529927,0.388489,0.226090,0.231981,0.222002,0.738467,0.196237,0.622612,-0.168856,-0.078383,0.244585,0.227956,0.004746,0.999597,-0.018312,-0.021145,-0.028045,0.037739,0.229013
32,0.133333,0.007124,-0.778893,-0.008873,-0.627053,0.291081,0.238738,-0.068444,-0.651542,0.379180,0.529949,0.388420,0.226070,0.231964,0.222078,0.738526,0.196199,0.622575,-0.168777,-0.078476,0.244563,0.227966,0.004844,0.999599,-0.018325,-0.021039,-0.028077,0.037752,0.228999
33,0.137500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.141667,0.007100,-0.778903,-0.008888,-0.627042,0.291106,0.238737,-0.068460,-0.651411,0.379156,0.530124,0.388424,0.226083,0.231924,0.222125,0.738675,0.195909,0.622576,-0.168455,-0.078694,0.244510,0.227989,0.005029,0.999597,-0.018352,-0.021065,-0.028064,0.037773,0.228975
35,0.145833,0.007077,-0.778893,-0.008916,-0.627053,0.291122,0.238745,-0.068463,-0.651409,0.379233,0.530105,0.388377,0.226086,0.231925,0.222150,0.738720,0.195902,0.622527,-0.168448,-0.078721,0.244508,0.228004,0.005111,0.999597,-0.018322,-0.021059,-0.028049,0.037787,0.228966
