Format Version,1.23,Take Name,take_201,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-06-28 07.06.01.925 PM,Total Frames in Take,1662,Total Exported Frames,1662,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,bucket_SC,bucket_SC,bucket_SC,bucket_SC,bucket_SC,bucket_SC,bucket_SC,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,box3,box3,box3,box3,box3,box3,box3
,ID,"852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.010419,-0.102328,-0.007815,-0.994666,0.439162,0.241645,0.163914,-0.533402,0.440405,0.638432,0.337535,0.217566,0.197427,0.462604,0.511481,0.261989,0.812396,-0.098802,0.005196,0.189625,0.141308,0.010784,-0.732880,0.013663,0.680135,0.123942,0.038239,0.179082
1,0.004167,0.010555,-0.102251,-0.007921,-0.994671,0.439159,0.241663,0.163921,-0.533494,0.440180,0.638613,0.337341,0.217549,0.197213,0.462621,0.511230,0.262170,0.812473,-0.098984,0.005220,0.189637,0.141345,0.010657,-0.732874,0.014134,0.680134,0.123980,0.038240,0.179139
2,0.008333,0.010366,-0.102293,-0.007744,-0.994670,0.439208,0.241634,0.163907,-0.533880,0.438810,0.638712,0.338326,0.217448,0.196847,0.461909,0.510938,0.262419,0.812543,-0.099261,0.005286,0.189647,0.141371,0.010402,-0.732915,0.014649,0.680083,0.124026,0.038255,0.179186
3,0.012500,0.010180,-0.102350,-0.007799,-0.994666,0.439247,0.241581,0.163884,-0.533158,0.438288,0.639313,0.339006,0.217207,0.196635,0.461817,0.510612,0.262695,0.812613,-0.099629,0.005391,0.189655,0.141385,0.010029,-0.732958,0.015331,0.680027,0.124065,0.038322,0.179234
4,0.016667,0.009916,-0.102448,-0.007751,-0.994659,0.439284,0.241531,0.163865,-0.532485,0.439888,0.638560,0.339409,0.216808,0.197313,0.462097,0.510316,0.262968,0.812668,-0.099982,0.005479,0.189679,0.141396,0.009805,-0.733025,0.015603,0.679952,0.124078,0.038385,0.179253
5,0.020833,0.009871,-0.102477,-0.007704,-0.994657,0.439290,0.241537,0.163861,-0.532215,0.439639,0.638844,0.339622,0.216652,0.197140,0.462044,0.510044,0.263006,0.812788,-0.100294,0.005507,0.189689,0.141359,0.009850,-0.733052,0.015482,0.679925,0.124059,0.038422,0.179229
6,0.025000,0.009971,-0.102458,-0.007701,-0.994658,0.439258,0.241564,0.163874,-0.531888,0.440991,0.638816,0.338433,0.216460,0.197183,0.462819,0.509824,0.262948,0.812921,-0.100481,0.005472,0.189681,0.141321,0.010155,-0.733049,0.014816,0.679939,0.124014,0.038388,0.179167
7,0.029167,0.010064,-0.102432,-0.007821,-0.994658,0.439230,0.241576,0.163890,-0.532305,0.438376,0.640119,0.338711,0.216505,0.196100,0.462220,0.509638,0.262780,0.813078,-0.100599,0.005395,0.189639,0.141274,0.010624,-0.733020,0.013875,0.679982,0.123972,0.038344,0.179099
8,0.033333,0.010224,-0.102430,-0.007876,-0.994657,0.439206,0.241596,0.163900,-0.532438,0.438114,0.640231,0.338630,0.216362,0.195895,0.462167,0.509494,0.262364,0.813300,-0.100618,0.005256,0.189583,0.141180,0.011028,-0.732989,0.013247,0.680022,0.123938,0.038304,0.179056
9,0.037500,0.010207,-0.102414,-0.007785,-0.994659,0.439203,0.241606,0.163892,-0.531484,0.437461,0.641066,0.339391,0.216181,0.195776,0.462036,0.509300,0.262160,0.813473,-0.100736,0.005185,0.189546,0.141119,0.010470,-0.733139,0.014315,0.679847,0.123943,0.038459,0.179195
10,0.041667,0.010082,-0.102471,-0.007834,-0.994654,0.439212,0.241583,0.163881,-0.531185,0.436947,0.641483,0.339735,0.216037,0.195594,0.461879,0.509069,0.262149,0.813595,-0.100945,0.005169,0.189524,0.141091,0.010808,-0.733011,0.013449,0.679998,0.123917,0.038337,0.179054
11,0.045833,0.010038,-0.102462,-0.007756,-0.994656,0.439219,0.241585,0.163873,-0.531023,0.436695,0.641672,0.339955,0.215900,0.195448,0.461768,0.509323,0.258068,0.814896,-0.099682,0.003976,0.189132,0.140148,0.010482,-0.733019,0.014020,0.679983,0.123928,0.038371,0.179104
12,0.050000,0.010029,-0.102455,-0.007816,-0.994656,0.439226,0.241575,0.163881,-0.531186,0.436530,0.641626,0.339999,0.215779,0.195303,0.461676,0.508499,0.262341,0.813818,-0.101517,0.005235,0.189453,0.141099,0.010144,-0.733048,0.014590,0.679945,0.123950,0.038386,0.179167
13,0.054167,0.010103,-0.102425,-0.007873,-0.994658,0.439224,0.241570,0.163899,-0.531342,0.436475,0.641516,0.340033,0.215641,0.195190,0.461620,0.508896,0.257943,0.815163,-0.100002,0.003930,0.189017,0.140133,0.009981,-0.733054,0.015219,0.679927,0.123989,0.038450,0.179293
14,0.058333,0.010257,-0.102370,-0.007873,-0.994662,0.439207,0.241589,0.163911,-0.531110,0.436315,0.641664,0.340322,0.215494,0.195097,0.461544,0.508782,0.257599,0.815351,-0.099932,0.003794,0.188920,0.140090,0.010279,-0.732967,0.014489,0.680032,0.123982,0.038317,0.179194
15,0.062500,0.010204,-0.102379,-0.007908,-0.994662,0.439215,0.241579,0.163904,-0.530840,0.436078,0.641880,0.340640,0.215350,0.194998,0.461446,0.508060,0.261795,0.814254,-0.101627,0.005012,0.189220,0.141030,0.010360,-0.732942,0.014493,0.680058,0.123988,0.038319,0.179179
16,0.066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.070833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.075000,0.009746,-0.102623,-0.007763,-0.994642,0.439265,0.241500,0.163866,-0.529571,0.434558,0.643349,0.341783,0.215045,0.194480,0.461032,0.507886,0.260884,0.814669,-0.101519,0.004663,0.188948,0.140777,0.010208,-0.733110,0.014307,0.679883,0.123953,0.038381,0.179087
19,0.079167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.083333,0.010262,-0.102435,-0.007937,-0.994655,0.439176,0.241582,0.163914,-0.530934,0.434729,0.642480,0.341085,0.214824,0.194208,0.460949,0.508054,0.260020,0.814897,-0.101065,0.004295,0.188694,0.140614,0.010711,-0.733150,0.014061,0.679837,0.123940,0.038404,0.179163
21,0.087500,0.010542,-0.102307,-0.007991,-0.994665,0.439137,0.241640,0.163928,-0.531137,0.434558,0.642424,0.341094,0.214736,0.194066,0.460865,0.508140,0.259750,0.814953,-0.100873,0.004152,0.188585,0.140562,0.010900,-0.733119,0.014070,0.679867,0.123954,0.038365,0.179181
22,0.091667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.095833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.104167,0.009937,-0.102468,-0.007826,-0.994656,0.439268,0.241531,0.163876,-0.529989,0.435578,0.642363,0.341693,0.214349,0.194366,0.461029,0.508140,0.259998,0.814872,-0.100883,0.004094,0.188270,0.140520,0.009644,-0.732979,0.015754,0.680000,0.124037,0.038397,0.179277
26,0.108333,0.010100,-0.102394,-0.007781,-0.994662,0.439244,0.241560,0.163893,-0.530125,0.435448,0.642387,0.341602,0.214302,0.194232,0.461021,0.508270,0.259811,0.814880,-0.100654,0.003975,0.188158,0.140502,0.009883,-0.732934,0.015382,0.680054,0.124035,0.038333,0.179266
27,0.112500,0.010307,-0.102333,-0.007923,-0.994665,0.439210,0.241595,0.163910,-0.530263,0.435251,0.642502,0.341422,0.214272,0.194070,0.461030,0.508478,0.259611,0.814847,-0.100383,0.003832,0.188040,0.140473,0.009861,-0.732972,0.015591,0.680008,0.124034,0.038389,0.179341
28,0.116667,0.010249,-0.102382,-0.007923,-0.994661,0.439213,0.241590,0.163897,-0.529933,0.435109,0.642808,0.341541,0.214206,0.193998,0.461041,0.508563,0.259589,0.814809,-0.100317,0.003784,0.187946,0.140440,0.010088,-0.732932,0.014835,0.680065,0.123982,0.038330,0.179204
29,0.120833,0.010035,-0.102479,-0.007844,-0.994654,0.439244,0.241558,0.163876,-0.529311,0.434903,0.643283,0.341872,0.214140,0.193957,0.461034,0.508658,0.259702,0.814713,-0.100322,0.003788,0.187868,0.140424,0.010053,-0.733019,0.014705,0.679975,0.123961,0.038367,0.179168
30,0.125000,0.009790,-0.102584,-0.007770,-0.994646,0.439277,0.241515,0.163852,-0.528652,0.434741,0.643817,0.342092,0.214110,0.193881,0.461080,0.508754,0.259744,0.814645,-0.100278,0.003767,0.187764,0.140396,0.010004,-0.733054,0.014758,0.679937,0.123941,0.038397,0.179135
31,0.129167,0.009881,-0.102565,-0.007748,-0.994647,0.439261,0.241535,0.163856,-0.527710,0.433969,0.644822,0.342633,0.214084,0.193718,0.461024,0.508865,0.259703,0.814609,-0.100116,0.003701,0.187655,0.140383,0.010103,-0.733051,0.014378,0.679947,0.123922,0.038382,0.179097
32,0.133333,0.010123,-0.102462,-0.008007,-0.994653,0.439202,0.241563,0.163890,-0.527989,0.431918,0.646049,0.342484,0.214285,0.192781,0.460721,0.509008,0.259655,0.814560,-0.099910,0.003615,0.187534,0.140401,0.010586,-0.732987,0.013649,0.680023,0.123903,0.038309,0.179064
33,0.137500,0.010490,-0.102321,-0.007951,-0.994664,0.439148,0.241643,0.163919,-0.528412,0.432125,0.645796,0.342046,0.214261,0.192689,0.460860,0.509284,0.259390,0.814532,-0.099425,0.003414,0.187389,0.140409,0.010423,-0.733089,0.014539,0.679898,0.123932,0.038394,0.179236
34,0.141667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.145833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.150000,0.010116,-0.102406,-0.007787,-0.994661,0.439227,0.241583,0.163896,-0.527479,0.431907,0.646670,0.342111,0.214311,0.192421,0.461064,0.509871,0.259004,0.814411,-0.098405,0.003057,0.187007,0.140409,0.010084,-0.733032,0.014947,0.679955,0.123997,0.038358,0.179186
37,0.154167,0.009819,-0.102531,-0.007744,-0.994651,0.439273,0.241530,0.163881,-0.526843,0.431814,0.647172,0.342258,0.214336,0.192376,0.461158,0.510080,0.258510,0.814498,-0.097896,0.002819,0.186864,0.140325,0.009721,-0.733068,0.015617,0.679907,0.124021,0.038454,0.179243
38,0.158333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.162500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.166667,0.010258,-0.102399,-0.007930,-0.994659,0.439184,0.241609,0.163927,-0.526861,0.432156,0.647391,0.341385,0.214377,0.192217,0.461607,0.510996,0.257211,0.814518,-0.096370,0.002135,0.186479,0.140176,0.011005,-0.732983,0.013200,0.680030,0.123943,0.038302,0.179065
41,0.170833,0.010200,-0.102434,-0.007868,-0.994657,0.439184,0.241611,0.163925,-0.526531,0.432092,0.647763,0.341270,0.214409,0.192138,0.461732,0.511249,0.256962,0.814479,-0.096018,0.001983,0.186379,0.140130,0.010514,-0.733161,0.014259,0.679824,0.123938,0.038471,0.179202
42,0.175000,0.010048,-0.102506,-0.007821,-0.994651,0.439212,0.241578,0.163899,-0.525857,0.431830,0.648390,0.341450,0.214463,0.192035,0.461794,0.511432,0.256807,0.814438,-0.095809,0.001896,0.186298,0.140065,0.010731,-0.733039,0.013517,0.679968,0.123914,0.038358,0.179064
