Format Version,1.23,Take Name,cap_114,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.47.51.147 PM,Total Frames in Take,1844,Total Exported Frames,1844,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.793781,-0.128198,0.013502,-0.594386,0.183858,0.293545,0.023115,-0.668282,0.270127,-0.520553,-0.457663,0.325394,0.239540,0.186779,0.001317,0.000572,0.000548,-0.999999,0.039014,0.137512,0.300021,0.215405,0.140774,0.428368,0.168514,0.141638,0.560930,-0.122395,0.143348,0.486950,-0.124013,0.142369,0.556458,0.231307,0.122126,0.562596,0.039001,0.124302,0.380497,0.039164,0.125259,0.299014,0.039012,0.126913,0.223256,-0.107893,0.133528,0.225712,0.338441,0.244978,0.242294,0.197931,0.130220,0.298284,-0.107914,0.132471,0.298727,0.195906,0.128513,0.218721,0.197814,0.131065,0.380955,0.215225,0.131754,0.537110,-0.107591,0.133300,0.377950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150505,0.357497,-0.233322,0.129505,0.301650,-0.064809,0.110992,0.344989,-0.215501,0.195515,0.311777,-0.056425,0.159080,0.346041,-0.070895,0.439307,0.374589,0.228730,0.447563,0.387603,0.184213,0.417131,0.344763,0.144313,0.379823,0.352465,0.094064,0.425531,0.354769,0.047474
7,0.029167,-0.793827,-0.128094,0.013568,-0.594345,0.183786,0.293576,0.023094,-0.668283,0.270103,-0.520487,-0.457751,0.325424,0.239705,0.186927,0.001309,0.000566,0.000533,-0.999999,0.039008,0.137516,0.299996,0.215392,0.140781,0.428336,0.168517,0.141643,0.560900,-0.122391,0.143344,0.486927,-0.124011,0.142362,0.556434,0.231292,0.122129,0.562575,0.039008,0.124293,0.380467,0.039165,0.125255,0.298990,0.039006,0.126918,0.223224,-0.107906,0.133524,0.225668,0.338462,0.245103,0.242439,0.197936,0.130192,0.298260,-0.107918,0.132470,0.298699,0.195917,0.128500,0.218700,0.197805,0.131067,0.380921,0.215224,0.131735,0.537088,-0.107596,0.133287,0.377923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150454,0.357566,-0.233337,0.129430,0.301706,-0.064824,0.110935,0.345059,-0.215516,0.195466,0.311803,-0.056442,0.159009,0.346094,-0.070917,0.439375,0.374742,0.228843,0.447592,0.387760,0.184323,0.417166,0.344899,0.144434,0.379853,0.352626,0.094193,0.425560,0.354898,0.047601
8,0.033333,-0.793890,-0.128115,0.013510,-0.594259,0.183725,0.293585,0.023079,-0.668152,0.270219,-0.520412,-0.457959,0.325391,0.239917,0.187079,0.001348,0.000566,0.000517,-0.999999,0.038996,0.137487,0.299981,0.215365,0.140762,0.428317,0.168497,0.141643,0.560891,-0.122385,0.143337,0.486906,-0.124006,0.142335,0.556421,0.231272,0.122131,0.562562,0.039013,0.124281,0.380458,0.039176,0.125235,0.298978,0.038999,0.126904,0.223199,-0.107915,0.133516,0.225644,0.338465,0.245313,0.242610,0.197948,0.130175,0.298251,-0.107922,0.132470,0.298672,0.195925,0.128470,0.218681,0.197792,0.131060,0.380905,0.215220,0.131751,0.537074,-0.107582,0.133270,0.377901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150400,0.357630,-0.233356,0.129378,0.301727,-0.064825,0.110885,0.345122,-0.215520,0.195418,0.311819,-0.056448,0.158929,0.346133,-0.070927,0.439406,0.374912,0.228964,0.447627,0.387903,0.184438,0.417200,0.345045,0.144569,0.379889,0.352799,0.094323,0.425582,0.355026,0.047728
9,0.037500,-0.793922,-0.127975,0.013652,-0.594242,0.183657,0.293616,0.023080,-0.668156,0.270259,-0.520269,-0.458092,0.325379,0.240120,0.187256,0.001216,0.000617,0.000570,-0.999999,0.038985,0.137535,0.299985,0.215346,0.140775,0.428296,0.168486,0.141650,0.560883,-0.122393,0.143334,0.486903,-0.124012,0.142339,0.556416,0.231145,0.122044,0.562638,0.039008,0.124280,0.380458,0.039186,0.125217,0.298972,0.038980,0.126911,0.223188,-0.107926,0.133518,0.225626,0.338500,0.245576,0.242834,0.197938,0.130166,0.298252,-0.107934,0.132482,0.298651,0.195927,0.128467,0.218697,0.197772,0.131052,0.380900,0.215187,0.131738,0.537083,-0.107583,0.133265,0.377901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150340,0.357690,-0.233348,0.129293,0.301784,-0.064806,0.110823,0.345184,-0.215516,0.195365,0.311849,-0.056441,0.158874,0.346167,-0.070945,0.439461,0.375072,0.229113,0.447651,0.388076,0.184574,0.417207,0.345222,0.144723,0.379890,0.352982,0.094466,0.425581,0.355176,0.047897
10,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.045833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.050000,-0.794088,-0.127314,0.014396,-0.594145,0.183478,0.293699,0.023103,-0.668090,0.270309,-0.519575,-0.458945,0.325296,0.240821,0.187889,0.001340,0.000567,0.000526,-0.999999,0.038974,0.137525,0.299950,0.215366,0.140798,0.428268,0.168473,0.141678,0.560881,-0.122424,0.143368,0.486879,-0.124043,0.142379,0.556388,0.231256,0.122154,0.562528,0.038990,0.124314,0.380432,0.039158,0.125255,0.298956,0.038977,0.126936,0.223192,-0.107919,0.133563,0.225616,0.338396,0.246409,0.243463,0.197919,0.130218,0.298253,-0.107942,0.132518,0.298646,0.195901,0.128518,0.218702,0.197769,0.131108,0.380899,0.215194,0.131742,0.537032,-0.107609,0.133306,0.377869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150187,0.357900,-0.233284,0.129060,0.301986,-0.064693,0.110673,0.345421,-0.215452,0.195217,0.311912,-0.056476,0.158737,0.346318,-0.070935,0.439688,0.375595,0.229466,0.447777,0.388593,0.184959,0.417227,0.345736,0.145156,0.379867,0.353533,0.094931,0.425525,0.355587,0.048337
13,0.054167,-0.794129,-0.127188,0.014514,-0.594114,0.183427,0.293728,0.023126,-0.667989,0.270347,-0.519327,-0.459350,0.325239,0.241067,0.188125,0.000060,0.000666,0.000333,-1.000000,0.039070,0.138171,0.299951,0.215599,0.141230,0.428276,0.168493,0.141693,0.560907,-0.122441,0.143384,0.486887,-0.124046,0.142395,0.556394,0.231286,0.122172,0.562525,0.038974,0.124339,0.380445,0.039145,0.125277,0.298969,0.038986,0.126949,0.223217,-0.107911,0.133597,0.225640,0.338394,0.246589,0.243643,0.197910,0.130246,0.298261,-0.107938,0.132526,0.298659,0.195891,0.128545,0.218712,0.197787,0.131116,0.380927,0.215194,0.131737,0.537032,-0.107621,0.133336,0.377877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150147,0.357958,-0.233251,0.129007,0.302031,-0.064658,0.110633,0.345490,-0.215423,0.195160,0.311943,-0.056466,0.158705,0.346371,-0.070908,0.439755,0.375761,0.229583,0.447839,0.388744,0.185084,0.417211,0.345911,0.145314,0.379853,0.353676,0.095088,0.425502,0.355707,0.048466
14,0.058333,-0.794187,-0.127132,0.014553,-0.594047,0.183386,0.293740,0.023152,-0.667802,0.270468,-0.519085,-0.459823,0.325163,0.241320,0.188359,-0.000568,0.000654,0.000519,-1.000000,0.039083,0.138379,0.299941,0.215626,0.141231,0.428297,0.168528,0.141286,0.560777,-0.122436,0.143400,0.486899,-0.124042,0.142399,0.556400,0.231307,0.122155,0.562558,0.038977,0.124338,0.380457,0.039150,0.125288,0.298983,0.038999,0.126950,0.223235,-0.107891,0.133594,0.225658,0.338421,0.246760,0.243833,0.197909,0.130250,0.298273,-0.107921,0.132524,0.298673,0.195894,0.128558,0.218725,0.197803,0.131115,0.380950,0.215200,0.131750,0.537026,-0.107626,0.133335,0.377892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150118,0.358013,-0.233213,0.128965,0.302059,-0.064623,0.110596,0.345554,-0.215387,0.195123,0.311963,-0.056449,0.158666,0.346412,-0.070869,0.439815,0.375928,0.229705,0.447916,0.388863,0.185207,0.417226,0.346064,0.145468,0.379857,0.353814,0.095249,0.425498,0.355798,0.048591
15,0.062500,-0.794257,-0.127094,0.014595,-0.593962,0.183337,0.293743,0.023167,-0.667626,0.270527,-0.518852,-0.460308,0.325094,0.241570,0.188599,-0.000567,0.000645,0.000513,-1.000000,0.039089,0.138375,0.299950,0.215635,0.141228,0.428307,0.168536,0.141280,0.560787,-0.122435,0.143394,0.486908,-0.124034,0.142394,0.556413,0.231327,0.122156,0.562560,0.038971,0.124337,0.380465,0.039159,0.125286,0.298991,0.039005,0.126959,0.223257,-0.107888,0.133582,0.225678,0.338386,0.246977,0.244067,0.197910,0.130254,0.298282,-0.107913,0.132514,0.298696,0.195899,0.128558,0.218733,0.197815,0.131107,0.380957,0.215216,0.131716,0.537044,-0.107618,0.133329,0.377907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150069,0.358069,-0.233179,0.128920,0.302083,-0.064610,0.110546,0.345617,-0.215350,0.195062,0.311982,-0.056436,0.158623,0.346444,-0.070845,0.439872,0.376104,0.229826,0.447988,0.389001,0.185318,0.417235,0.346206,0.145605,0.379854,0.353952,0.095411,0.425485,0.355877,0.048714
