Format Version,1.23,Take Name,cap_049,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.55.40.908 PM,Total Frames in Take,2046,Total Exported Frames,2046,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.816236,-0.045022,0.051344,-0.573669,0.187213,0.344120,-0.013285,-0.650277,0.205870,-0.520359,-0.513794,0.339009,0.271809,0.212870,0.000764,-0.000421,0.000172,-1.000000,0.038693,0.137483,0.300349,0.215370,0.140624,0.428350,0.168559,0.141491,0.560904,-0.122317,0.143229,0.486906,-0.123451,0.141672,0.557850,0.231227,0.122010,0.562584,0.039290,0.124409,0.298984,0.039137,0.125745,0.223219,0.356223,0.282705,0.262845,0.039124,0.123817,0.380503,-0.107744,0.133280,0.225579,0.196080,0.128104,0.218671,0.198067,0.129598,0.298288,0.197801,0.130880,0.380893,-0.107829,0.132304,0.298606,-0.107392,0.133641,0.377857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175679,0.424092,-0.267244,0.138748,0.365430,-0.102001,0.134150,0.419172,-0.251562,0.204957,0.363481,-0.090982,0.176126,0.404512,-0.105183,0.452262,0.413157,0.224775,0.457314,0.419047,0.178274,0.425253,0.369951,0.147892,0.384283,0.369351,0.099938,0.426593,0.364699,0.050500
7,0.029167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.033333,-0.816276,-0.045347,0.051340,-0.573586,0.187184,0.343961,-0.013155,-0.650458,0.205729,-0.520468,-0.513511,0.339042,0.271684,0.212973,0.000787,-0.000368,0.000301,-1.000000,0.038667,0.137470,0.300359,0.215312,0.140573,0.428353,0.168532,0.141502,0.560918,-0.122346,0.143273,0.486902,-0.123478,0.141696,0.557840,0.231124,0.121925,0.562652,0.039270,0.124438,0.298993,0.039124,0.125763,0.223231,0.355297,0.284587,0.263563,0.039099,0.123835,0.380505,-0.107748,0.133288,0.225582,0.196054,0.128141,0.218695,0.198040,0.129636,0.298312,0.197781,0.130898,0.380912,-0.107844,0.132305,0.298610,-0.107418,0.133669,0.377851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175530,0.423985,-0.267063,0.138660,0.365275,-0.101860,0.133978,0.419025,-0.251379,0.204898,0.363353,-0.090855,0.176035,0.404360,-0.105071,0.452211,0.413095,0.224893,0.457241,0.419012,0.178439,0.425210,0.369913,0.148026,0.384246,0.369295,0.100063,0.426556,0.364690,0.050650
9,0.037500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.045833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.054167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.058333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.066667,-0.816837,-0.046231,0.051369,-0.572714,0.186968,0.343028,-0.012671,-0.651184,0.205644,-0.520535,-0.512555,0.339106,0.271188,0.213346,0.000768,-0.000313,0.000330,-1.000000,0.038669,0.137474,0.300325,0.215336,0.140565,0.428330,0.168503,0.141486,0.560922,-0.122416,0.143270,0.486854,-0.123544,0.141713,0.557782,0.231150,0.121904,0.562624,0.039202,0.124438,0.298969,0.039131,0.125738,0.223233,0.355237,0.284246,0.263983,0.039043,0.123834,0.380480,-0.107758,0.133268,0.225581,0.195985,0.128147,0.218677,0.197981,0.129640,0.298294,0.197777,0.130892,0.380939,-0.107864,0.132304,0.298593,-0.107486,0.133687,0.377814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174911,0.423539,-0.266288,0.138320,0.364477,-0.101355,0.133436,0.418539,-0.250639,0.204576,0.362613,-0.090383,0.175641,0.403646,-0.104472,0.452098,0.412754,0.225449,0.457086,0.418747,0.179124,0.425098,0.369683,0.148561,0.384101,0.369043,0.100560,0.426413,0.364637,0.051135
17,0.070833,-0.816902,-0.046199,0.051327,-0.572628,0.186882,0.342910,-0.012619,-0.651162,0.205666,-0.520564,-0.512545,0.339088,0.271156,0.213408,0.000788,-0.000323,0.000303,-1.000000,0.038661,0.137459,0.300327,0.215313,0.140566,0.428331,0.168508,0.141485,0.560920,-0.122407,0.143251,0.486857,-0.123534,0.141700,0.557787,0.231131,0.121911,0.562627,0.039211,0.124422,0.298965,0.039114,0.125749,0.223222,0.355275,0.284161,0.264015,0.039051,0.123824,0.380486,-0.107765,0.133271,0.225570,0.196000,0.128132,0.218667,0.197986,0.129622,0.298295,0.197769,0.130884,0.380918,-0.107862,0.132295,0.298592,-0.107468,0.133677,0.377809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174846,0.423474,-0.266237,0.138265,0.364380,-0.101303,0.133373,0.418485,-0.250596,0.204487,0.362510,-0.090306,0.175565,0.403540,-0.104391,0.452068,0.412713,0.225538,0.457078,0.418718,0.179179,0.425082,0.369664,0.148622,0.384099,0.369008,0.100636,0.426408,0.364602,0.051208
18,0.075000,-0.816948,-0.046203,0.051183,-0.572574,0.186804,0.342811,-0.012562,-0.651192,0.205652,-0.520609,-0.512467,0.339104,0.271103,0.213463,0.000774,-0.000330,0.000293,-1.000000,0.038665,0.137456,0.300335,0.215295,0.140559,0.428343,0.168518,0.141482,0.560911,-0.122374,0.143248,0.486861,-0.123504,0.141675,0.557802,0.231112,0.121906,0.562638,0.039241,0.124408,0.298962,0.039117,0.125747,0.223221,0.356216,0.282109,0.263413,0.039076,0.123817,0.380486,-0.107769,0.133269,0.225558,0.196028,0.128117,0.218665,0.198016,0.129585,0.298285,0.197777,0.130870,0.380900,-0.107861,0.132292,0.298582,-0.107445,0.133654,0.377815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174808,0.423423,-0.266200,0.138219,0.364286,-0.101248,0.133334,0.418413,-0.250560,0.204414,0.362413,-0.090222,0.175500,0.403453,-0.104302,0.452048,0.412674,0.225630,0.457083,0.418695,0.179230,0.425088,0.369622,0.148694,0.384109,0.368977,0.100706,0.426417,0.364580,0.051284
19,0.079167,-0.816959,-0.046167,0.051093,-0.572570,0.186720,0.342717,-0.012477,-0.651235,0.205716,-0.520559,-0.512438,0.339094,0.271067,0.213545,0.000820,-0.000351,0.000279,-1.000000,0.038661,0.137430,0.300361,0.215290,0.140554,0.428362,0.168529,0.141477,0.560919,-0.122358,0.143232,0.486893,-0.123487,0.141673,0.557838,0.231103,0.121914,0.562669,0.039262,0.124398,0.298989,0.039115,0.125748,0.223226,0.356233,0.282082,0.263520,0.039094,0.123810,0.380506,-0.107770,0.133265,0.225587,0.196046,0.128105,0.218681,0.198029,0.129595,0.298305,0.197778,0.130868,0.380910,-0.107846,0.132278,0.298602,-0.107425,0.133647,0.377846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174763,0.423334,-0.266139,0.138164,0.364190,-0.101161,0.133293,0.418336,-0.250501,0.204344,0.362314,-0.090117,0.175422,0.403362,-0.104203,0.452040,0.412620,0.225734,0.457086,0.418651,0.179310,0.425079,0.369593,0.148789,0.384113,0.368957,0.100812,0.426414,0.364566,0.051401
20,0.083333,-0.816995,-0.046207,0.050927,-0.572530,0.186660,0.342603,-0.012402,-0.651250,0.205709,-0.520526,-0.512454,0.339109,0.271026,0.213652,0.000871,-0.000369,0.000284,-1.000000,0.038671,0.137386,0.300389,0.215290,0.140518,0.428395,0.168543,0.141459,0.560935,-0.122322,0.143214,0.486925,-0.123464,0.141650,0.557872,0.231115,0.121898,0.562686,0.039290,0.124391,0.299015,0.039129,0.125718,0.223240,0.356264,0.282019,0.263624,0.039118,0.123787,0.380531,-0.107754,0.133250,0.225600,0.196074,0.128093,0.218708,0.198051,0.129582,0.298323,0.197792,0.130853,0.380926,-0.107833,0.132260,0.298623,-0.107398,0.133621,0.377881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174732,0.423255,-0.266083,0.138135,0.364079,-0.101090,0.133267,0.418245,-0.250448,0.204295,0.362204,-0.090011,0.175361,0.403250,-0.104110,0.452049,0.412577,0.225833,0.457106,0.418603,0.179397,0.425093,0.369542,0.148887,0.384130,0.368921,0.100928,0.426421,0.364525,0.051515
21,0.087500,-0.816993,-0.046238,0.050809,-0.572540,0.186590,0.342517,-0.012315,-0.651344,0.205750,-0.520436,-0.512410,0.339109,0.270987,0.213746,0.000902,-0.000378,0.000319,-0.999999,0.038675,0.137371,0.300415,0.215293,0.140496,0.428421,0.168570,0.141458,0.560967,-0.122320,0.143223,0.486956,-0.123455,0.141659,0.557895,0.231113,0.121882,0.562703,0.039299,0.124393,0.299037,0.039130,0.125706,0.223259,0.356282,0.281968,0.263741,0.039119,0.123790,0.380557,-0.108041,0.132956,0.225679,0.196075,0.128097,0.218732,0.198054,0.129588,0.298340,0.197805,0.130851,0.380946,-0.107826,0.132262,0.298650,-0.107387,0.133639,0.377907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174689,0.423164,-0.266003,0.138080,0.363979,-0.100992,0.133221,0.418155,-0.250384,0.204235,0.362120,-0.089924,0.175289,0.403160,-0.104019,0.452050,0.412521,0.225934,0.457109,0.418560,0.179492,0.425089,0.369508,0.148995,0.384120,0.368910,0.101049,0.426412,0.364523,0.051631
22,0.091667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.095833,-0.816924,-0.046428,0.050562,-0.572645,0.186493,0.342414,-0.012130,-0.651608,0.205672,-0.520233,-0.512313,0.339153,0.270909,0.213967,0.000882,-0.000378,0.000326,-1.000000,0.038678,0.137399,0.300445,0.215321,0.140517,0.428452,0.168553,0.141479,0.560990,-0.122326,0.143245,0.486991,-0.123463,0.141681,0.557929,0.231135,0.121891,0.562730,0.039276,0.124435,0.299080,0.039134,0.125744,0.223296,0.356377,0.281782,0.263889,0.039113,0.123820,0.380582,-0.107749,0.133271,0.225664,0.196046,0.128140,0.218770,0.198039,0.129616,0.298381,0.197812,0.130877,0.380985,-0.107819,0.132293,0.298705,-0.107405,0.133660,0.377947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174603,0.423015,-0.265850,0.137969,0.363837,-0.100817,0.133116,0.417954,-0.250211,0.204148,0.362019,-0.089750,0.175176,0.403017,-0.103843,0.452093,0.412441,0.226134,0.457110,0.418512,0.179710,0.425081,0.369461,0.149207,0.384092,0.368886,0.101284,0.426354,0.364517,0.051835
24,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.104167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
