Format Version,1.23,Take Name,cap_053,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.58.53.081 PM,Total Frames in Take,1773,Total Exported Frames,1773,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.859053,0.151762,-0.065175,-0.484509,-0.102248,0.275834,0.084512,-0.747789,-0.199716,0.297882,-0.558741,-0.345269,0.351637,0.120156,-0.000226,-0.000467,0.000352,-1.000000,0.038637,0.137919,0.300357,0.215407,0.140778,0.428314,0.168453,0.141116,0.560811,-0.122332,0.143310,0.486972,-0.123470,0.141740,0.557903,0.231150,0.122032,0.562621,0.039160,0.123946,0.299029,0.038960,0.123485,0.380550,0.038888,0.125133,0.223193,-0.315164,0.349671,0.100844,0.195910,0.128015,0.218673,-0.107960,0.132179,0.298642,0.197737,0.129533,0.298313,-0.107853,0.133173,0.225629,-0.107482,0.133977,0.377967,0.197556,0.130576,0.380890,,,,,,,,,,,,,,,,,,,0.006459,0.390976,-0.129958,-0.105596,0.320549,-0.009006,-0.038846,0.392464,-0.132811,-0.050392,0.300945,0.025616,-0.064283,0.349020,0.010778,-0.350691,0.457894,-0.027306,-0.394976,0.473939,-0.018631,-0.419485,0.440666,0.031833,-0.450676,0.460318,0.082893,-0.511873,0.457718,0.059125
7,0.029167,-0.859083,0.151619,-0.065381,-0.484472,-0.102129,0.275722,0.084611,-0.747873,-0.199753,0.298157,-0.558469,-0.345135,0.351534,0.120165,-0.000213,-0.000457,0.000348,-1.000000,0.038639,0.137899,0.300338,0.215395,0.140760,0.428304,0.168451,0.141114,0.560788,-0.122330,0.143300,0.486949,-0.123467,0.141719,0.557878,0.231146,0.122016,0.562607,0.039157,0.123931,0.299010,0.038956,0.123471,0.380537,0.038887,0.125125,0.223182,-0.315002,0.349632,0.100930,0.195909,0.128000,0.218656,-0.107957,0.132171,0.298615,0.197738,0.129524,0.298297,-0.107842,0.133166,0.225606,-0.107474,0.133976,0.377943,0.197544,0.130573,0.380875,,,,,,,,,,,,,,,,,,,0.006575,0.390910,-0.129831,-0.105435,0.320395,-0.008932,-0.038750,0.392391,-0.132673,-0.050293,0.300856,0.025727,-0.064176,0.348953,0.010875,-0.350578,0.457862,-0.027260,-0.394862,0.473888,-0.018559,-0.419346,0.440632,0.031922,-0.450525,0.460281,0.083006,-0.511710,0.457709,0.059249
8,0.033333,-0.859131,0.151327,-0.065821,-0.484419,-0.101999,0.275583,0.084705,-0.747722,-0.199902,0.298364,-0.558508,-0.344925,0.351517,0.120264,-0.000248,-0.000453,0.000346,-1.000000,0.038636,0.137912,0.300328,0.215399,0.140765,0.428291,0.168440,0.141106,0.560780,-0.122336,0.143301,0.486941,-0.123471,0.141712,0.557869,0.231142,0.122015,0.562602,0.039151,0.123929,0.299010,0.038945,0.123473,0.380528,0.038874,0.125129,0.223180,-0.314839,0.349604,0.101030,0.195902,0.128000,0.218653,-0.107955,0.132161,0.298606,0.197728,0.129531,0.298292,-0.107851,0.133159,0.225591,-0.107479,0.133976,0.377932,0.197543,0.130560,0.380868,,,,,,,,,,,,,,,,,,,0.006689,0.390834,-0.129691,-0.105267,0.320213,-0.008866,-0.038635,0.392331,-0.132526,-0.050194,0.300786,0.025842,-0.064062,0.348867,0.010989,-0.350444,0.457829,-0.027178,-0.394747,0.473856,-0.018428,-0.419197,0.440586,0.032030,-0.450338,0.460244,0.083144,-0.511548,0.457669,0.059414
9,0.037500,-0.859174,0.151306,-0.065783,-0.484355,-0.101850,0.275486,0.084848,-0.747661,-0.200050,0.298636,-0.558390,-0.344712,0.351465,0.120346,-0.000108,-0.000505,0.000269,-1.000000,0.038649,0.137859,0.300319,0.215407,0.140761,0.428301,0.168456,0.141113,0.560787,-0.122314,0.143287,0.486936,-0.123450,0.141704,0.557869,0.231255,0.122100,0.562523,0.039162,0.123932,0.299012,0.038966,0.123472,0.380536,0.038888,0.125132,0.223185,-0.314668,0.349578,0.101149,0.195915,0.128004,0.218652,-0.107935,0.132156,0.298607,0.197748,0.129524,0.298301,-0.107838,0.133148,0.225596,-0.107465,0.133959,0.377934,0.197554,0.130567,0.380877,,,,,,,,,,,,,,,,,,,0.006817,0.390762,-0.129545,-0.105110,0.320125,-0.008722,-0.038501,0.392281,-0.132363,-0.050052,0.300694,0.025983,-0.063930,0.348798,0.011150,-0.350304,0.457795,-0.027071,-0.394622,0.473843,-0.018289,-0.419032,0.440554,0.032154,-0.450135,0.460206,0.083311,-0.511349,0.457626,0.059604
10,0.041667,-0.859256,0.151445,-0.065468,-0.484208,-0.101703,0.275374,0.085014,-0.742842,-0.200993,0.297952,-0.564811,-0.343636,0.353072,0.121690,-0.000109,-0.000499,0.000248,-1.000000,0.038670,0.137859,0.300347,0.215423,0.140768,0.428334,0.168487,0.141124,0.560825,-0.122295,0.143277,0.486961,-0.123437,0.141697,0.557893,0.231263,0.122103,0.562545,0.039178,0.123943,0.299037,0.038972,0.123461,0.380555,0.038895,0.125128,0.223207,-0.314514,0.349537,0.101287,0.195925,0.128009,0.218679,-0.107919,0.132155,0.298628,0.197753,0.129516,0.298321,-0.107828,0.133145,0.225612,-0.107443,0.133954,0.377951,0.197567,0.130567,0.380901,,,,,,,,,,,,,,,,,,,0.006941,0.390705,-0.129376,-0.105001,0.320060,-0.008519,-0.038363,0.392233,-0.132182,-0.049901,0.300577,0.026154,-0.063776,0.348686,0.011323,-0.350155,0.457719,-0.026886,,,,-0.418868,0.440512,0.032317,-0.449938,0.460180,0.083483,-0.511151,0.457590,0.059810
11,0.045833,-0.859333,0.151900,-0.064656,-0.484038,-0.101545,0.275296,0.085201,-0.742775,-0.200945,0.298055,-0.564863,-0.343453,0.353043,0.121880,0.000088,-0.000447,0.000362,-1.000000,0.038684,0.137730,0.300381,0.215375,0.140651,0.428370,0.168510,0.141111,0.560849,-0.122264,0.143269,0.486977,-0.123413,0.141687,0.557904,0.231189,0.122002,0.562648,0.039207,0.123926,0.299060,0.038998,0.123445,0.380570,0.038928,0.125127,0.223227,-0.314319,0.349487,0.101408,0.195947,0.127994,0.218705,-0.107880,0.132138,0.298646,0.197789,0.129525,0.298344,-0.107795,0.133144,0.225630,-0.107417,0.133944,0.377966,0.197600,0.130574,0.380925,,,,,,,,,,,,,,,,,,,0.007084,0.390635,-0.129200,-0.104904,0.320108,-0.008268,-0.038218,0.392174,-0.131994,-0.049723,0.300447,0.026318,-0.063586,0.348565,0.011503,-0.350001,0.457653,-0.026708,,,,-0.418670,0.440481,0.032505,-0.449736,0.460148,0.083658,-0.510971,0.457573,0.059987
12,0.050000,-0.859414,0.152084,-0.064286,-0.483886,-0.101385,0.275182,0.085365,-0.742758,-0.200927,0.298155,-0.564839,-0.343287,0.353015,0.122054,-0.000170,-0.000375,0.000296,-1.000000,0.038758,0.137859,0.300404,0.215468,0.140757,0.428362,0.168528,0.141113,0.560853,-0.122240,0.143263,0.486985,-0.123391,0.141680,0.557919,0.231245,0.122008,0.562770,0.039229,0.123928,0.299066,0.039024,0.123436,0.380576,0.038952,0.125122,0.223233,-0.314137,0.349441,0.101530,0.195970,0.127984,0.218715,-0.107866,0.132128,0.298658,0.197814,0.129510,0.298351,-0.107773,0.133130,0.225643,-0.107393,0.133942,0.377978,0.197623,0.130576,0.380931,,,,,,,,,,,,,,,,,,,0.007227,0.390569,-0.129022,-0.104794,0.320082,-0.008070,-0.038070,0.392104,-0.131820,-0.049556,0.300318,0.026474,-0.063402,0.348447,0.011692,-0.349851,0.457617,-0.026541,,,,-0.418487,0.440468,0.032693,-0.449556,0.460128,0.083853,-0.510811,0.457572,0.060172
13,0.054167,-0.859520,0.151936,-0.064424,-0.483725,-0.101202,0.275016,0.085478,-0.742718,-0.200928,0.298258,-0.564837,-0.343090,0.353021,0.122225,-0.000120,-0.000499,0.000284,-1.000000,0.038738,0.137852,0.300361,0.215493,0.140744,0.428351,0.168552,0.141106,0.560833,-0.122225,0.143281,0.486975,-0.123372,0.141693,0.557910,0.231334,0.122074,0.562560,0.039239,0.123937,0.299054,0.039039,0.123448,0.380559,0.038964,0.125118,0.223217,-0.313946,0.349379,0.101632,0.195994,0.127997,0.218698,-0.107833,0.132146,0.298650,0.197830,0.129508,0.298340,-0.107745,0.133154,0.225629,-0.107369,0.133934,0.377966,0.197629,0.130577,0.380918,,,,,,,,,,,,,,,,,,,0.007395,0.390520,-0.128845,-0.104622,0.319919,-0.007971,-0.037928,0.392031,-0.131663,-0.049378,0.300184,0.026600,-0.063221,0.348355,0.011849,-0.349669,0.457616,-0.026387,,,,-0.418297,0.440466,0.032876,-0.449342,0.460143,0.084053,-0.510629,0.457591,0.060343
14,0.058333,-0.859658,0.151565,-0.064873,-0.483537,-0.101018,0.274797,0.085576,-0.742884,-0.201014,0.298314,-0.564557,-0.342919,0.352953,0.122326,-0.000103,-0.000513,0.000284,-1.000000,0.038727,0.137863,0.300340,0.215490,0.140761,0.428322,0.168539,0.141116,0.560793,-0.122227,0.143298,0.486964,-0.123375,0.141714,0.557893,0.231330,0.122100,0.562546,0.039242,0.123940,0.299031,0.039041,0.123445,0.380540,0.038971,0.125144,0.223196,-0.313762,0.349332,0.101748,0.196001,0.128013,0.218667,-0.107841,0.132177,0.298631,0.197838,0.129524,0.298316,-0.107752,0.133179,0.225610,-0.107380,0.133968,0.377956,0.197626,0.130581,0.380895,,,,,,,,,,,,,,,,,,,0.007538,0.390468,-0.128667,-0.104416,0.319661,-0.007901,-0.037791,0.391964,-0.131484,-0.049229,0.300056,0.026735,-0.063060,0.348225,0.011988,-0.349498,0.457645,-0.026225,,,,-0.418137,0.440468,0.033052,-0.449168,0.460117,0.084235,-0.510438,0.457588,0.060546
15,0.062500,-0.859794,0.151390,-0.065060,-0.483325,-0.100827,0.274612,0.085688,-0.748044,-0.200120,0.299108,-0.557599,-0.343664,0.351161,0.121189,-0.000256,-0.000532,0.000279,-1.000000,0.038719,0.137963,0.300308,0.215522,0.140828,0.428248,0.168535,0.141137,0.560769,-0.122236,0.143334,0.486942,-0.123384,0.141739,0.557877,0.231325,0.122118,0.562517,0.039234,0.123962,0.299002,0.039031,0.123481,0.380521,0.038966,0.125167,0.223166,-0.313592,0.349271,0.101883,0.195993,0.128042,0.218641,-0.107851,0.132204,0.298607,0.197826,0.129550,0.298288,-0.107761,0.133198,0.225595,-0.107382,0.134001,0.377936,0.197623,0.130597,0.380867,,,,,,,,,,,,,,,,,,,0.007700,0.390410,-0.128500,-0.104194,0.319488,-0.007766,-0.037617,0.391928,-0.131288,-0.049069,0.299925,0.026870,-0.062898,0.348114,0.012124,-0.349317,0.457684,-0.026082,-0.393512,0.473721,-0.017289,-0.417970,0.440459,0.033223,-0.448999,0.460088,0.084388,-0.510249,0.457579,0.060746
