Format Version,1.23,Take Name,cap_082,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.12.47.708 PM,Total Frames in Take,2545,Total Exported Frames,2545,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 4341,Unlabeled 4341,Unlabeled 4341,Unlabeled 4342,Unlabeled 4342,Unlabeled 4342,Unlabeled 4343,Unlabeled 4343,Unlabeled 4343,Unlabeled 4344,Unlabeled 4344,Unlabeled 4344,Unlabeled 4345,Unlabeled 4345,Unlabeled 4345,Unlabeled 4346,Unlabeled 4346,Unlabeled 4346,Unlabeled 4347,Unlabeled 4347,Unlabeled 4347,Unlabeled 4348,Unlabeled 4348,Unlabeled 4348,Unlabeled 4349,Unlabeled 4349,Unlabeled 4349,Unlabeled 4350,Unlabeled 4350,Unlabeled 4350,Unlabeled 4351,Unlabeled 4351,Unlabeled 4351,Unlabeled 4352,Unlabeled 4352,Unlabeled 4352,Unlabeled 4353,Unlabeled 4353,Unlabeled 4353,Unlabeled 4354,Unlabeled 4354,Unlabeled 4354,Unlabeled 4355,Unlabeled 4355,Unlabeled 4355,Unlabeled 4356,Unlabeled 4356,Unlabeled 4356,Unlabeled 4358,Unlabeled 4358,Unlabeled 4358,Unlabeled 4359,Unlabeled 4359,Unlabeled 4359,Unlabeled 4360,Unlabeled 4360,Unlabeled 4360,Unlabeled 4361,Unlabeled 4361,Unlabeled 4361,Unlabeled 4362,Unlabeled 4362,Unlabeled 4362,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","E70E0","E70E0","E70E0","E7120","E7120","E7120","E71A0","E71A0","E71A0","E71B0","E71B0","E71B0","E7410","E7410","E7410","E7130","E7130","E7130","E7140","E7140","E7140","E7150","E7150","E7150","E7450","E7450","E7450","E7480","E7480","E7480","E7580","E7580","E7580","E7590","E7590","E7590","E75B0","E75B0","E75B0","E75C0","E75C0","E75C0","E75D0","E75D0","E75D0","E7620","E7620","E7620","E7630","E7630","E7630","E7640","E7640","E7640","E7650","E7650","E7650","E7660","E7660","E7660","E7680","E7680","E7680","E76A0","E76A0","E76A0","E76B0","E76B0","E76B0","E76D0","E76D0","E76D0","E76C0","E76C0","E76C0","E76E0","E76E0","E76E0","E7210","E7210","E7210","E70D0","E70D0","E70D0","E7600","E7600","E7600","E73D0","E73D0","E73D0","E74A0","E74A0","E74A0","E7170","E7170","E7170","E7550","E7550","E7550","E71D0","E71D0","E71D0","E71E0","E71E0","E71E0","E71F0","E71F0","E71F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.831789,0.090843,-0.051159,-0.545213,-0.086629,0.299872,0.039830,-0.791509,-0.192978,0.275003,-0.510535,-0.313193,0.322088,0.136681,-0.000179,-0.001291,0.000202,-0.999999,0.038274,0.138004,0.300635,0.215458,0.140926,0.428266,0.168489,0.141242,0.560800,-0.122378,0.143397,0.486962,-0.123584,0.141716,0.559385,0.231248,0.122237,0.562507,0.038793,0.126611,0.223168,0.039132,0.125046,0.298978,0.038923,0.124240,0.380480,-0.283127,0.320060,0.117664,-0.108064,0.132624,0.298627,0.197560,0.130657,0.380855,-0.107694,0.132821,0.377961,0.197761,0.129679,0.298255,0.195975,0.128376,0.218644,-0.108040,0.133212,0.225680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008062,0.391281,-0.197714,-0.102053,0.330736,-0.057896,-0.053232,0.389855,-0.196251,-0.042767,0.320217,-0.026839,-0.061713,0.364710,-0.046322,-0.307971,0.446253,0.003944,-0.352394,0.461843,0.010960,-0.380556,0.423895,0.057235,-0.413777,0.437862,0.108854,-0.473457,0.440887,0.082238
1,0.004167,-0.831796,0.090980,-0.050972,-0.545198,-0.086600,0.299833,0.039881,-0.791460,-0.193017,0.275051,-0.510570,-0.313157,0.322085,0.136748,-0.000191,-0.001215,0.000244,-0.999999,0.038276,0.138003,0.300635,0.215436,0.140919,0.428250,0.168470,0.141239,0.560780,-0.122398,0.143399,0.486957,-0.123605,0.141717,0.559375,0.231179,0.122192,0.562600,0.038781,0.126594,0.223153,0.039114,0.125034,0.298970,0.038906,0.124223,0.380469,-0.283078,0.320042,0.117703,-0.108078,0.132610,0.298611,0.197545,0.130650,0.380848,-0.107718,0.132821,0.377952,0.197747,0.129680,0.298246,0.195951,0.128381,0.218635,-0.108060,0.133216,0.225679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008028,0.391229,-0.197673,-0.102030,0.330716,-0.057829,-0.053199,0.389821,-0.196199,-0.042734,0.320170,-0.026799,-0.061678,0.364657,-0.046268,-0.307954,0.446232,0.003988,-0.352381,0.461834,0.011026,-0.380531,0.423872,0.057297,-0.413758,0.437859,0.108922,-0.473441,0.440867,0.082320
2,0.008333,-0.831805,0.090984,-0.050997,-0.545181,-0.086565,0.299790,0.039929,-0.791406,-0.193069,0.274999,-0.510664,-0.313098,0.322100,0.136829,-0.000170,-0.001215,0.000232,-0.999999,0.038270,0.137993,0.300621,0.215432,0.140916,0.428232,0.168459,0.141240,0.560773,-0.122407,0.143398,0.486942,-0.123613,0.141709,0.559359,0.231180,0.122204,0.562585,0.038787,0.126586,0.223145,0.039110,0.125040,0.298953,0.038897,0.124227,0.380457,-0.283016,0.320049,0.117750,-0.108071,0.132625,0.298604,0.197543,0.130655,0.380843,-0.107728,0.132828,0.377938,0.197745,0.129670,0.298231,0.195940,0.128374,0.218640,-0.108054,0.133197,0.225667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007984,0.391195,-0.197628,-0.101979,0.330678,-0.057794,-0.053158,0.389785,-0.196134,-0.042705,0.320131,-0.026746,-0.061642,0.364617,-0.046210,-0.307915,0.446235,0.004049,-0.352342,0.461815,0.011081,-0.380499,0.423860,0.057366,-0.413722,0.437847,0.108975,-0.473405,0.440844,0.082384
3,0.012500,-0.831791,0.090912,-0.051097,-0.545204,-0.086530,0.299749,0.040002,-0.791343,-0.193192,0.274939,-0.510746,-0.313019,0.322101,0.136920,0.000114,-0.001266,0.000268,-0.999999,0.038229,0.137845,0.300642,0.215358,0.140819,0.428261,0.168463,0.141237,0.560780,-0.122414,0.143388,0.486946,-0.123622,0.141701,0.559369,0.231172,0.122191,0.562595,0.038775,0.126582,0.223146,0.039111,0.125034,0.298963,0.038900,0.124240,0.380466,-0.282968,0.320041,0.117831,-0.108077,0.132609,0.298609,0.197541,0.130654,0.380849,-0.107736,0.132820,0.377945,0.197750,0.129672,0.298233,0.195933,0.128355,0.218638,-0.108071,0.133194,0.225670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007953,0.391150,-0.197558,-0.101944,0.330619,-0.057729,-0.053120,0.389733,-0.196057,-0.042671,0.320095,-0.026677,-0.061611,0.364584,-0.046135,-0.307884,0.446231,0.004125,-0.352305,0.461786,0.011154,-0.380456,0.423821,0.057450,-0.413680,0.437813,0.109060,-0.473374,0.440792,0.082471
4,0.016667,-0.831790,0.091016,-0.050999,-0.545197,-0.086495,0.299719,0.040082,-0.791363,-0.193280,0.274871,-0.510718,-0.312946,0.322071,0.136992,-0.000159,-0.001227,0.000191,-0.999999,0.038277,0.137968,0.300640,0.215442,0.140908,0.428255,0.168476,0.141244,0.560794,-0.122398,0.143362,0.486961,-0.123608,0.141677,0.559381,0.231197,0.122189,0.562592,0.038793,0.126602,0.223165,0.039131,0.125034,0.298984,0.038911,0.124233,0.380475,-0.282900,0.320036,0.117926,-0.108064,0.132618,0.298628,0.197556,0.130652,0.380859,-0.107722,0.132771,0.377952,0.197767,0.129671,0.298247,0.195942,0.128331,0.218650,-0.108051,0.133178,0.225671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007903,0.391112,-0.197473,-0.101921,0.330597,-0.057649,-0.053072,0.389697,-0.195981,-0.042627,0.320057,-0.026600,-0.061552,0.364551,-0.046049,-0.307837,0.446238,0.004236,-0.352254,0.461746,0.011225,-0.380405,0.423789,0.057528,-0.413620,0.437759,0.109153,-0.473325,0.440754,0.082561
5,0.020833,-0.831765,0.091137,-0.050861,-0.545229,-0.086464,0.299687,0.040170,-0.791380,-0.193355,0.274855,-0.510673,-0.312873,0.322023,0.137068,-0.000226,-0.001204,0.000177,-0.999999,0.038302,0.137975,0.300656,0.215467,0.140904,0.428274,0.168494,0.141214,0.560812,-0.122388,0.143339,0.486972,-0.123593,0.141645,0.559393,0.231207,0.122170,0.562621,0.038801,0.126596,0.223188,0.039148,0.125019,0.299012,0.038920,0.124218,0.380498,-0.282843,0.320012,0.118039,-0.108058,0.132589,0.298653,0.197571,0.130637,0.380877,-0.107705,0.132760,0.377970,0.197781,0.129660,0.298269,0.195962,0.128300,0.218658,-0.108041,0.133165,0.225694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007864,0.391057,-0.197393,-0.101888,0.330583,-0.057554,-0.053030,0.389628,-0.195905,-0.042595,0.320003,-0.026512,-0.061507,0.364490,-0.045979,-0.307787,0.446213,0.004341,-0.352201,0.461712,0.011304,-0.380347,0.423735,0.057614,-0.413560,0.437704,0.109265,-0.473269,0.440702,0.082662
