Format Version,1.23,Take Name,cap_057,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.00.28.041 PM,Total Frames in Take,1734,Total Exported Frames,1734,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.825197,0.165633,-0.165765,-0.513943,-0.010713,0.280412,0.092515,-0.789521,-0.226056,0.260797,-0.507484,-0.275497,0.329407,0.197413,0.000436,-0.000611,0.000086,-1.000000,0.038633,0.137709,0.300416,0.215425,0.140795,0.428336,0.168547,0.141513,0.560923,-0.122273,0.143306,0.486955,-0.123459,0.141710,0.558097,0.231264,0.122146,0.562551,0.038853,0.125932,0.223185,0.039296,0.124710,0.299038,0.039067,0.124079,0.380516,-0.247931,0.329469,0.179998,-0.107923,0.132340,0.298621,0.197795,0.129574,0.298303,-0.108038,0.133003,0.225653,0.195927,0.128001,0.218648,0.197557,0.130696,0.380900,-0.107536,0.133864,0.377977,,,,,,,,,,,,,,,,,,,,,,0.129642,0.379282,-0.111165,0.001264,0.314533,-0.004608,0.085879,0.377614,-0.122243,0.049676,0.302700,0.041168,0.036524,0.347866,0.018532,-0.280361,0.456814,0.068253,-0.325655,0.469574,0.075928,-0.350679,0.428858,0.121407,-0.383767,0.438970,0.173987,-0.443851,0.438513,0.148219
7,0.029167,-0.825197,0.165362,-0.165916,-0.513982,-0.010642,0.280485,0.092469,-0.789671,-0.225899,0.261018,-0.507208,-0.275629,0.329409,0.197424,0.000495,-0.000635,0.000117,-1.000000,0.038596,0.137680,0.300448,0.215399,0.140767,0.428358,0.168509,0.141519,0.560963,-0.122304,0.143310,0.486992,-0.123492,0.141719,0.558137,0.231257,0.122126,0.562565,0.038833,0.125903,0.223196,0.039265,0.124717,0.299089,0.039034,0.124069,0.380550,-0.247977,0.329500,0.180040,-0.107960,0.132351,0.298665,0.197788,0.129559,0.298324,-0.108055,0.132969,0.225668,0.195907,0.127969,0.218678,0.197550,0.130686,0.380916,-0.107546,0.133849,0.377991,,,,,,,,,,,,,,,,,,,,,,0.129646,0.379388,-0.111240,0.001320,0.314592,-0.004671,0.085880,0.377708,-0.122314,0.049729,0.302796,0.041123,0.036547,0.347954,0.018473,-0.280413,0.456851,0.068300,-0.325733,0.469676,0.076015,-0.350761,0.428968,0.121486,-0.383838,0.439050,0.174068,-0.443910,0.438630,0.148307
8,0.033333,-0.825270,0.165300,-0.165801,-0.513922,-0.010572,0.280561,0.092414,-0.789673,-0.225749,0.261184,-0.507185,-0.275730,0.329485,0.197491,0.000684,-0.000606,0.000258,-1.000000,0.038557,0.137569,0.300488,0.215330,0.140655,0.428388,0.168483,0.141527,0.560994,-0.122325,0.143322,0.487023,-0.123516,0.141730,0.558165,0.231139,0.122016,0.562655,0.038822,0.125893,0.223208,0.039238,0.124726,0.299119,0.039010,0.124072,0.380582,-0.248015,0.329523,0.180077,-0.107976,0.132367,0.298707,0.197776,0.129545,0.298331,-0.108061,0.132947,0.225684,0.195899,0.127954,0.218693,0.197540,0.130668,0.380926,-0.107555,0.133838,0.377996,,,,,,,,,,,,,,,,,,,,,,0.129668,0.379515,-0.111314,0.001364,0.314696,-0.004716,0.085890,0.377822,-0.122381,0.049788,0.302873,0.041062,0.036586,0.348045,0.018418,-0.280456,0.456900,0.068347,-0.325799,0.469761,0.076067,-0.350838,0.429101,0.121562,-0.383898,0.439152,0.174133,-0.443967,0.438760,0.148380
9,0.037500,-0.825324,0.165006,-0.166058,-0.513846,-0.010497,0.280593,0.092340,-0.789714,-0.225681,0.261312,-0.507086,-0.275803,0.329529,0.197517,-0.000226,-0.000635,0.000383,-1.000000,0.038558,0.137917,0.300470,0.215414,0.140763,0.428367,0.168495,0.141124,0.560859,-0.122337,0.143323,0.487040,-0.123532,0.141740,0.558190,0.231142,0.122006,0.562669,0.038829,0.125880,0.223210,0.039227,0.124740,0.299146,0.039000,0.124081,0.380600,-0.248039,0.329591,0.180121,-0.107999,0.132372,0.298725,0.197778,0.129529,0.298342,-0.108071,0.132943,0.225687,0.195899,0.127945,0.218692,0.197546,0.130670,0.380928,-0.107554,0.133827,0.378003,,,,,,,,,,,,,,,,,,,,,,0.129694,0.379635,-0.111372,0.001419,0.314713,-0.004802,0.085911,0.377957,-0.122442,0.049849,0.302975,0.040998,0.036630,0.348118,0.018364,-0.280500,0.456956,0.068385,-0.325856,0.469828,0.076106,-0.350893,0.429197,0.121618,-0.383941,0.439214,0.174196,-0.444015,0.438863,0.148438
10,0.041667,-0.825431,0.164770,-0.166253,-0.513688,-0.010405,0.280610,0.092253,-0.789728,-0.225607,0.261377,-0.507063,-0.275856,0.329575,0.197548,0.000185,-0.000735,0.000368,-1.000000,0.038531,0.137731,0.300463,0.215352,0.140662,0.428387,0.168513,0.141124,0.560852,-0.122334,0.143321,0.487050,-0.123536,0.141738,0.558191,0.231267,0.122088,0.562577,0.038844,0.125893,0.223209,0.039228,0.124736,0.299156,0.038999,0.124070,0.380608,-0.248047,0.329656,0.180156,-0.107997,0.132372,0.298736,0.197795,0.129530,0.298330,-0.108045,0.132944,0.225680,0.195923,0.127949,0.218683,0.197563,0.130668,0.380926,-0.107537,0.133823,0.377991,,,,,,,,,,,,,,,,,,,,,,0.129733,0.379781,-0.111432,0.001493,0.314743,-0.004897,0.085963,0.378103,-0.122497,0.049927,0.303050,0.040930,0.036690,0.348193,0.018312,-0.280517,0.456992,0.068417,-0.325891,0.469886,0.076129,-0.350935,0.429269,0.121647,-0.383971,0.439278,0.174235,-0.444052,0.438940,0.148474
11,0.045833,-0.825533,0.164561,-0.166403,-0.513541,-0.010322,0.280624,0.092194,-0.789671,-0.225624,0.261429,-0.507118,-0.275868,0.329616,0.197592,0.000155,-0.000736,0.000374,-1.000000,0.038537,0.137749,0.300471,0.215365,0.140672,0.428390,0.168518,0.141119,0.560860,-0.122328,0.143325,0.487060,-0.123525,0.141747,0.558200,0.231265,0.122090,0.562584,0.038855,0.125893,0.223212,0.039234,0.124732,0.299158,0.039003,0.124071,0.380614,-0.248059,0.329701,0.180196,-0.107998,0.132377,0.298743,0.197809,0.129536,0.298339,-0.108039,0.132954,0.225696,0.195925,0.127957,0.218693,0.197566,0.130661,0.380932,-0.107527,0.133814,0.378008,,,,,,,,,,,,,,,,,,,,,,0.129770,0.379912,-0.111469,0.001555,0.314772,-0.004951,0.086001,0.378235,-0.122523,0.049997,0.303129,0.040874,0.036742,0.348245,0.018284,-0.280547,0.457016,0.068435,-0.325915,0.469902,0.076149,-0.350956,0.429305,0.121686,-0.383990,0.439302,0.174286,-0.444070,0.438967,0.148504
12,0.050000,-0.825680,0.164650,-0.166258,-0.513324,-0.010268,0.280671,0.092125,-0.789598,-0.225612,0.261470,-0.507216,-0.275867,0.329665,0.197625,0.000159,-0.000728,0.000361,-1.000000,0.038551,0.137737,0.300467,0.215370,0.140667,0.428395,0.168517,0.141108,0.560856,-0.122306,0.143307,0.487049,-0.123511,0.141737,0.558198,0.231281,0.122087,0.562580,0.038867,0.125883,0.223215,0.039252,0.124723,0.299143,0.039026,0.124053,0.380605,-0.248066,0.329739,0.180217,-0.107968,0.132359,0.298729,0.197820,0.129524,0.298342,-0.108023,0.132936,0.225693,0.195934,0.127945,0.218689,0.197583,0.130666,0.380936,-0.107528,0.133810,0.378000,,,,,,,,,,,,,,,,,,,,,,0.129835,0.380076,-0.111504,0.001579,0.314889,-0.004993,0.086042,0.378367,-0.122545,0.050071,0.303185,0.040807,0.036786,0.348322,0.018247,-0.280557,0.457038,0.068438,-0.325921,0.469916,0.076150,-0.350967,0.429330,0.121697,-0.383986,0.439346,0.174294,-0.444077,0.439001,0.148518
13,0.054167,-0.825809,0.164723,-0.166137,-0.513131,-0.010222,0.280701,0.092058,-0.789506,-0.225634,0.261522,-0.507322,-0.275846,0.329681,0.197649,0.000625,-0.000605,0.000243,-1.000000,0.038592,0.137566,0.300495,0.215378,0.140651,0.428395,0.168512,0.141492,0.560994,-0.122293,0.143279,0.487031,-0.123490,0.141707,0.558178,0.231177,0.121987,0.562665,0.038864,0.125863,0.223215,0.039268,0.124689,0.299121,0.039040,0.124030,0.380588,-0.248082,0.329752,0.180239,-0.107956,0.132327,0.298705,0.197822,0.129511,0.298340,-0.108024,0.132916,0.225698,0.195940,0.127935,0.218692,0.197591,0.130650,0.380933,-0.107515,0.133798,0.377999,,,,,,,,,,,,,,,,,,,,,,0.129875,0.380207,-0.111538,0.001609,0.314975,-0.005025,0.086088,0.378485,-0.122577,0.050117,0.303231,0.040741,0.036827,0.348374,0.018205,-0.280562,0.457027,0.068434,-0.325925,0.469889,0.076142,-0.350959,0.429306,0.121689,-0.383978,0.439353,0.174303,-0.444064,0.438992,0.148532
14,0.058333,-0.825928,0.164633,-0.166232,-0.512939,-0.010143,0.280716,0.091959,-0.789431,-0.225612,0.261604,-0.507406,-0.275822,0.329675,0.197647,0.000602,-0.000581,0.000217,-1.000000,0.038624,0.137550,0.300461,0.215390,0.140638,0.428370,0.168538,0.141452,0.560964,-0.122266,0.143247,0.486991,-0.123461,0.141672,0.558131,0.231189,0.121984,0.562644,0.038882,0.125846,0.223185,0.039310,0.124663,0.299077,0.039073,0.124013,0.380553,-0.248085,0.329763,0.180231,-0.107927,0.132289,0.298659,0.197829,0.129496,0.298318,-0.108011,0.132918,0.225667,0.195955,0.127929,0.218662,0.197598,0.130649,0.380913,-0.107505,0.133779,0.377977,,,,,,,,,,,,,,,,,,,,,,0.129931,0.380349,-0.111581,0.001683,0.315037,-0.005100,0.086161,0.378615,-0.122639,0.050201,0.303282,0.040652,0.036881,0.348430,0.018130,-0.280557,0.457010,0.068402,-0.325902,0.469845,0.076113,-0.350937,0.429263,0.121661,-0.383953,0.439355,0.174283,-0.444036,0.438987,0.148522
15,0.062500,-0.826017,0.164355,-0.166576,-0.512773,-0.010084,0.280724,0.091861,-0.789331,-0.225693,0.261637,-0.507508,-0.275769,0.329676,0.197644,0.000738,-0.000634,0.000127,-1.000000,0.038625,0.137492,0.300414,0.215381,0.140630,0.428340,0.168559,0.141444,0.560924,-0.122260,0.143234,0.486952,-0.123450,0.141644,0.558088,0.231283,0.122081,0.562540,0.038874,0.125838,0.223166,0.039316,0.124636,0.299033,0.039088,0.124012,0.380511,-0.248103,0.329785,0.180220,-0.107905,0.132265,0.298613,0.197825,0.129503,0.298296,-0.108013,0.132913,0.225648,0.195950,0.127929,0.218645,0.197591,0.130650,0.380895,-0.107508,0.133772,0.377955,,,,,,,,,,,,,,,,,,,,,,0.129960,0.380507,-0.111618,0.001753,0.315063,-0.005185,0.086198,0.378750,-0.122691,0.050243,0.303363,0.040566,0.036906,0.348487,0.018061,-0.280567,0.457003,0.068369,-0.325875,0.469798,0.076087,-0.350913,0.429206,0.121645,-0.383926,0.439338,0.174262,-0.444008,0.438952,0.148522
16,0.066667,-0.826108,0.164140,-0.166894,-0.512592,-0.010035,0.280757,0.091757,-0.789237,-0.225784,0.261675,-0.507595,-0.275714,0.329696,0.197621,0.000382,-0.000589,0.000060,-1.000000,0.038655,0.137665,0.300359,0.215441,0.140746,0.428286,0.168545,0.141428,0.560861,-0.122253,0.143236,0.486895,-0.123444,0.141630,0.558034,0.231275,0.122099,0.562513,0.038868,0.125856,0.223130,0.039331,0.124638,0.298978,0.039095,0.124018,0.380461,-0.248120,0.329800,0.180185,-0.107890,0.132266,0.298555,0.197814,0.129519,0.298264,-0.108030,0.132940,0.225611,0.195938,0.127954,0.218605,0.197568,0.130662,0.380860,-0.107522,0.133778,0.377918,,,,,,,,,,,,,,,,,,,,,,0.129998,0.380687,-0.111651,0.001818,0.315125,-0.005272,0.086243,0.378905,-0.122744,0.050287,0.303463,0.040470,0.036923,0.348569,0.017997,-0.280572,0.457015,0.068315,-0.325857,0.469782,0.076058,-0.350886,0.429165,0.121609,-0.383899,0.439350,0.174227,-0.443977,0.438930,0.148505
17,0.070833,-0.826197,0.163997,-0.167102,-0.512426,-0.009988,0.280796,0.091666,-0.789141,-0.225807,0.261776,-0.507683,-0.275678,0.329714,0.197627,0.000431,-0.000609,0.000057,-1.000000,0.038659,0.137650,0.300327,0.215427,0.140745,0.428267,0.168628,0.141440,0.560796,-0.122248,0.143242,0.486866,-0.123444,0.141634,0.558004,0.231267,0.122113,0.562486,0.038862,0.125858,0.223113,0.039337,0.124634,0.298938,0.039102,0.124019,0.380435,-0.248135,0.329802,0.180170,-0.107881,0.132250,0.298511,0.197805,0.129531,0.298236,-0.108026,0.132943,0.225587,0.195933,0.127961,0.218584,0.197561,0.130661,0.380834,-0.107523,0.133781,0.377903,,,,,,,,,,,,,,,,,,,,,,0.130043,0.380853,-0.111688,0.001880,0.315193,-0.005341,0.086282,0.379048,-0.122789,0.050325,0.303544,0.040391,0.036946,0.348657,0.017933,-0.280572,0.457016,0.068283,-0.325840,0.469760,0.076037,-0.350860,0.429139,0.121606,-0.383878,0.439363,0.174216,-0.443956,0.438946,0.148529
