Format Version,1.23,Take Name,cap_083,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.13.16.945 PM,Total Frames in Take,1901,Total Exported Frames,1901,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.029167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.037500,-0.865377,0.187272,-0.001148,-0.464812,-0.064775,0.258836,0.104299,-0.785301,-0.200483,0.314420,-0.494216,-0.228975,0.302411,0.143368,0.000283,-0.001190,0.000096,-0.999999,0.038309,0.137848,0.300722,0.215470,0.140927,0.428308,0.168470,0.141583,0.560983,-0.122376,0.143382,0.487015,-0.123587,0.141693,0.559454,0.231214,0.122182,0.562652,-0.188318,0.299356,0.109313,0.039203,0.124979,0.299154,0.038978,0.124222,0.380591,0.038883,0.126448,0.223261,-0.108097,0.132945,0.225741,0.197743,0.129466,0.298337,-0.107971,0.132665,0.298733,0.195837,0.128185,0.218744,-0.107672,0.132851,0.378042,0.197573,0.130641,0.380918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042272,0.374665,-0.110386,-0.068755,0.309591,0.014008,-0.002189,0.382115,-0.109669,-0.014456,0.281896,0.043369,-0.023178,0.332046,0.032417,-0.230143,0.427572,0.011824,-0.273103,0.444587,0.022068,-0.298748,0.407363,0.070065,-0.327248,0.421845,0.124422,-0.388761,0.427225,0.102811
10,0.041667,-0.865380,0.187467,-0.001525,-0.464727,-0.064702,0.258857,0.104702,-0.785389,-0.200748,0.314015,-0.494226,-0.228794,0.302406,0.143514,0.000239,-0.001199,0.000107,-0.999999,0.038307,0.137863,0.300718,0.215464,0.140927,0.428300,0.168486,0.141581,0.560974,-0.122378,0.143387,0.487009,-0.123585,0.141686,0.559447,0.231216,0.122162,0.562652,-0.188090,0.299425,0.109479,0.039206,0.124969,0.299142,0.038983,0.124213,0.380586,0.038870,0.126457,0.223274,-0.108097,0.132934,0.225745,0.197739,0.129448,0.298330,-0.107985,0.132640,0.298734,0.195844,0.128179,0.218731,-0.107673,0.132844,0.378042,0.197574,0.130637,0.380909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042528,0.374701,-0.109867,-0.068589,0.309624,0.014399,-0.001951,0.382122,-0.109201,-0.014349,0.281882,0.043844,-0.023022,0.332099,0.032805,-0.230004,0.427620,0.012017,-0.272980,0.444596,0.022252,-0.298617,0.407332,0.070224,-0.327150,0.421768,0.124588,-0.388655,0.427108,0.102923
11,0.045833,-0.865413,0.187358,-0.002230,-0.464707,-0.064605,0.258900,0.105084,-0.785522,-0.200936,0.313735,-0.494117,-0.228655,0.302374,0.143611,0.000266,-0.001198,0.000116,-0.999999,0.038303,0.137861,0.300703,0.215464,0.140930,0.428286,0.168472,0.141583,0.560956,-0.122382,0.143396,0.486999,-0.123581,0.141704,0.559434,0.231212,0.122177,0.562634,-0.187908,0.299497,0.109623,0.039196,0.124993,0.299129,0.038975,0.124221,0.380567,0.038841,0.126496,0.223292,-0.108097,0.132952,0.225721,0.197736,0.129460,0.298317,-0.107983,0.132671,0.298720,0.195829,0.128187,0.218709,-0.107689,0.132869,0.378037,0.197561,0.130646,0.380894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042782,0.374803,-0.109389,-0.068464,0.309645,0.014745,-0.001734,0.382165,-0.108777,-0.014202,0.281968,0.044276,-0.022875,0.332153,0.033249,-0.229892,0.427656,0.012184,-0.272874,0.444612,0.022409,-0.298496,0.407303,0.070364,-0.327059,0.421698,0.124726,-0.388552,0.427028,0.103020
12,0.050000,-0.865417,0.187511,-0.002701,-0.464635,-0.064542,0.258958,0.105476,-0.785506,-0.201231,0.313354,-0.494263,-0.228469,0.302390,0.143762,0.000602,-0.001337,0.000108,-0.999999,0.038225,0.137698,0.300704,0.215363,0.140832,0.428297,0.168467,0.141588,0.560956,-0.122387,0.143393,0.486987,-0.123590,0.141689,0.559426,0.231243,0.122217,0.562545,-0.187761,0.299513,0.109776,0.039183,0.124984,0.299114,0.038965,0.124222,0.380571,0.038832,0.126506,0.223293,-0.108118,0.132945,0.225721,0.197711,0.129463,0.298315,-0.107987,0.132669,0.298707,0.195815,0.128176,0.218711,-0.107692,0.132852,0.378024,0.197541,0.130632,0.380896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043036,0.374861,-0.108910,-0.068340,0.309694,0.015136,-0.001471,0.382236,-0.108330,-0.014066,0.282053,0.044710,-0.022766,0.332192,0.033695,-0.229791,0.427693,0.012342,-0.272766,0.444593,0.022562,-0.298381,0.407247,0.070507,-0.326981,0.421629,0.124840,-0.388467,0.426902,0.103129
13,0.054167,-0.865463,0.187709,-0.002892,-0.464469,-0.064447,0.259000,0.105886,-0.785580,-0.201434,0.313016,-0.494276,-0.228328,0.302372,0.143883,0.000249,-0.001185,0.000105,-0.999999,0.038288,0.137858,0.300698,0.215436,0.140927,0.428286,0.168461,0.141575,0.560953,-0.122396,0.143385,0.486988,-0.123596,0.141686,0.559424,0.231177,0.122170,0.562639,-0.187604,0.299527,0.109933,0.039183,0.124979,0.299110,0.038965,0.124219,0.380565,0.038813,0.126513,0.223307,-0.108124,0.132944,0.225710,0.197697,0.129462,0.298315,-0.108000,0.132671,0.298705,0.195807,0.128174,0.218706,-0.107696,0.132849,0.378019,0.197535,0.130635,0.380890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043255,0.374943,-0.108409,-0.068156,0.309754,0.015588,-0.001214,0.382325,-0.107835,-0.013946,0.282109,0.045154,-0.022636,0.332246,0.034103,-0.229681,0.427715,0.012503,-0.272670,0.444584,0.022711,-0.298276,0.407213,0.070634,-0.326909,0.421553,0.124961,-0.388393,0.426797,0.103229
14,0.058333,-0.865509,0.187912,-0.003073,-0.464299,-0.064366,0.259032,0.106273,-0.785679,-0.201587,0.312686,-0.494266,-0.228208,0.302329,0.143999,0.000656,-0.001343,0.000097,-0.999999,0.038216,0.137664,0.300699,0.215348,0.140816,0.428296,0.168468,0.141584,0.560948,-0.122388,0.143376,0.486980,-0.123597,0.141681,0.559420,0.231229,0.122217,0.562538,-0.187437,0.299533,0.110090,0.039182,0.124971,0.299105,0.038963,0.124211,0.380564,0.038797,0.126521,0.223320,-0.108134,0.132923,0.225725,0.197698,0.129461,0.298313,-0.107988,0.132649,0.298700,0.195804,0.128179,0.218707,-0.107702,0.132848,0.378012,0.197526,0.130620,0.380894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043488,0.375032,-0.107935,-0.068020,0.309815,0.015999,-0.000994,0.382390,-0.107391,-0.013829,0.282149,0.045560,-0.022506,0.332287,0.034554,-0.229567,0.427719,0.012657,-0.272570,0.444553,0.022864,-0.298184,0.407163,0.070751,-0.326839,0.421465,0.125079,-0.388320,0.426681,0.103319
15,0.062500,-0.865526,0.188389,-0.003002,-0.464074,-0.064315,0.259111,0.106646,-0.785734,-0.201727,0.312401,-0.494301,-0.228085,0.302304,0.144117,0.000243,-0.001182,0.000092,-0.999999,0.038297,0.137859,0.300686,0.215437,0.140931,0.428278,0.168474,0.141572,0.560938,-0.122386,0.143377,0.486971,-0.123588,0.141684,0.559407,0.231181,0.122174,0.562630,-0.187255,0.299588,0.110232,0.039191,0.124967,0.299098,0.038977,0.124219,0.380548,0.038799,0.126551,0.223329,-0.108124,0.132936,0.225710,0.197708,0.129462,0.298304,-0.107984,0.132654,0.298695,0.195811,0.128176,0.218696,-0.107696,0.132830,0.378004,0.197541,0.130634,0.380888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043746,0.375122,-0.107460,-0.067915,0.309950,0.016396,-0.000757,0.382497,-0.106976,-0.013719,0.282219,0.045950,-0.022357,0.332331,0.035016,-0.229456,0.427728,0.012800,-0.272484,0.444522,0.022996,-0.298085,0.407120,0.070871,-0.326761,0.421388,0.125182,-0.388253,0.426593,0.103403
