Format Version,1.23,Take Name,cap_117,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.48.55.942 PM,Total Frames in Take,1870,Total Exported Frames,1870,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.817779,-0.080789,0.111193,-0.558879,0.176445,0.300582,0.048659,-0.669391,0.231964,-0.460889,-0.534499,0.351586,0.251452,0.209807,0.000593,0.000557,0.000800,-0.999999,0.038918,0.137767,0.300006,0.215318,0.140783,0.428330,0.168432,0.141245,0.560798,-0.122447,0.143388,0.486972,-0.124047,0.142388,0.556463,0.231114,0.122049,0.562663,0.038961,0.124383,0.380511,0.038938,0.127093,0.223248,0.039124,0.125370,0.299038,0.372770,0.261607,0.261619,-0.107986,0.133580,0.225691,0.197895,0.130280,0.298322,-0.107962,0.133133,0.298683,0.195851,0.128565,0.218776,0.215111,0.131492,0.537129,-0.107587,0.133378,0.378025,0.197640,0.131170,0.380890,,,,,,,,,,,,,,,,,,,,,,0.130885,0.387022,-0.199171,0.116306,0.324615,-0.032158,0.091760,0.381781,-0.177482,0.183243,0.321644,-0.030628,0.153521,0.363671,-0.039416,0.480573,0.379018,0.218137,0.482231,0.386847,0.171695,0.442789,0.342946,0.142096,0.398604,0.348972,0.097466,0.436238,0.342171,0.044586
7,0.029167,-0.817780,-0.080670,0.111140,-0.558907,0.176410,0.300549,0.048726,-0.669438,0.231903,-0.460875,-0.534480,0.351605,0.251386,0.209853,0.000634,0.000563,0.000792,-0.999999,0.038930,0.137729,0.300002,0.215323,0.140761,0.428325,0.168442,0.141226,0.560794,-0.122435,0.143362,0.486959,-0.124038,0.142372,0.556460,0.231127,0.122040,0.562666,0.038973,0.124365,0.380497,0.038948,0.127069,0.223237,0.039134,0.125358,0.299029,0.372801,0.261529,0.261647,-0.107967,0.133562,0.225686,0.197897,0.130251,0.298310,-0.107946,0.133112,0.298671,0.195855,0.128540,0.218760,0.215107,0.131492,0.537137,-0.107571,0.133354,0.378017,0.197646,0.131124,0.380878,,,,,,,,,,,,,,,,,,,,,,0.130914,0.386981,-0.199126,0.116303,0.324583,-0.032105,0.091787,0.381747,-0.177436,0.183217,0.321610,-0.030555,0.153514,0.363630,-0.039362,0.480580,0.378987,0.218190,0.482242,0.386795,0.171732,0.442785,0.342890,0.142130,0.398597,0.348906,0.097504,0.436223,0.342122,0.044618
8,0.033333,-0.817768,-0.080645,0.110999,-0.558955,0.176383,0.300523,0.048813,-0.669500,0.231896,-0.460833,-0.534441,0.351610,0.251309,0.209898,0.001244,0.000600,0.000623,-0.999999,0.038948,0.137523,0.300036,0.215332,0.140748,0.428344,0.168447,0.141640,0.560932,-0.122436,0.143353,0.486967,-0.124045,0.142355,0.556468,0.231131,0.122027,0.562674,0.038969,0.124334,0.380504,0.038954,0.127053,0.223250,0.039132,0.125327,0.299030,0.372844,0.261448,0.261704,-0.107968,0.133529,0.225692,0.197896,0.130222,0.298311,-0.107940,0.133099,0.298688,0.195855,0.128524,0.218760,0.215088,0.131499,0.537144,-0.107571,0.133331,0.378022,0.197643,0.131106,0.380885,,,,,,,,,,,,,,,,,,,,,,0.130940,0.386928,-0.199065,0.116292,0.324537,-0.032036,0.091811,0.381698,-0.177374,0.183201,0.321594,-0.030462,0.153515,0.363580,-0.039287,0.480580,0.378926,0.218245,0.482243,0.386721,0.171787,0.442779,0.342826,0.142163,0.398588,0.348841,0.097564,0.436209,0.342067,0.044667
9,0.037500,-0.817786,-0.080506,0.110985,-0.558952,0.176364,0.300465,0.048888,-0.669553,0.231848,-0.460841,-0.534388,0.351639,0.251214,0.209941,0.001222,0.000619,0.000614,-0.999999,0.038975,0.137505,0.300042,0.215356,0.140730,0.428354,0.168483,0.141606,0.560950,-0.122429,0.143320,0.486963,-0.124037,0.142329,0.556469,0.231149,0.122004,0.562687,0.038985,0.124307,0.380505,0.038970,0.127018,0.223252,0.039144,0.125291,0.299026,0.372806,0.261348,0.261764,-0.107956,0.133506,0.225693,0.197917,0.130179,0.298306,-0.107924,0.133072,0.298686,0.195873,0.128483,0.218753,0.215106,0.131485,0.537154,-0.107556,0.133298,0.378028,0.197657,0.131070,0.380878,,,,,,,,,,,,,,,,,,,,,,0.130988,0.386875,-0.198997,0.116306,0.324495,-0.031978,0.091846,0.381660,-0.177309,0.183186,0.321543,-0.030386,0.153524,0.363518,-0.039218,0.480583,0.378886,0.218308,0.482263,0.386637,0.171836,0.442795,0.342742,0.142196,0.398596,0.348757,0.097609,0.436204,0.342003,0.044712
10,0.041667,-0.817786,-0.080441,0.110909,-0.558976,0.176346,0.300426,0.048958,-0.669459,0.231823,-0.460868,-0.534494,0.351628,0.251189,0.210010,0.001224,0.000632,0.000597,-0.999999,0.038985,0.137488,0.300032,0.215366,0.140719,0.428355,0.168476,0.141580,0.560938,-0.122429,0.143297,0.486948,-0.124038,0.142311,0.556457,0.231166,0.122005,0.562681,0.038979,0.124288,0.380492,0.038985,0.126992,0.223248,0.039149,0.125262,0.299017,0.372827,0.261257,0.261784,-0.107940,0.133478,0.225687,0.197910,0.130151,0.298290,-0.107922,0.133053,0.298684,0.195882,0.128439,0.218734,0.215083,0.131499,0.537149,-0.107541,0.133287,0.378020,0.197657,0.131035,0.380863,,,,,,,,,,,,,,,,,,,,,,0.131023,0.386823,-0.198938,0.116312,0.324450,-0.031924,0.091873,0.381616,-0.177253,0.183174,0.321506,-0.030312,0.153528,0.363474,-0.039161,0.480610,0.378940,0.218415,0.482259,0.386564,0.171880,0.442791,0.342679,0.142219,0.398591,0.348685,0.097641,0.436200,0.341929,0.044739
11,0.045833,-0.817815,-0.080333,0.110905,-0.558950,0.176338,0.300370,0.049007,-0.669514,0.231749,-0.460901,-0.534428,0.351665,0.251108,0.210026,0.000084,0.000664,0.000343,-1.000000,0.039079,0.138065,0.299982,0.215614,0.141127,0.428293,0.168497,0.141576,0.560915,-0.122418,0.143295,0.486923,-0.124034,0.142300,0.556428,0.231282,0.122091,0.562581,0.038997,0.124282,0.380459,0.038999,0.126989,0.223221,0.039160,0.125256,0.298984,0.372872,0.261193,0.261797,-0.107916,0.133489,0.225669,0.197924,0.130153,0.298262,-0.107895,0.133043,0.298659,0.195882,0.128425,0.218709,0.215108,0.131475,0.537120,-0.107528,0.133276,0.377995,0.197668,0.131015,0.380838,,,,,,,,,,,,,,,,,,,,,,0.131063,0.386790,-0.198884,0.116315,0.324407,-0.031880,0.091912,0.381582,-0.177213,0.183175,0.321452,-0.030270,0.153548,0.363432,-0.039112,0.480616,0.378897,0.218447,0.482269,0.386513,0.171890,0.442807,0.342619,0.142233,0.398596,0.348620,0.097657,0.436206,0.341878,0.044758
12,0.050000,-0.817868,-0.080220,0.110968,-0.558876,0.176335,0.300295,0.049036,-0.669521,0.231741,-0.460892,-0.534431,0.351665,0.251067,0.210052,0.000074,0.000667,0.000346,-1.000000,0.039083,0.138075,0.299960,0.215622,0.141133,0.428272,0.168496,0.141584,0.560889,-0.122416,0.143303,0.486901,-0.124034,0.142306,0.556407,0.231285,0.122091,0.562563,0.038996,0.124285,0.380431,0.039009,0.126991,0.223205,0.039163,0.125249,0.298960,0.372897,0.261115,0.261808,-0.107919,0.133487,0.225641,0.197930,0.130159,0.298242,-0.107884,0.133065,0.298635,0.195886,0.128430,0.218685,0.215117,0.131529,0.537093,-0.107514,0.133270,0.377982,0.197667,0.131018,0.380815,,,,,,,,,,,,,,,,,,,,,,0.131099,0.386774,-0.198832,0.116322,0.324373,-0.031838,0.091929,0.381560,-0.177175,0.183178,0.321407,-0.030224,0.153568,0.363338,-0.039109,0.480616,0.378866,0.218469,0.482268,0.386468,0.171918,0.442808,0.342573,0.142249,0.398592,0.348582,0.097685,0.436201,0.341837,0.044782
13,0.054167,-0.817899,-0.080213,0.110875,-0.558851,0.176334,0.300269,0.049091,-0.669577,0.231615,-0.461020,-0.534304,0.351717,0.250980,0.210069,-0.000003,0.000737,0.000371,-1.000000,0.039093,0.138103,0.299949,0.215616,0.141147,0.428245,0.168494,0.141602,0.560871,-0.122402,0.143297,0.486875,-0.124026,0.142303,0.556383,0.231167,0.122030,0.562630,0.039002,0.124287,0.380412,0.039007,0.127005,0.223180,0.039172,0.125248,0.298932,0.372929,0.261046,0.261835,-0.107909,0.133492,0.225625,0.197933,0.130147,0.298217,-0.107884,0.133072,0.298611,0.195896,0.128435,0.218665,0.215124,0.131520,0.537071,-0.107521,0.133290,0.377956,0.197674,0.131012,0.380796,,,,,,,,,,,,,,,,,,,,,,0.131125,0.386759,-0.198781,0.116326,0.324343,-0.031799,0.091963,0.381545,-0.177133,0.183205,0.321353,-0.030184,0.153564,0.363367,-0.039012,0.480612,0.378829,0.218495,0.482257,0.386447,0.171955,0.442821,0.342531,0.142271,0.398614,0.348526,0.097712,0.436213,0.341792,0.044805
14,0.058333,-0.817958,-0.080136,0.110960,-0.558758,0.176337,0.300187,0.049125,-0.669612,0.231566,-0.461097,-0.534217,0.351735,0.250921,0.210089,0.000101,0.000676,0.000306,-1.000000,0.039071,0.138084,0.299930,0.215594,0.141166,0.428238,0.168470,0.141610,0.560867,-0.122417,0.143306,0.486870,-0.124033,0.142319,0.556371,0.231261,0.122135,0.562542,0.039003,0.124294,0.380404,0.039000,0.127017,0.223163,0.039173,0.125262,0.298924,0.372933,0.260997,0.261869,-0.107923,0.133508,0.225604,0.197932,0.130150,0.298218,-0.107894,0.133088,0.298601,0.195894,0.128439,0.218658,0.215113,0.131540,0.537047,-0.107533,0.133302,0.377940,0.197676,0.131035,0.380788,,,,,,,,,,,,,,,,,,,,,,0.131137,0.386746,-0.198714,0.116322,0.324311,-0.031757,0.091973,0.381519,-0.177077,0.183221,0.321296,-0.030130,0.153575,0.363272,-0.039000,0.480604,0.378806,0.218529,0.482231,0.386420,0.171999,0.442823,0.342489,0.142302,0.398619,0.348496,0.097746,0.436216,0.341765,0.044829
15,0.062500,-0.818025,-0.080243,0.110679,-0.558701,0.176324,0.300153,0.049209,-0.669666,0.231529,-0.461180,-0.534092,0.351769,0.250857,0.210104,0.001348,0.000582,0.000488,-0.999999,0.038988,0.137480,0.299938,0.215369,0.140766,0.428265,0.168479,0.141629,0.560862,-0.122414,0.143318,0.486863,-0.124027,0.142323,0.556370,0.231258,0.122145,0.562527,0.039006,0.124314,0.380397,0.039006,0.127030,0.223161,0.039177,0.125259,0.298916,0.372969,0.260955,0.261922,-0.107918,0.133517,0.225590,0.197940,0.130170,0.298213,-0.107892,0.133094,0.298598,0.195898,0.128455,0.218657,0.215122,0.131515,0.537038,-0.107527,0.133313,0.377925,0.197672,0.131041,0.380796,,,,,,,,,,,,,,,,,,,,,,0.131167,0.386740,-0.198640,0.116333,0.324268,-0.031701,0.092006,0.381495,-0.177009,0.183249,0.321228,-0.030076,0.153532,0.363319,-0.038839,0.480604,0.378767,0.218563,0.482226,0.386402,0.172051,0.442842,0.342465,0.142339,0.398633,0.348465,0.097775,0.436241,0.341743,0.044871
