Format Version,1.23,Take Name,cap_011,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.17.49.442 PM,Total Frames in Take,2178,Total Exported Frames,2178,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.843254,0.298193,-0.281260,-0.347703,0.083171,0.251827,0.156676,-0.830066,-0.358351,-0.137569,-0.404537,-0.231981,0.264788,0.193262,-0.000512,-0.000122,0.000023,-1.000000,0.038805,0.138260,0.300263,0.215596,0.141164,0.428265,0.168523,0.141562,0.560954,-0.122236,0.143400,0.487042,-0.123863,0.141843,0.557455,0.231270,0.122202,0.562553,0.038856,0.125018,0.223289,0.039120,0.123955,0.299114,0.039060,0.123797,0.380669,-0.195236,0.296377,0.193683,-0.107535,0.133727,0.378052,-0.107706,0.132013,0.298593,-0.107902,0.131537,0.225718,0.195720,0.127712,0.218615,0.197695,0.130582,0.380879,0.197943,0.129199,0.298277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287255,0.390428,0.055964,0.129968,0.310296,0.085018,0.250572,0.396381,0.030496,0.157502,0.282057,0.139378,0.153359,0.332957,0.128591,-0.272736,0.427943,0.124980,-0.316082,0.416068,0.109744,-0.323900,0.351291,0.120539,-0.370760,0.318084,0.146414,-0.407448,0.308693,0.093317
7,0.029167,-0.843914,0.298176,-0.279476,-0.347554,0.082936,0.251758,0.156906,-0.830191,-0.358347,-0.137518,-0.404301,-0.232043,0.264747,0.193145,-0.000519,-0.000057,0.000044,-1.000000,0.038825,0.138274,0.300273,0.215592,0.141176,0.428273,0.168524,0.141583,0.560958,-0.122232,0.143416,0.487031,-0.123863,0.141857,0.557449,0.231228,0.122186,0.562633,0.038859,0.125044,0.223298,0.039124,0.123971,0.299108,0.039066,0.123803,0.380666,-0.195297,0.296356,0.193644,-0.107531,0.133733,0.378035,-0.107704,0.132021,0.298583,-0.107895,0.131560,0.225707,0.195726,0.127726,0.218618,0.197694,0.130594,0.380887,0.197942,0.129207,0.298279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286803,0.390385,0.055763,0.129574,0.310330,0.085202,0.250026,0.396416,0.030405,0.157236,0.281938,0.139404,0.153036,0.332898,0.128765,-0.272799,0.427926,0.124946,-0.316168,0.416083,0.109728,-0.323964,0.351282,0.120486,-0.370843,0.318084,0.146350,-0.407526,0.308705,0.093281
8,0.033333,,,,,,,,-0.830205,-0.358337,-0.137533,-0.404277,-0.232127,0.264718,0.193123,-0.000545,-0.000057,0.000068,-1.000000,0.038814,0.138287,0.300284,0.215586,0.141174,0.428286,0.168513,0.141584,0.560968,-0.122241,0.143426,0.487042,-0.123876,0.141863,0.557464,0.231216,0.122168,0.562642,0.038839,0.125060,0.223323,0.039112,0.123983,0.299123,0.039048,0.123810,0.380682,-0.195388,0.296319,0.193626,-0.107536,0.133730,0.378048,-0.107719,0.132027,0.298603,-0.107890,0.131559,0.225727,0.195714,0.127731,0.218629,0.197688,0.130596,0.380907,0.197934,0.129218,0.298294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286331,0.390355,0.055587,0.129112,0.310347,0.085384,0.249453,0.396417,0.030354,0.156891,0.281800,0.139462,0.152766,0.332821,0.128901,-0.272886,0.427897,0.124935,-0.316255,0.416049,0.109720,-0.324041,0.351256,0.120467,-0.370925,0.318076,0.146314,-0.407604,0.308683,0.093272
9,0.037500,-0.845355,0.298402,-0.275458,-0.347066,0.082451,0.251617,0.157340,,,,,,,,-0.000471,-0.000044,0.000075,-1.000000,0.038817,0.138256,0.300295,0.215568,0.141155,0.428330,0.168510,0.141591,0.560977,-0.122245,0.143429,0.487041,-0.123877,0.141870,0.557469,0.231227,0.122177,0.562642,0.038857,0.125064,0.223332,0.039116,0.123983,0.299131,0.039051,0.123816,0.380681,-0.195469,0.296285,0.193599,-0.107531,0.133730,0.378046,-0.107715,0.132033,0.298601,-0.107881,0.131577,0.225733,0.195725,0.127740,0.218633,0.197686,0.130614,0.380913,0.197928,0.129221,0.298300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285869,0.390274,0.055349,0.128673,0.310373,0.085599,0.248950,0.396500,0.030277,0.156657,0.281716,0.139433,0.152555,0.332755,0.129015,-0.272952,0.427865,0.124915,-0.316327,0.416046,0.109704,-0.324107,0.351234,0.120431,-0.370992,0.318054,0.146275,-0.407682,0.308675,0.093236
10,0.041667,-0.846225,0.298557,-0.273033,-0.346727,0.082256,0.251519,0.157545,-0.830340,-0.358315,-0.137537,-0.404017,-0.232275,0.264628,0.192976,,,,,,,,0.215584,0.141173,0.428289,0.168507,0.141595,0.560971,-0.122244,0.143422,0.487038,-0.123877,0.141859,0.557464,0.231224,0.122168,0.562640,0.038848,0.125057,0.223326,0.039109,0.123983,0.299132,0.039050,0.123804,0.380673,-0.195554,0.296246,0.193566,-0.107528,0.133726,0.378043,-0.107719,0.132030,0.298598,-0.107891,0.131557,0.225729,0.195720,0.127733,0.218632,0.197682,0.130600,0.380917,0.197929,0.129213,0.298295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285408,0.390173,0.055073,0.128235,0.310387,0.085770,0.248391,0.396571,0.030160,0.156428,0.281588,0.139400,0.152350,0.332656,0.129137,-0.273038,0.427828,0.124879,-0.316416,0.416017,0.109679,-0.324197,0.351208,0.120393,-0.371075,0.318028,0.146222,-0.407772,0.308657,0.093179
11,0.045833,-0.847257,0.298715,-0.270377,-0.346152,0.082108,0.251386,0.157715,-0.830364,-0.358247,-0.137659,-0.403985,-0.232364,0.264594,0.192913,-0.000538,-0.000054,0.000063,-1.000000,0.038828,0.138286,0.300262,0.215600,0.141175,0.428271,0.168523,0.141591,0.560940,-0.122233,0.143428,0.487018,-0.123867,0.141862,0.557441,0.231232,0.122172,0.562618,0.038855,0.125060,0.223296,0.039110,0.123985,0.299100,0.039065,0.123810,0.380658,-0.195644,0.296211,0.193518,-0.107508,0.133731,0.378015,-0.107700,0.132043,0.298578,-0.107887,0.131575,0.225711,0.195737,0.127736,0.218609,0.197693,0.130604,0.380887,0.197946,0.129213,0.298272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284956,0.390146,0.054772,0.127828,0.310446,0.085915,0.247817,0.396657,0.030060,0.156252,0.281443,0.139314,0.152145,0.332533,0.129280,-0.273106,0.427812,0.124832,-0.316489,0.415985,0.109629,-0.324264,0.351197,0.120329,-0.371145,0.318008,0.146145,-0.407856,0.308641,0.093073
12,0.050000,-0.848357,0.298668,-0.267641,-0.345625,0.081942,0.251224,0.157938,-0.830261,-0.358199,-0.137867,-0.404170,-0.232472,0.264585,0.192938,-0.000521,-0.000126,0.000020,-1.000000,0.038805,0.138285,0.300231,0.215595,0.141185,0.428246,0.168520,0.141587,0.560923,-0.122231,0.143421,0.487005,-0.123868,0.141861,0.557430,0.231286,0.122222,0.562504,0.038847,0.125062,0.223268,0.039109,0.123992,0.299082,0.039063,0.123801,0.380641,-0.195743,0.296196,0.193487,-0.107515,0.133736,0.378007,-0.107706,0.132034,0.298561,-0.107885,0.131562,0.225683,0.195732,0.127735,0.218592,0.197694,0.130601,0.380863,0.197937,0.129214,0.298251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284423,0.390182,0.054456,0.127330,0.310544,0.086089,0.247141,0.396722,0.029925,0.156067,0.281323,0.139282,0.151872,0.332300,0.129428,-0.273195,0.427783,0.124788,-0.316558,0.415937,0.109582,-0.324348,0.351181,0.120281,-0.371230,0.317969,0.146089,-0.407934,0.308576,0.092982
13,0.054167,-0.849548,0.298691,-0.264587,-0.345031,0.081778,0.251055,0.158171,-0.830142,-0.358147,-0.138072,-0.404390,-0.232572,0.264590,0.192975,-0.000530,-0.000124,0.000028,-1.000000,0.038811,0.138287,0.300219,0.215600,0.141183,0.428229,0.168528,0.141587,0.560905,-0.122228,0.143425,0.486994,-0.123857,0.141859,0.557417,0.231283,0.122212,0.562504,0.038862,0.125057,0.223258,0.039120,0.123978,0.299075,0.039064,0.123811,0.380631,-0.195845,0.296166,0.193450,-0.107518,0.133735,0.377995,-0.107695,0.132026,0.298556,-0.107882,0.131568,0.225680,0.195735,0.127733,0.218580,0.197695,0.130605,0.380854,0.197949,0.129214,0.298242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283838,0.390184,0.054088,0.126844,0.310586,0.086302,0.246458,0.396835,0.029792,0.155805,0.281121,0.139229,0.151662,0.332165,0.129571,-0.273278,0.427754,0.124752,-0.316618,0.415907,0.109525,-0.324421,0.351163,0.120240,-0.371300,0.317944,0.146040,-0.407995,0.308529,0.092898
14,0.058333,-0.850792,0.298145,-0.261917,-0.344475,0.081679,0.250805,0.158444,-0.829976,-0.358045,-0.138285,-0.404747,-0.232703,0.264585,0.193072,-0.000530,-0.000117,0.000024,-1.000000,0.038809,0.138266,0.300232,0.215597,0.141162,0.428239,0.168536,0.141562,0.560924,-0.122231,0.143404,0.487008,-0.123862,0.141833,0.557425,0.231260,0.122197,0.562522,0.038858,0.125033,0.223269,0.039124,0.123962,0.299089,0.039067,0.123791,0.380644,-0.195967,0.296124,0.193453,-0.107535,0.133718,0.378022,-0.107704,0.132003,0.298561,-0.107893,0.131532,0.225682,0.195732,0.127717,0.218589,0.197694,0.130575,0.380858,0.197937,0.129191,0.298245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283133,0.390254,0.053757,0.126383,0.310570,0.086521,0.245665,0.397016,0.029657,0.155599,0.280957,0.139207,0.151431,0.332010,0.129719,-0.273370,0.427726,0.124745,-0.316679,0.415845,0.109463,-0.324511,0.351118,0.120216,-0.371387,0.317903,0.146013,-0.408064,0.308468,0.092841
15,0.062500,-0.852037,0.297159,-0.259654,-0.343961,0.081637,0.250502,0.158718,-0.829890,-0.358022,-0.138397,-0.404907,-0.232795,0.264581,0.193099,-0.000556,-0.000054,0.000058,-1.000000,0.038834,0.138259,0.300256,0.215599,0.141149,0.428249,0.168542,0.141547,0.560934,-0.122221,0.143392,0.487016,-0.123859,0.141827,0.557431,0.231225,0.122142,0.562630,0.038875,0.125021,0.223284,0.039137,0.123952,0.299100,0.039078,0.123776,0.380649,-0.196072,0.296087,0.193443,-0.107529,0.133712,0.378031,-0.107700,0.131991,0.298580,-0.107893,0.131514,0.225688,0.195725,0.127698,0.218588,0.197695,0.130557,0.380858,0.197953,0.129178,0.298252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282410,0.390429,0.053414,0.125908,0.310484,0.086723,0.244816,0.397234,0.029526,0.155430,0.280807,0.139199,0.151192,0.331867,0.129843,-0.273459,0.427703,0.124732,-0.316749,0.415818,0.109404,-0.324582,0.351074,0.120190,-0.371452,0.317878,0.145988,-0.408133,0.308439,0.092791
