Format Version,1.23,Take Name,cap_027,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.36.26.701 PM,Total Frames in Take,2001,Total Exported Frames,2001,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.029167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.033333,-0.878972,0.085956,-0.066564,-0.464316,-0.094776,0.200343,0.169800,-0.841297,-0.390929,0.084010,-0.363781,-0.263842,0.284940,0.204895,0.000382,-0.000403,0.000183,-1.000000,0.038676,0.137497,0.300346,0.215352,0.140605,0.428376,0.168476,0.141060,0.560813,-0.122408,0.142994,0.487017,-0.123315,0.141641,0.557736,0.231159,0.121958,0.562646,0.039147,0.123802,0.299075,-0.234515,0.304669,0.190741,0.038840,0.124945,0.223224,0.038813,0.123537,0.380759,-0.107428,0.133819,0.377993,0.195854,0.127547,0.218704,0.197517,0.130228,0.380900,0.197745,0.129552,0.298293,-0.107895,0.132322,0.298684,-0.107985,0.132058,0.225690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014190,0.336544,-0.044416,-0.108930,0.248084,0.078576,-0.059275,0.333040,-0.044675,-0.050068,0.234129,0.109549,-0.070520,0.280737,0.097731,-0.313379,0.447710,0.141053,-0.360355,0.442974,0.147676,-0.368756,0.378401,0.166758,-0.403344,0.353797,0.213220,-0.459741,0.346310,0.181296
9,0.037500,-0.878984,0.085716,-0.066810,-0.464303,-0.094734,0.200270,0.169917,-0.841049,-0.391178,0.083982,-0.364093,-0.263709,0.285038,0.204939,0.000537,-0.000482,0.000098,-1.000000,0.038648,0.137444,0.300341,0.215332,0.140602,0.428381,0.168458,0.141064,0.560819,-0.122431,0.142994,0.487033,-0.123319,0.141630,0.557740,0.231254,0.122071,0.562561,0.039131,0.123797,0.299084,-0.234444,0.304720,0.190708,0.038813,0.124952,0.223230,0.038807,0.123518,0.380747,-0.107445,0.133818,0.378000,0.195822,0.127547,0.218713,0.197498,0.130224,0.380898,0.197717,0.129558,0.298296,-0.107903,0.132295,0.298673,-0.108006,0.132060,0.225704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014202,0.336510,-0.044282,-0.108891,0.248006,0.078674,-0.059276,0.332983,-0.044547,-0.050048,0.234099,0.109684,-0.070503,0.280658,0.097837,-0.313339,0.447742,0.140973,-0.360302,0.442968,0.147619,-0.368696,0.378408,0.166749,-0.403256,0.353793,0.213219,-0.459641,0.346264,0.181266
10,0.041667,-0.878981,0.085752,-0.066657,-0.464324,-0.094699,0.200236,0.170048,-0.840901,-0.391299,0.084071,-0.364284,-0.263599,0.285080,0.204945,0.000192,-0.000463,0.000040,-1.000000,0.038673,0.137607,0.300337,0.215402,0.140709,0.428370,0.168461,0.141073,0.560812,-0.122418,0.142990,0.487039,-0.123315,0.141613,0.557742,0.231249,0.122057,0.562561,0.039128,0.123795,0.299087,-0.234352,0.304775,0.190659,0.038816,0.124955,0.223230,0.038826,0.123518,0.380743,-0.107443,0.133803,0.378006,0.195823,0.127566,0.218713,0.197495,0.130234,0.380900,0.197717,0.129558,0.298299,-0.107894,0.132292,0.298678,-0.108011,0.132064,0.225707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014193,0.336466,-0.044152,-0.108873,0.247994,0.078818,-0.059263,0.332922,-0.044428,-0.050009,0.234056,0.109797,-0.070471,0.280609,0.097941,-0.313275,0.447777,0.140908,-0.360240,0.442980,0.147570,-0.368628,0.378398,0.166734,-0.403157,0.353792,0.213212,-0.459554,0.346256,0.181254
11,0.045833,-0.878995,0.085779,-0.066483,-0.464316,-0.094661,0.200171,0.170200,-0.840578,-0.391351,0.084055,-0.364977,-0.263478,0.285121,0.205128,0.000507,-0.000490,0.000076,-1.000000,0.038645,0.137432,0.300368,0.215328,0.140590,0.428412,0.168454,0.141050,0.560840,-0.122426,0.142964,0.487071,-0.123310,0.141594,0.557764,0.231250,0.122046,0.562581,0.039117,0.123770,0.299115,-0.234262,0.304789,0.190630,0.038807,0.124935,0.223254,0.038830,0.123495,0.380761,-0.107437,0.133772,0.378023,0.195813,0.127537,0.218738,0.197496,0.130217,0.380914,0.197716,0.129546,0.298324,-0.107894,0.132266,0.298701,-0.108017,0.132041,0.225736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014189,0.336409,-0.043995,-0.108850,0.247965,0.078993,-0.059259,0.332848,-0.044283,-0.049975,0.233994,0.109935,-0.070444,0.280502,0.098057,-0.313226,0.447761,0.140886,-0.360208,0.443051,0.147601,-0.368563,0.378399,0.166750,-0.403060,0.353779,0.213233,-0.459469,0.346218,0.181285
12,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.054167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.058333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
