Format Version,1.23,Take Name,cap_019,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.31.11.677 PM,Total Frames in Take,1767,Total Exported Frames,1767,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.854334,-0.113870,0.075257,-0.501481,0.172073,0.165971,0.200423,-0.608977,0.167980,-0.578730,-0.515753,0.274550,0.210128,0.231970,-0.001268,-0.000073,-0.000009,-0.999999,0.038858,0.138534,0.300499,0.215476,0.141301,0.428582,0.168533,0.141523,0.561094,-0.122352,0.143331,0.487099,-0.123401,0.141746,0.557781,0.231194,0.121993,0.562908,0.286242,0.228293,0.281526,0.039104,0.124383,0.380602,0.198114,0.130001,0.298477,-0.107798,0.132505,0.298759,-0.107433,0.132941,0.378014,-0.107694,0.132154,0.225753,0.039052,0.126924,0.223315,0.039320,0.125232,0.299138,0.197733,0.130642,0.381092,0.195948,0.127457,0.218851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123626,0.284624,-0.033056,0.111332,0.197441,0.122275,0.084973,0.273102,-0.013315,0.178700,0.198792,0.125283,0.145480,0.239667,0.121862,0.374173,0.361878,0.236365,0.382029,0.363481,0.190020,0.357149,0.308642,0.163032,0.320567,0.299237,0.112514,0.367274,0.293289,0.067035
7,0.029167,-0.854281,-0.114109,0.075013,-0.501553,0.172197,0.165932,0.200513,-0.608973,0.167963,-0.578844,-0.515636,0.274570,0.210099,0.231971,-0.001263,-0.000078,0.000013,-0.999999,0.038846,0.138541,0.300472,0.215467,0.141298,0.428556,0.168526,0.141532,0.561062,-0.122365,0.143356,0.487074,-0.123412,0.141755,0.557756,0.231184,0.121995,0.562879,0.286212,0.228280,0.281538,0.039103,0.124393,0.380584,0.198103,0.130015,0.298457,-0.107804,0.132538,0.298742,-0.107448,0.132955,0.377989,-0.107694,0.132158,0.225728,0.039039,0.126931,0.223284,0.039310,0.125240,0.299108,0.197723,0.130645,0.381060,0.195944,0.127456,0.218821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123715,0.284520,-0.032988,0.111450,0.197326,0.122341,0.085070,0.272988,-0.013246,0.178825,0.198710,0.125345,0.145555,0.239682,0.121977,0.374147,0.361878,0.236394,0.382019,0.363488,0.190054,0.357153,0.308635,0.163057,0.320584,0.299230,0.112531,0.367295,0.293302,0.067052
8,0.033333,-0.854252,-0.114242,0.074989,-0.501577,0.172356,0.165860,0.200568,-0.608913,0.168025,-0.579017,-0.515492,0.274587,0.210076,0.231947,-0.001234,-0.000179,-0.000062,-0.999999,0.038810,0.138553,0.300399,0.215466,0.141325,0.428521,0.168506,0.141555,0.561015,-0.122365,0.143359,0.487033,-0.123412,0.141760,0.557706,0.231245,0.122087,0.562651,0.286208,0.228278,0.281531,0.039105,0.124399,0.380544,0.198107,0.130023,0.298426,-0.107809,0.132555,0.298690,-0.107437,0.132976,0.377946,-0.107689,0.132166,0.225690,0.039039,0.126936,0.223242,0.039311,0.125247,0.299064,0.197725,0.130668,0.381026,0.195961,0.127447,0.218772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123818,0.284422,-0.032936,0.111583,0.197232,0.122399,0.085184,0.272887,-0.013189,0.178987,0.198628,0.125398,0.145678,0.239610,0.122034,0.374125,0.361889,0.236428,0.382013,0.363494,0.190094,0.357165,0.308633,0.163084,0.320660,0.299237,0.112530,0.367329,0.293324,0.067069
9,0.037500,-0.854295,-0.114374,0.074880,-0.501489,0.172476,0.165739,0.200616,-0.608817,0.168233,-0.579084,-0.515463,0.274538,0.210079,0.231935,-0.001210,-0.000183,-0.000036,-0.999999,0.038795,0.138559,0.300378,0.215452,0.141324,0.428500,0.168489,0.141560,0.560993,-0.122373,0.143388,0.487015,-0.123420,0.141781,0.557685,0.231226,0.122105,0.562627,0.286183,0.228251,0.281538,0.039096,0.124422,0.380522,0.198104,0.130030,0.298404,-0.107826,0.132550,0.298662,-0.107447,0.132982,0.377919,-0.107699,0.132178,0.225660,0.039035,0.126942,0.223219,0.039317,0.125255,0.299040,0.197714,0.130657,0.381013,0.195955,0.127444,0.218744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123914,0.284344,-0.032863,0.111696,0.197105,0.122462,0.085273,0.272791,-0.013134,0.179097,0.198528,0.125444,0.145785,0.239500,0.122117,0.374097,0.361885,0.236477,0.382013,0.363471,0.190151,0.357163,0.308637,0.163125,0.320677,0.299247,0.112557,0.367364,0.293343,0.067102
10,0.041667,-0.854391,-0.114021,0.075609,-0.501297,0.172647,0.165505,0.200620,-0.608720,0.168454,-0.579143,-0.515438,0.274509,0.210073,0.231939,-0.001133,-0.000171,-0.000053,-0.999999,0.038803,0.138520,0.300360,0.215456,0.141311,0.428482,0.168486,0.141561,0.560980,-0.122367,0.143372,0.486993,-0.123417,0.141778,0.557662,0.231234,0.122114,0.562619,0.286181,0.228227,0.281549,0.039103,0.124417,0.380513,0.198109,0.130014,0.298388,-0.107805,0.132551,0.298642,-0.107440,0.132988,0.377897,-0.107687,0.132180,0.225644,0.039061,0.126938,0.223207,0.039326,0.125249,0.299028,0.197719,0.130658,0.380994,0.195968,0.127420,0.218733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124032,0.284261,-0.032790,0.111803,0.197016,0.122530,0.085377,0.272703,-0.013054,0.179231,0.198376,0.125490,0.146057,0.239183,0.122143,0.374093,0.361865,0.236550,0.382036,0.363445,0.190238,0.357196,0.308635,0.163180,0.320709,0.299245,0.112585,0.367415,0.293340,0.067151
11,0.045833,-0.854471,-0.113797,0.076086,-0.501139,0.172788,0.165292,0.200657,-0.608658,0.168634,-0.579255,-0.515327,0.274488,0.210041,0.231955,-0.001257,-0.000052,0.000006,-0.999999,0.038837,0.138563,0.300395,0.215447,0.141327,0.428488,0.168496,0.141556,0.561006,-0.122372,0.143370,0.486994,-0.123429,0.141786,0.557665,0.231156,0.122024,0.562802,0.286153,0.228190,0.281581,0.039096,0.124411,0.380519,0.198107,0.130007,0.298394,-0.107814,0.132542,0.298643,-0.107448,0.132990,0.377907,-0.107691,0.132161,0.225651,0.039053,0.126928,0.223210,0.039325,0.125225,0.299038,0.197721,0.130654,0.381010,0.195967,0.127415,0.218747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124139,0.284162,-0.032693,0.111903,0.196906,0.122622,0.085473,0.272598,-0.012963,0.179368,0.198197,0.125535,0.146231,0.238946,0.122211,0.374077,0.361825,0.236648,0.382025,0.363428,0.190336,0.357203,0.308620,0.163259,0.320745,0.299246,0.112639,0.367461,0.293345,0.067223
12,0.050000,-0.854558,-0.113780,0.076137,-0.500987,0.172911,0.165132,0.200710,-0.608613,0.168767,-0.579365,-0.515213,0.274491,0.210011,0.231973,-0.001183,-0.000031,0.000009,-0.999999,0.038849,0.138529,0.300392,0.215465,0.141307,0.428483,0.168497,0.141554,0.561011,-0.122376,0.143371,0.486988,-0.123428,0.141784,0.557653,0.231154,0.122035,0.562811,0.286148,0.228111,0.281634,0.039095,0.124404,0.380516,0.198106,0.130009,0.298390,-0.107815,0.132531,0.298641,-0.107454,0.132981,0.377905,-0.107693,0.132168,0.225644,0.039055,0.126917,0.223213,0.039332,0.125222,0.299040,0.197721,0.130651,0.381012,0.195975,0.127409,0.218735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124261,0.284083,-0.032596,0.112033,0.196777,0.122698,0.085589,0.272521,-0.012869,0.179487,0.198053,0.125582,0.146344,0.238830,0.122302,0.374072,0.361801,0.236736,0.382031,0.363415,0.190433,0.357222,0.308616,0.163322,0.320788,0.299240,0.112690,0.367514,0.293352,0.067289
13,0.054167,,,,,,,,-0.608627,0.169027,-0.579416,-0.515054,0.274459,0.209970,0.231950,-0.001212,-0.000026,-0.000001,-0.999999,0.038842,0.138536,0.300389,0.215444,0.141315,0.428476,0.168492,0.141547,0.561017,-0.122386,0.143356,0.486979,-0.123444,0.141782,0.557645,0.231161,0.122026,0.562813,0.286123,0.228064,0.281648,0.039095,0.124396,0.380508,0.198098,0.129994,0.298373,-0.107818,0.132529,0.298648,-0.107459,0.132975,0.377887,-0.107702,0.132164,0.225633,0.039051,0.126901,0.223202,0.039326,0.125208,0.299030,0.197711,0.130645,0.381004,0.195970,0.127399,0.218725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124360,0.284022,-0.032516,0.112141,0.196632,0.122758,0.085693,0.272458,-0.012784,0.179575,0.197905,0.125610,0.146439,0.238707,0.122379,0.374053,0.361773,0.236831,0.382022,0.363374,0.190525,0.357222,0.308604,0.163383,0.320809,0.299249,0.112723,0.367549,0.293387,0.067338
14,0.058333,-0.854803,-0.113666,0.076272,-0.500574,0.173116,0.164785,0.200753,-0.608625,0.169195,-0.579525,-0.514878,0.274461,0.209932,0.231937,,,,,,,,0.215437,0.141320,0.428459,0.168500,0.141553,0.561005,-0.122390,0.143357,0.486963,-0.123446,0.141778,0.557627,0.231185,0.122052,0.562800,0.286102,0.228023,0.281647,0.039089,0.124388,0.380490,0.198099,0.129990,0.298358,-0.107807,0.132531,0.298638,-0.107458,0.132960,0.377871,-0.107701,0.132158,0.225614,0.039047,0.126900,0.223184,0.039320,0.125214,0.299008,0.197708,0.130641,0.380985,0.195984,0.127405,0.218707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124481,0.283963,-0.032446,0.112251,0.196517,0.122801,0.085814,0.272410,-0.012707,0.179682,0.197775,0.125626,0.146554,0.238571,0.122427,0.374043,0.361740,0.236923,0.382019,0.363366,0.190607,0.357240,0.308614,0.163441,0.320835,0.299255,0.112752,0.367606,0.293416,0.067384
15,0.062500,-0.854949,-0.113587,0.076301,-0.500338,0.173195,0.164602,0.200771,-0.608582,0.169519,-0.579563,-0.514780,0.274409,0.209912,0.231918,-0.001151,-0.000022,-0.000032,-0.999999,0.038851,0.138506,0.300373,0.215439,0.141307,0.428459,0.168517,0.141546,0.561006,-0.122390,0.143350,0.486960,-0.123453,0.141766,0.557622,0.231191,0.122052,0.562809,0.286077,0.227975,0.281658,0.039079,0.124370,0.380484,0.198099,0.129964,0.298354,-0.107809,0.132512,0.298635,-0.107476,0.132951,0.377872,-0.107709,0.132147,0.225613,0.039043,0.126883,0.223186,0.039318,0.125199,0.299006,0.197709,0.130630,0.380983,0.195969,0.127397,0.218699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124592,0.283907,-0.032363,0.112344,0.196389,0.122834,0.085917,0.272368,-0.012625,0.179753,0.197654,0.125658,0.146658,0.238416,0.122480,0.374020,0.361711,0.237028,0.382030,0.363326,0.190690,0.357239,0.308599,0.163507,0.320863,0.299273,0.112805,0.367656,0.293452,0.067435
