Format Version,1.23,Take Name,cap_077,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.09.55.841 PM,Total Frames in Take,2070,Total Exported Frames,2070,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.855966,0.169385,-0.153248,-0.463838,-0.086112,0.248033,0.083903,-0.827606,-0.158465,0.095518,-0.529937,-0.304057,0.311918,0.075101,0.000369,-0.001169,0.000081,-0.999999,0.038345,0.137870,0.300585,,,,0.215478,0.140960,0.428238,0.168474,0.141663,0.560877,-0.122329,0.143431,0.486928,-0.123552,0.141791,0.559090,0.231240,0.122254,0.562493,0.038943,0.126147,0.223190,0.039217,0.124710,0.299047,0.038992,0.124164,0.380507,-0.261574,0.315809,0.064238,-0.108051,0.133182,0.225636,-0.107967,0.132813,0.298618,0.197768,0.129639,0.298245,0.195857,0.128188,0.218642,-0.107557,0.133656,0.377909,0.197593,0.130697,0.380855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051315,0.371416,-0.107985,-0.075154,0.293213,-0.008760,0.007348,0.371256,-0.118534,-0.026760,0.276835,0.034906,-0.040016,0.324615,0.018331,-0.271050,0.445532,-0.043230,-0.316665,0.455609,-0.051813,-0.353745,0.411718,-0.019400,-0.403784,0.417222,0.018315,-0.450737,0.415434,-0.027026
7,0.029167,-0.855971,0.169329,-0.153151,-0.463881,-0.086090,0.248015,0.083865,-0.827568,-0.158589,0.095407,-0.529979,-0.304059,0.311897,0.075098,0.000366,-0.001092,0.000110,-0.999999,0.038364,0.137846,0.300594,,,,0.215461,0.140935,0.428243,0.168478,0.141637,0.560869,-0.122330,0.143412,0.486922,-0.123554,0.141770,0.559083,0.231183,0.122205,0.562590,0.038942,0.126131,0.223180,0.039214,0.124683,0.299046,0.038989,0.124150,0.380502,-0.261594,0.315799,0.064237,-0.108075,0.133175,0.225637,-0.107966,0.132797,0.298607,0.197761,0.129632,0.298251,0.195846,0.128170,0.218641,-0.107558,0.133657,0.377909,0.197581,0.130692,0.380865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051288,0.371385,-0.108055,-0.075153,0.293194,-0.008806,0.007322,0.371230,-0.118607,-0.026754,0.276821,0.034857,-0.040004,0.324581,0.018277,-0.271098,0.445528,-0.043228,-0.316700,0.455572,-0.051841,-0.353772,0.411660,-0.019410,-0.403824,0.417159,0.018303,-0.450770,0.415370,-0.027035
8,0.033333,-0.855966,0.169255,-0.153088,-0.463939,-0.086057,0.248010,0.083843,-0.827579,-0.158754,0.095244,-0.529941,-0.304049,0.311872,0.075082,0.000338,-0.001101,0.000098,-0.999999,0.038364,0.137843,0.300605,,,,0.215460,0.140928,0.428252,0.168487,0.141617,0.560882,-0.122329,0.143396,0.486933,-0.123548,0.141748,0.559093,0.231190,0.122196,0.562598,0.038944,0.126118,0.223187,0.039214,0.124666,0.299053,0.038994,0.124128,0.380513,-0.261610,0.315791,0.064245,-0.108071,0.133158,0.225651,-0.107966,0.132758,0.298617,0.197762,0.129614,0.298256,0.195846,0.128162,0.218655,-0.107559,0.133629,0.377911,0.197578,0.130680,0.380869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051276,0.371368,-0.108112,-0.075134,0.293185,-0.008825,0.007311,0.371209,-0.118660,-0.026737,0.276822,0.034821,-0.039983,0.324559,0.018224,-0.271141,0.445522,-0.043211,-0.316740,0.455574,-0.051851,-0.353801,0.411628,-0.019404,-0.403852,0.417095,0.018290,-0.450797,0.415302,-0.027048
9,0.037500,-0.855978,0.169225,-0.152957,-0.463970,-0.086034,0.247985,0.083825,-0.827599,-0.158888,0.095135,-0.529891,-0.304061,0.311833,0.075081,0.000646,-0.001145,0.000133,-0.999999,0.038319,0.137672,0.300641,,,,0.215374,0.140812,0.428294,0.168477,0.141602,0.560910,-0.122341,0.143377,0.486957,-0.123560,0.141726,0.559117,0.231184,0.122180,0.562623,0.038937,0.126106,0.223207,0.039210,0.124641,0.299079,0.038983,0.124113,0.380533,-0.261631,0.315778,0.064268,-0.108088,0.133150,0.225682,-0.107974,0.132740,0.298635,0.197747,0.129603,0.298283,0.195829,0.128130,0.218684,-0.107569,0.133606,0.377933,0.197572,0.130651,0.380894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051253,0.371330,-0.108164,-0.075130,0.293162,-0.008844,0.007291,0.371182,-0.118709,-0.026731,0.276798,0.034797,-0.039966,0.324515,0.018184,-0.271197,0.445514,-0.043192,-0.316789,0.455557,-0.051829,-0.353837,0.411580,-0.019385,-0.403903,0.417035,0.018304,-0.450834,0.415234,-0.027034
10,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.045833,-0.855964,0.169134,-0.152814,-0.464078,-0.085994,0.247991,0.083770,-0.827653,-0.159021,0.094878,-0.529812,-0.304116,0.311808,0.075053,0.000181,-0.001101,0.000085,-0.999999,0.038351,0.137887,0.300650,,,,0.215448,0.140937,0.428287,0.168482,0.141564,0.560943,-0.122347,0.143376,0.486974,-0.123569,0.141716,0.559132,0.231180,0.122178,0.562638,0.038926,0.126104,0.223221,0.039195,0.124637,0.299095,0.038977,0.124108,0.380553,-0.261648,0.315814,0.064287,-0.108093,0.133154,0.225700,-0.108001,0.132722,0.298662,0.197742,0.129596,0.298300,0.195823,0.128141,0.218688,-0.107587,0.133594,0.377970,0.197567,0.130663,0.380909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051221,0.371291,-0.108293,-0.075124,0.293150,-0.008909,0.007258,0.371151,-0.118795,-0.026701,0.276800,0.034715,-0.039949,0.324510,0.018075,-0.271297,0.445537,-0.043161,-0.316867,0.455557,-0.051825,-0.353912,0.411560,-0.019403,-0.403993,0.416979,0.018271,-0.450903,0.415173,-0.027059
12,0.050000,-0.855944,0.169040,-0.152824,-0.464144,-0.085953,0.247997,0.083731,-0.827691,-0.159069,0.094747,-0.529762,-0.304134,0.311804,0.075025,0.000238,-0.001117,0.000078,-0.999999,0.038358,0.137866,0.300644,,,,0.215463,0.140934,0.428274,0.168494,0.141574,0.560933,-0.122341,0.143372,0.486972,-0.123553,0.141725,0.559132,0.231201,0.122189,0.562628,0.038938,0.126114,0.223220,0.039197,0.124659,0.299086,0.038990,0.124120,0.380543,-0.261646,0.315840,0.064269,-0.108080,0.133150,0.225686,-0.107997,0.132717,0.298658,0.197759,0.129610,0.298293,0.195831,0.128155,0.218681,-0.107573,0.133595,0.377962,0.197573,0.130665,0.380892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051232,0.371283,-0.108368,-0.075102,0.293141,-0.008952,0.007258,0.371134,-0.118842,-0.026662,0.276815,0.034657,-0.039929,0.324513,0.018007,-0.271325,0.445562,-0.043160,-0.316899,0.455572,-0.051823,-0.353931,0.411560,-0.019428,-0.404023,0.416973,0.018250,-0.450921,0.415156,-0.027096
13,0.054167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.058333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
