Format Version,1.23,Take Name,cap_071,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.07.04.126 PM,Total Frames in Take,2026,Total Exported Frames,2026,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 3942,Unlabeled 3942,Unlabeled 3942,Unlabeled 3943,Unlabeled 3943,Unlabeled 3943,Unlabeled 3944,Unlabeled 3944,Unlabeled 3944,Unlabeled 3945,Unlabeled 3945,Unlabeled 3945,Unlabeled 3946,Unlabeled 3946,Unlabeled 3946,Unlabeled 3947,Unlabeled 3947,Unlabeled 3947,Unlabeled 3948,Unlabeled 3948,Unlabeled 3948,Unlabeled 3949,Unlabeled 3949,Unlabeled 3949,Unlabeled 3950,Unlabeled 3950,Unlabeled 3950,Unlabeled 3951,Unlabeled 3951,Unlabeled 3951,Unlabeled 3952,Unlabeled 3952,Unlabeled 3952,Unlabeled 3953,Unlabeled 3953,Unlabeled 3953,Unlabeled 3955,Unlabeled 3955,Unlabeled 3955,Unlabeled 3956,Unlabeled 3956,Unlabeled 3956,Unlabeled 3957,Unlabeled 3957,Unlabeled 3957,Unlabeled 3958,Unlabeled 3958,Unlabeled 3958,Unlabeled 3959,Unlabeled 3959,Unlabeled 3959,Unlabeled 3960,Unlabeled 3960,Unlabeled 3960,Unlabeled 3961,Unlabeled 3961,Unlabeled 3961,Unlabeled 3962,Unlabeled 3962,Unlabeled 3962,Unlabeled 3963,Unlabeled 3963,Unlabeled 3963,Unlabeled 3964,Unlabeled 3964,Unlabeled 3964,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","E4160","E4160","E4160","E42A0","E42A0","E42A0","E4320","E4320","E4320","E4330","E4330","E4330","E4D90","E4D90","E4D90","E42B0","E42B0","E42B0","E42C0","E42C0","E42C0","E5000","E5000","E5000","E5600","E5600","E5600","E5670","E5670","E5670","E5680","E5680","E5680","E56A0","E56A0","E56A0","E56B0","E56B0","E56B0","E56C0","E56C0","E56C0","E5700","E5700","E5700","E56E0","E56E0","E56E0","E5740","E5740","E5740","E5760","E5760","E5760","E5730","E5730","E5730","E49F0","E49F0","E49F0","E5790","E5790","E5790","E57A0","E57A0","E57A0","E5770","E5770","E5770","E57B0","E57B0","E57B0","E57C0","E57C0","E57C0","E5800","E5800","E5800","E5810","E5810","E5810","E5710","E5710","E5710","E55B0","E55B0","E55B0","E5720","E5720","E5720","E5380","E5380","E5380","E4CB0","E4CB0","E4CB0","E5460","E5460","E5460","E5550","E5550","E5550","E4DA0","E4DA0","E4DA0","E4360","E4360","E4360","E4370","E4370","E4370"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.840662,0.180667,-0.177870,-0.478550,-0.079516,0.255716,0.054573,-0.795269,-0.153116,0.300129,-0.504009,-0.284398,0.295452,0.178843,0.000274,-0.001069,0.000031,-0.999999,0.038406,0.137795,0.300543,0.215432,0.140869,0.428248,0.168518,0.141513,0.560890,-0.122321,0.143313,0.486913,-0.123469,0.141678,0.558803,0.231224,0.122179,0.562521,0.039273,0.124831,0.298962,0.039025,0.124143,0.380445,0.038862,0.126115,0.223103,-0.239819,0.289103,0.147011,-0.107904,0.132541,0.298511,-0.107666,0.133330,0.377828,0.197791,0.129579,0.298238,0.195830,0.128008,0.218583,-0.107893,0.132743,0.225581,0.197541,0.130685,0.380863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068636,0.369696,-0.135155,-0.063504,0.296603,-0.039336,0.025280,0.369507,-0.147871,-0.017539,0.282233,0.007654,-0.029363,0.328870,-0.011868,-0.267803,0.416449,0.044338,-0.310278,0.435748,0.050458,-0.341989,0.401783,0.097261,-0.373675,0.419605,0.148880,-0.432779,0.427845,0.122297
1,0.004167,-0.840529,0.181201,-0.177820,-0.478600,-0.079603,0.255831,0.054446,-0.795335,-0.153358,0.299834,-0.504007,-0.284459,0.295488,0.178865,0.000554,-0.001084,0.000068,-0.999999,0.038396,0.137667,0.300520,0.215362,0.140789,0.428241,0.168538,0.141518,0.560858,-0.122310,0.143322,0.486882,-0.123452,0.141686,0.558770,0.231231,0.122197,0.562501,0.039293,0.124844,0.298929,0.039045,0.124163,0.380420,0.038863,0.126134,0.223092,-0.239919,0.289166,0.147013,-0.107876,0.132550,0.298490,-0.107663,0.133355,0.377811,0.197790,0.129604,0.298226,0.195837,0.128032,0.218558,-0.107891,0.132753,0.225550,0.197554,0.130699,0.380853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068754,0.369664,-0.135217,-0.063515,0.296704,-0.039445,0.025405,0.369513,-0.147950,-0.017570,0.282291,0.007547,-0.029355,0.328924,-0.011974,-0.267902,0.416539,0.044395,-0.310407,0.435805,0.050528,-0.342100,0.401808,0.097302,-0.373810,0.419593,0.148905,-0.432902,0.427798,0.122320
2,0.008333,-0.840434,0.181852,-0.177664,-0.478577,-0.079688,0.255920,0.054317,-0.795441,-0.153621,0.299615,-0.503889,-0.284533,0.295493,0.178876,0.000692,-0.001089,0.000044,-0.999999,0.038418,0.137621,0.300519,0.215377,0.140784,0.428249,0.168594,0.141606,0.560844,-0.122283,0.143325,0.486881,-0.123438,0.141684,0.558770,0.231236,0.122191,0.562502,0.039317,0.124847,0.298924,0.039054,0.124157,0.380417,0.038879,0.126140,0.223082,-0.239981,0.289231,0.147032,-0.107866,0.132546,0.298487,-0.107645,0.133361,0.377811,0.197810,0.129599,0.298223,0.195844,0.128032,0.218568,-0.107864,0.132751,0.225545,0.197573,0.130715,0.380849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068890,0.369620,-0.135259,-0.063514,0.296794,-0.039558,0.025550,0.369509,-0.148020,-0.017606,0.282299,0.007453,-0.029316,0.328976,-0.012057,-0.268013,0.416621,0.044469,-0.310556,0.435869,0.050611,-0.342226,0.401820,0.097360,-0.373941,0.419568,0.148976,-0.433032,0.427751,0.122372
3,0.012500,-0.840320,0.182301,-0.177768,-0.478568,-0.079747,0.255987,0.054199,-0.795564,-0.153833,0.299396,-0.503761,-0.284620,0.295493,0.178906,0.000233,-0.000987,0.000062,-1.000000,0.038482,0.137819,0.300541,0.215486,0.140884,0.428246,0.168572,0.141532,0.560868,-0.122271,0.143324,0.486894,-0.123418,0.141688,0.558781,0.231219,0.122140,0.562608,0.039334,0.124834,0.298945,0.039073,0.124152,0.380421,0.038897,0.126143,0.223101,-0.240048,0.289287,0.147075,-0.107841,0.132559,0.298502,-0.107631,0.133344,0.377810,0.197837,0.129596,0.298236,0.195873,0.128013,0.218578,-0.107854,0.132756,0.225563,0.197594,0.130706,0.380871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069026,0.369584,-0.135280,-0.063477,0.296849,-0.039693,0.025702,0.369511,-0.148075,-0.017626,0.282321,0.007389,-0.029271,0.329012,-0.012117,-0.268130,0.416686,0.044573,-0.310689,0.435934,0.050706,-0.342346,0.401846,0.097437,-0.374079,0.419541,0.149054,-0.433160,0.427708,0.122445
4,0.016667,-0.840190,0.182811,-0.177784,-0.478595,-0.079823,0.256085,0.054097,-0.795532,-0.154043,0.299178,-0.503878,-0.284705,0.295578,0.178998,0.000208,-0.001000,0.000093,-1.000000,0.038471,0.137844,0.300560,0.215492,0.140891,0.428253,0.168553,0.141541,0.560899,-0.122277,0.143349,0.486918,-0.123426,0.141712,0.558806,0.231219,0.122140,0.562610,0.039324,0.124866,0.298982,0.039065,0.124174,0.380447,0.038906,0.126156,0.223111,-0.240104,0.289378,0.147101,-0.107855,0.132581,0.298536,-0.107618,0.133368,0.377827,0.197838,0.129591,0.298249,0.195882,0.128026,0.218591,-0.107852,0.132775,0.225583,0.197607,0.130719,0.380879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069165,0.369547,-0.135303,-0.063468,0.296920,-0.039790,0.025836,0.369522,-0.148123,-0.017653,0.282360,0.007317,-0.029247,0.329082,-0.012171,-0.268296,0.416781,0.044686,-0.310822,0.435994,0.050769,-0.342486,0.401892,0.097505,-0.374247,0.419569,0.149149,-0.433318,0.427697,0.122511
5,0.020833,-0.840091,0.183308,-0.177761,-0.478588,-0.079888,0.256177,0.053999,-0.795502,-0.154274,0.298939,-0.503995,-0.284792,0.295680,0.179095,0.000229,-0.001020,0.000080,-0.999999,0.038447,0.137861,0.300579,0.215489,0.140916,0.428262,0.168527,0.141571,0.560923,-0.122304,0.143370,0.486943,-0.123457,0.141736,0.558832,0.231227,0.122172,0.562614,0.039302,0.124893,0.299004,0.039042,0.124195,0.380469,0.038912,0.126193,0.223114,-0.240162,0.289500,0.147122,-0.107882,0.132612,0.298564,-0.107613,0.133397,0.377837,0.197847,0.129623,0.298249,0.195889,0.128047,0.218599,-0.107868,0.132802,0.225610,0.197610,0.130737,0.380889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069291,0.369521,-0.135323,-0.063441,0.296995,-0.039877,0.025970,0.369543,-0.148160,-0.017680,0.282389,0.007247,-0.029218,0.329159,-0.012226,-0.268474,0.416899,0.044795,-0.310948,0.436070,0.050843,-0.342622,0.401954,0.097584,-0.374435,0.419610,0.149249,-0.433490,0.427698,0.122590
