Format Version,1.23,Take Name,cap_065,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.04.41.746 PM,Total Frames in Take,1805,Total Exported Frames,1805,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.875570,0.188910,-0.292013,-0.335288,-0.057243,0.244300,0.003292,-0.858412,-0.235257,0.234981,-0.390598,-0.159791,0.270750,0.113961,0.000299,-0.000996,0.000077,-1.000000,0.038462,0.137842,0.300533,0.215519,0.140903,0.428265,0.168551,0.141583,0.560920,-0.122272,0.143376,0.486966,-0.123602,0.141778,0.558644,0.231294,0.122200,0.562519,0.039206,0.124343,0.299010,0.039081,0.124077,0.380539,0.038874,0.125700,0.223164,-0.132115,0.274598,0.097922,0.195915,0.128014,0.218637,0.197831,0.129609,0.298275,0.197606,0.130774,0.380881,-0.107861,0.132639,0.298602,-0.107993,0.132981,0.225675,-0.107548,0.133888,0.377955,,,,,,,,,,,,,,,,0.104643,0.420421,-0.113774,-0.028973,0.309876,-0.072064,0.066222,0.417431,-0.137127,0.007656,0.289188,-0.019618,-0.008680,0.337177,-0.031461,-0.155871,0.428459,0.023803,-0.200300,0.440553,0.034272,-0.228270,0.390565,0.066844,-0.262097,0.388208,0.119997,-0.321505,0.397945,0.094719
7,0.029167,-0.875743,0.189137,-0.288677,-0.337590,-0.056191,0.244737,0.004136,-0.858622,-0.236715,0.232575,-0.390695,-0.159366,0.270923,0.113757,0.000296,-0.000990,0.000076,-0.999999,0.038428,0.137867,0.300518,0.215504,0.140924,0.428244,0.168506,0.141614,0.560916,-0.122317,0.143403,0.486950,-0.123654,0.141796,0.558630,0.231269,0.122218,0.562501,0.039195,0.124357,0.298983,0.039034,0.124098,0.380533,0.038944,0.125884,0.223172,-0.131683,0.274857,0.097671,0.195895,0.128023,0.218619,0.197804,0.129629,0.298247,0.197586,0.130789,0.380861,-0.107875,0.132657,0.298577,-0.108008,0.132988,0.225643,-0.107559,0.133910,0.377930,,,,,,,,,,,,,,,,0.105585,0.419971,-0.114419,-0.028226,0.310088,-0.071554,0.067018,0.416950,-0.137562,0.008761,0.289273,-0.019325,-0.007468,0.337374,-0.031168,-0.155832,0.428801,0.023858,-0.200349,0.440702,0.034282,-0.228227,0.390550,0.066651,-0.262197,0.387932,0.119689,-0.321585,0.397423,0.094230
8,0.033333,-0.875721,0.189184,-0.285802,-0.340057,-0.055179,0.245177,0.004978,-0.858998,-0.238070,0.230330,-0.390377,-0.159011,0.271023,0.113435,0.000328,-0.001005,0.000084,-0.999999,0.038388,0.137850,0.300522,0.215473,0.140909,0.428243,0.168479,0.141611,0.560921,-0.122358,0.143406,0.486954,-0.123693,0.141795,0.558642,0.231241,0.122219,0.562494,0.039161,0.124347,0.298978,0.038994,0.124103,0.380538,0.038910,0.125889,0.223167,-0.131274,0.275107,0.097448,0.195866,0.128031,0.218613,0.197780,0.129637,0.298244,0.197548,0.130776,0.380852,-0.107895,0.132649,0.298573,-0.108039,0.132985,0.225631,-0.107586,0.133919,0.377921,,,,,,,,,,,,,,,,0.106507,0.419432,-0.115112,-0.027413,0.310117,-0.071103,0.067769,0.416557,-0.137975,0.009782,0.289464,-0.019016,-0.006369,0.337489,-0.030936,-0.155817,0.429142,0.023924,-0.200406,0.440836,0.034290,-0.228179,0.390522,0.066466,-0.262288,0.387626,0.119341,-0.321687,0.396969,0.093789
9,0.037500,-0.875829,0.189096,-0.282644,-0.342461,-0.054104,0.245587,0.005881,-0.859394,-0.239451,0.228012,-0.390020,-0.158670,0.271120,0.113105,-0.000085,-0.001059,0.000243,-0.999999,0.038330,0.137960,0.300515,0.215399,0.140872,0.428298,0.168496,0.141251,0.560780,-0.122407,0.143396,0.486969,-0.123741,0.141796,0.558659,0.231223,0.122210,0.562495,0.039128,0.124341,0.298990,0.038959,0.124100,0.380554,0.038885,0.125890,0.223174,-0.131361,0.275067,0.097322,0.195839,0.128010,0.218620,0.197748,0.129609,0.298254,0.197522,0.130765,0.380860,-0.107923,0.132661,0.298574,-0.108062,0.132973,0.225637,-0.107612,0.133920,0.377917,,,,,,,,,,,,,,,,0.107357,0.418958,-0.115756,-0.026656,0.310354,-0.070522,0.068467,0.416074,-0.138429,0.010872,0.289549,-0.018673,-0.005208,0.337621,-0.030636,-0.155812,0.429479,0.024005,-0.200486,0.440985,0.034291,-0.228143,0.390514,0.066269,-0.262422,0.387289,0.119022,-0.321789,0.396494,0.093324
10,0.041667,-0.875798,0.188988,-0.279936,-0.344816,-0.053086,0.246010,0.006698,-0.859647,-0.240993,0.225688,-0.389864,-0.158232,0.271265,0.112808,-0.000079,-0.001006,0.000270,-0.999999,0.038325,0.137939,0.300541,0.215392,0.140852,0.428297,0.168464,0.141238,0.560798,-0.122431,0.143386,0.486986,-0.123760,0.141783,0.558673,0.231161,0.122166,0.562599,0.039118,0.124338,0.298996,0.038941,0.124091,0.380559,0.038869,0.125889,0.223183,-0.130907,0.275382,0.097133,0.195821,0.128001,0.218637,0.197740,0.129604,0.298260,0.197509,0.130756,0.380866,-0.107927,0.132644,0.298581,-0.108080,0.132955,0.225643,-0.107624,0.133913,0.377921,,,,,,,,,,,,,,,,0.108228,0.418519,-0.116431,-0.025884,0.310390,-0.070065,0.069168,0.415682,-0.138826,0.011881,0.289716,-0.018371,-0.004147,0.337762,-0.030406,-0.155799,0.429826,0.024088,-0.200550,0.441124,0.034253,-0.228087,0.390501,0.066030,-0.262506,0.386970,0.118708,-0.321802,0.395973,0.092842
11,0.045833,-0.875856,0.188850,-0.276883,-0.347199,-0.052032,0.246407,0.007548,-0.859851,-0.242586,0.223415,-0.389735,-0.157778,0.271446,0.112495,-0.000126,-0.001002,0.000282,-0.999999,0.038330,0.137948,0.300547,0.215400,0.140843,0.428307,0.168470,0.141215,0.560795,-0.122424,0.143385,0.486990,-0.123764,0.141770,0.558681,0.231164,0.122151,0.562607,0.039118,0.124304,0.299001,0.038940,0.124081,0.380569,0.038870,0.125888,0.223199,-0.130478,0.275678,0.096963,0.195823,0.127994,0.218643,0.197739,0.129591,0.298267,0.197518,0.130751,0.380880,-0.107928,0.132636,0.298587,-0.108085,0.132968,0.225654,-0.107610,0.133890,0.377930,,,,,,,,,,,,,,,,0.109012,0.418043,-0.117131,-0.025154,0.310528,-0.069551,0.069864,0.415231,-0.139291,0.012916,0.289804,-0.018057,-0.003019,0.337873,-0.030158,-0.155803,0.430217,0.024162,-0.200641,0.441277,0.034190,-0.228018,0.390472,0.065754,-0.262578,0.386693,0.118369,-0.321806,0.395490,0.092368
12,0.050000,-0.875679,0.188133,-0.274984,-0.349537,-0.050955,0.246670,0.008283,-0.859907,-0.244077,0.221071,-0.390018,-0.157313,0.271669,0.112300,0.000676,-0.000972,0.000168,-0.999999,0.038344,0.137621,0.300589,0.215336,0.140734,0.428340,0.168435,0.141552,0.560965,-0.122386,0.143353,0.487001,-0.123730,0.141751,0.558681,0.231192,0.122137,0.562616,0.039131,0.124289,0.299020,0.038961,0.124058,0.380575,0.038902,0.125861,0.223206,-0.130067,0.275959,0.096816,0.195842,0.127964,0.218655,0.197753,0.129572,0.298284,0.197534,0.130732,0.380896,-0.107925,0.132621,0.298605,-0.108071,0.132942,0.225679,-0.107593,0.133878,0.377952,,,,,,,,,,,,,,,,0.109786,0.417595,-0.117804,-0.024354,0.310357,-0.069269,0.070471,0.414735,-0.139750,0.013962,0.289875,-0.017782,-0.002007,0.337984,-0.029982,-0.155794,0.430574,0.024199,-0.200714,0.441406,0.034095,-0.227921,0.390415,0.065494,-0.262647,0.386443,0.118010,-0.321844,0.395023,0.091852
13,0.054167,-0.875457,0.187548,-0.272630,-0.352240,-0.049916,0.247115,0.009191,-0.860076,-0.245304,0.218958,-0.390067,-0.156951,0.271839,0.112036,0.000659,-0.000964,0.000165,-0.999999,0.038373,0.137594,0.300603,0.215352,0.140706,0.428362,0.168469,0.141518,0.560964,-0.122353,0.143317,0.487008,-0.123696,0.141715,0.558696,0.231205,0.122099,0.562644,0.039140,0.124261,0.299040,0.039010,0.124015,0.380584,0.038930,0.125863,0.223224,-0.129618,0.276313,0.096690,0.195853,0.127927,0.218673,0.197776,0.129544,0.298306,0.197553,0.130708,0.380910,-0.107907,0.132596,0.298625,-0.108048,0.132923,0.225704,-0.107563,0.133851,0.377967,,,,,,,,,,,,,,,,0.110470,0.417089,-0.118521,-0.023491,0.310229,-0.068872,0.071076,0.414289,-0.140197,0.014964,0.289937,-0.017475,-0.001063,0.338472,-0.029597,-0.155786,0.430905,0.024208,-0.200779,0.441525,0.033975,-0.227846,0.390386,0.065242,-0.262715,0.386202,0.117621,-0.321898,0.394651,0.091339
14,0.058333,-0.875363,0.186777,-0.270293,-0.354678,-0.048807,0.247434,0.010016,-0.860094,-0.246867,0.216376,-0.390483,-0.156451,0.272140,0.111869,0.000614,-0.000953,0.000153,-0.999999,0.038418,0.137582,0.300612,0.215375,0.140693,0.428380,0.168524,0.141480,0.560972,-0.122307,0.143275,0.487015,-0.123645,0.141685,0.558695,0.231230,0.122069,0.562661,0.039152,0.124242,0.299060,0.039044,0.123983,0.380587,0.038967,0.125856,0.223234,-0.129213,0.276658,0.096599,0.195876,0.127905,0.218693,0.197792,0.129509,0.298324,0.197571,0.130686,0.380923,-0.107896,0.132563,0.298650,-0.108037,0.132902,0.225727,-0.107553,0.133825,0.377991,,,,,,,,,,,,,,,,0.111143,0.416644,-0.119189,-0.022737,0.310145,-0.068517,0.071632,0.413794,-0.140708,0.016030,0.290050,-0.017213,-0.000008,0.338615,-0.029305,-0.155748,0.431389,0.024278,-0.200849,0.441650,0.033840,-0.227791,0.390365,0.064973,-0.262766,0.385976,0.117223,-0.321902,0.394212,0.090758
15,0.062500,-0.875444,0.186141,-0.267415,-0.356985,-0.047715,0.247722,0.010856,-0.860151,-0.248210,0.214064,-0.390779,-0.156062,0.272367,0.111632,0.000179,-0.000924,0.000089,-1.000000,0.038470,0.137784,0.300592,0.215494,0.140821,0.428321,0.168550,0.141470,0.560959,-0.122288,0.143273,0.487004,-0.123613,0.141662,0.558682,0.231231,0.122056,0.562666,0.039157,0.124235,0.299067,0.039069,0.123973,0.380577,0.038992,0.125869,0.223236,-0.128809,0.277049,0.096490,0.195878,0.127908,0.218697,0.197800,0.129511,0.298331,0.197576,0.130690,0.380936,-0.107890,0.132555,0.298661,-0.108040,0.132893,0.225740,-0.107552,0.133819,0.378004,,,,,,,,,,,,,,,,0.111783,0.416184,-0.119945,-0.022009,0.310079,-0.068077,0.072104,0.413326,-0.141159,0.017008,0.290089,-0.016940,0.001040,0.338726,-0.029018,-0.155749,0.431741,0.024243,-0.200940,0.441781,0.033665,-0.227763,0.390350,0.064673,-0.262867,0.385727,0.116820,-0.321943,0.393784,0.090128
