Format Version,1.23,Take Name,cap_040,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.50.36.742 PM,Total Frames in Take,2726,Total Exported Frames,2726,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.766756,-0.047406,0.157742,-0.620448,0.012174,0.417626,-0.064349,-0.655470,0.246912,-0.512372,-0.496859,0.321245,0.297292,0.181680,-0.000983,-0.000148,-0.000040,-1.000000,0.038832,0.138355,0.300308,0.215824,0.141194,0.428247,0.168526,0.141527,0.560933,-0.122336,0.143252,0.486909,-0.123688,0.141693,0.557762,0.231157,0.121967,0.562632,0.039124,0.123782,0.380552,0.336799,0.306576,0.235666,0.197774,0.130929,0.380921,0.039266,0.124338,0.298977,-0.107850,0.132355,0.298521,-0.107668,0.133204,0.225597,-0.107391,0.133991,0.377860,0.195625,0.128760,0.218503,0.198048,0.129689,0.298281,0.039081,0.125773,0.223205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038008,0.464460,-0.321784,-0.049791,0.433080,-0.145962,-0.076289,0.466298,-0.298505,0.017328,0.424431,-0.146035,-0.009884,0.465732,-0.161395,0.439686,0.432304,0.207498,0.446517,0.441469,0.161888,0.413564,0.396100,0.126902,0.374390,0.400757,0.077777,0.418141,0.397839,0.029550
7,0.029167,-0.767079,-0.047076,0.157828,-0.620051,0.012483,0.417849,-0.064496,-0.655504,0.246090,-0.512877,-0.496700,0.321781,0.297180,0.182100,-0.001702,-0.000202,0.000206,-0.999999,0.038764,0.138617,0.300293,0.215775,0.141211,0.428257,0.168478,0.141101,0.560809,-0.122381,0.143292,0.486927,-0.123735,0.141743,0.557778,0.231127,0.121939,0.562617,0.039086,0.123799,0.380564,0.337184,0.306626,0.236110,0.197721,0.130947,0.380939,0.039214,0.124391,0.298994,-0.107899,0.132419,0.298552,-0.107714,0.133246,0.225616,-0.107431,0.134040,0.377885,0.195514,0.128907,0.218572,0.198003,0.129735,0.298308,0.039043,0.125818,0.223232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037559,0.464976,-0.321876,-0.049487,0.433454,-0.146096,-0.075873,0.466784,-0.298657,0.017721,0.424709,-0.146191,-0.009523,0.465993,-0.161531,0.440007,0.432431,0.207781,0.446770,0.441565,0.162159,0.413911,0.396075,0.127232,0.374748,0.400671,0.078107,0.418495,0.397752,0.029921
8,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.037500,-0.767448,-0.045620,0.158879,-0.619436,0.013084,0.418281,-0.064734,-0.650328,0.244999,-0.516931,-0.499831,0.321604,0.298363,0.183548,-0.001778,-0.000241,0.000342,-0.999998,0.038710,0.138654,0.300325,0.215746,0.141188,0.428277,0.168481,0.141071,0.560838,-0.122455,0.143329,0.486966,-0.123828,0.141802,0.557825,0.231134,0.121868,0.562627,0.039057,0.123763,0.380614,0.338003,0.306854,0.237104,0.197687,0.130934,0.381009,0.039162,0.124424,0.299043,-0.107973,0.132456,0.298605,-0.107766,0.133282,0.225670,-0.107505,0.134077,0.377929,0.195381,0.129015,0.218696,0.197949,0.129793,0.298381,0.038987,0.125853,0.223279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.036704,0.465860,-0.322083,-0.048900,0.434214,-0.146248,-0.075004,0.467690,-0.298874,0.018427,0.425167,-0.146490,-0.008714,0.466595,-0.161758,0.439156,0.434856,0.209016,0.447345,0.441755,0.162776,0.414637,0.396070,0.127881,0.375455,0.400401,0.078734,0.419155,0.397511,0.030565
10,0.041667,-0.767785,-0.045612,0.158669,-0.619072,0.013402,0.418461,-0.064874,-0.649950,0.244505,-0.517164,-0.500323,0.321973,0.298430,0.184004,-0.001820,-0.000231,0.000386,-0.999998,0.038723,0.138649,0.300330,0.215770,0.141154,0.428290,0.168497,0.141040,0.560860,-0.122463,0.143321,0.486970,-0.123833,0.141789,0.557824,0.231146,0.121818,0.562615,0.039085,0.123725,0.380624,0.338503,0.307040,0.237532,0.197704,0.130911,0.381025,0.039167,0.124399,0.299047,-0.107981,0.132434,0.298593,-0.107775,0.133260,0.225667,-0.107507,0.134047,0.377926,0.195377,0.129002,0.218712,0.197944,0.129767,0.298374,0.038978,0.125826,0.223276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.036269,0.466295,-0.322180,-0.048556,0.434476,-0.146401,-0.074613,0.468092,-0.298997,0.018793,0.425418,-0.146613,-0.008374,0.466867,-0.161891,0.439455,0.435027,0.209240,0.447723,0.441784,0.163006,0.414997,0.396055,0.128177,0.375787,0.400284,0.079008,0.419502,0.397361,0.030834
11,0.045833,-0.768187,-0.045553,0.158398,-0.618647,0.013710,0.418636,-0.065051,-0.654739,0.243235,-0.514363,-0.497579,0.323674,0.297068,0.183925,-0.001922,-0.000216,0.000404,-0.999998,0.038747,0.138663,0.300308,0.215795,0.141142,0.428275,0.168520,0.141031,0.560855,-0.122448,0.143289,0.486943,-0.123815,0.141765,0.557798,0.231154,0.121739,0.562584,0.039112,0.123706,0.380620,0.338968,0.307047,0.237851,0.197737,0.130891,0.381019,0.039174,0.124372,0.299026,-0.107961,0.132400,0.298571,-0.107763,0.133242,0.225637,-0.107490,0.134034,0.377903,0.195421,0.128938,0.218687,0.197961,0.129742,0.298357,0.038991,0.125814,0.223260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035826,0.466737,-0.322319,-0.048198,0.434729,-0.146619,-0.074155,0.468563,-0.299148,0.019153,0.425699,-0.146774,-0.008039,0.467127,-0.162046,0.441357,0.432916,0.208711,0.448113,0.441809,0.163186,0.415395,0.396039,0.128446,0.376168,0.400162,0.079304,0.419881,0.397190,0.031120
12,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.054167,-0.769057,-0.045661,0.157446,-0.617801,0.014278,0.418947,-0.065470,-0.654200,0.241953,-0.514983,-0.498271,0.324562,0.297096,0.184703,-0.001447,-0.000139,0.000153,-0.999999,0.038841,0.138469,0.300247,0.215868,0.141135,0.428207,0.168564,0.141444,0.560913,-0.122363,0.143214,0.486852,-0.123713,0.141655,0.557698,0.231153,0.121672,0.562510,0.039186,0.123690,0.380547,0.340224,0.306842,0.238525,0.197820,0.130852,0.380921,0.039253,0.124279,0.298910,-0.107857,0.132301,0.298449,-0.107693,0.133131,0.225523,-0.107404,0.133942,0.377806,0.195618,0.128690,0.218504,0.198039,0.129627,0.298238,0.039067,0.125723,0.223159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.034950,0.467582,-0.322721,-0.047458,0.435125,-0.147178,-0.073272,0.469420,-0.299555,0.019771,0.426258,-0.147101,-0.007320,0.467740,-0.162329,0.442042,0.433191,0.209107,0.448817,0.441921,0.163467,0.416176,0.396046,0.128903,0.376901,0.399933,0.079759,0.420562,0.396883,0.031498
14,0.058333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
