Format Version,1.23,Take Name,cap_111,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.46.33.815 PM,Total Frames in Take,1804,Total Exported Frames,1804,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.740414,-0.078214,0.052240,-0.665537,0.138216,0.388476,-0.100081,0.629835,-0.277259,0.558963,0.462597,0.310032,0.268767,0.169053,-0.000113,0.000716,0.000430,-1.000000,0.039043,0.138197,0.300021,0.215564,0.141191,0.428323,0.168458,0.141638,0.560956,-0.122452,0.143366,0.486951,-0.124068,0.142362,0.556457,0.231145,0.122033,0.562667,0.038938,0.124689,0.380473,-0.107857,0.135919,0.225830,-0.107985,0.132928,0.298722,0.039087,0.125975,0.299031,0.038942,0.127949,0.223280,0.319016,0.275574,0.224817,0.195843,0.128592,0.218738,0.197745,0.131152,0.380950,0.197908,0.130284,0.298294,-0.107609,0.133883,0.377946,0.215283,0.131394,0.537089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113188,0.406359,-0.364695,0.085366,0.385632,-0.188944,0.072519,0.402086,-0.346172,0.152296,0.390314,-0.181078,0.119827,0.424578,-0.203047,0.419844,0.406209,0.214073,0.432307,0.416719,0.170015,0.405716,0.371709,0.129770,0.373361,0.376549,0.075812,0.423280,0.376352,0.033944
7,0.029167,-0.740431,-0.078299,0.052419,-0.665495,0.138270,0.388468,-0.099929,0.629943,-0.277230,0.558899,0.462545,0.310040,0.268664,0.169096,0.000023,0.000652,0.000348,-1.000000,0.039057,0.138137,0.300023,0.215587,0.141182,0.428333,0.168481,0.141631,0.560967,-0.122430,0.143341,0.486965,-0.124051,0.142344,0.556473,0.231268,0.122114,0.562603,0.038958,0.124677,0.380486,-0.107845,0.135907,0.225851,-0.107964,0.132920,0.298743,0.039110,0.125949,0.299039,0.038966,0.127939,0.223292,0.319040,0.275476,0.224862,0.195854,0.128587,0.218745,0.197769,0.131135,0.380957,0.197925,0.130260,0.298309,-0.107599,0.133875,0.377964,0.215290,0.131363,0.537116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113138,0.406366,-0.364537,0.085388,0.385633,-0.188783,0.072481,0.402104,-0.345992,0.152320,0.390307,-0.180926,0.119846,0.424597,-0.202877,0.419848,0.406106,0.214126,0.432297,0.416623,0.170042,0.405706,0.371635,0.129814,0.373342,0.376466,0.075868,0.423255,0.376283,0.033979
8,0.033333,-0.740491,-0.078397,0.052609,-0.665401,0.138312,0.388449,-0.099784,0.630006,-0.277302,0.558801,0.462534,0.310003,0.268597,0.169116,0.001275,0.000567,0.000558,-0.999999,0.038978,0.137516,0.300047,0.215368,0.140761,0.428380,0.168487,0.141623,0.560970,-0.122428,0.143344,0.486979,-0.124045,0.142349,0.556483,0.231266,0.122103,0.562618,0.038961,0.124684,0.380492,-0.107846,0.135907,0.225859,-0.107957,0.132899,0.298749,0.039112,0.125953,0.299047,0.038958,0.127937,0.223297,0.319046,0.275389,0.224892,0.195860,0.128586,0.218751,0.197777,0.131132,0.380964,0.197922,0.130267,0.298308,-0.107588,0.133881,0.377967,0.215316,0.131372,0.537122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113072,0.406401,-0.364383,0.085398,0.385646,-0.188638,0.072416,0.402140,-0.345818,0.152331,0.390300,-0.180781,0.119847,0.424604,-0.202694,0.419823,0.406018,0.214170,0.432288,0.416530,0.170064,0.405682,0.371574,0.129851,0.373306,0.376404,0.075906,0.423216,0.376235,0.034006
9,0.037500,-0.740564,-0.078555,0.052772,-0.665289,0.138375,0.388440,-0.099647,0.630089,-0.277301,0.558761,0.462469,0.310000,0.268511,0.169131,0.001296,0.000555,0.000555,-0.999999,0.038983,0.137511,0.300035,0.215376,0.140763,0.428374,0.168488,0.141625,0.560943,-0.122407,0.143343,0.486971,-0.124031,0.142357,0.556476,0.231274,0.122112,0.562599,0.038982,0.124680,0.380483,-0.107838,0.135901,0.225847,-0.107945,0.132907,0.298738,0.039137,0.125941,0.299038,0.038976,0.127937,0.223285,0.319080,0.275291,0.224920,0.195879,0.128584,0.218734,0.197783,0.131138,0.380946,0.197942,0.130260,0.298301,-0.107568,0.133876,0.377959,0.215310,0.131375,0.537123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113008,0.406451,-0.364232,0.085432,0.385658,-0.188498,0.072366,0.402197,-0.345642,0.152345,0.390315,-0.180649,0.119866,0.424622,-0.202522,0.419810,0.405931,0.214209,0.432269,0.416456,0.170073,0.405671,0.371500,0.129882,0.373290,0.376347,0.075936,0.423187,0.376179,0.034031
10,0.041667,-0.740647,-0.078754,0.052980,-0.665157,0.138443,0.388419,-0.099517,0.630240,-0.277269,0.558720,0.462333,0.310001,0.268422,0.169136,0.001222,0.000552,0.000543,-0.999999,0.038981,0.137554,0.300014,0.215393,0.140793,0.428324,0.168476,0.141636,0.560926,-0.122404,0.143357,0.486958,-0.124027,0.142355,0.556460,0.231259,0.122118,0.562591,0.038984,0.124686,0.380469,-0.107837,0.135907,0.225836,-0.107949,0.132919,0.298726,0.039131,0.125965,0.299027,0.038972,0.127951,0.223266,0.319071,0.275206,0.224927,0.195876,0.128594,0.218725,0.197780,0.131151,0.380932,0.197943,0.130274,0.298291,-0.107575,0.133878,0.377949,0.215312,0.131366,0.537101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112925,0.406496,-0.364088,0.085459,0.385664,-0.188371,0.072281,0.402258,-0.345457,0.152363,0.390322,-0.180517,0.119872,0.424635,-0.202352,0.419778,0.405848,0.214235,0.432241,0.416395,0.170100,0.405645,0.371450,0.129902,0.373246,0.376298,0.075963,0.423137,0.376156,0.034046
11,0.045833,-0.740741,-0.078974,0.053136,-0.665013,0.138515,0.388395,-0.099390,0.630362,-0.277189,0.558747,0.462182,0.310023,0.268326,0.169139,0.001234,0.000539,0.000529,-0.999999,0.038982,0.137555,0.299997,0.215389,0.140802,0.428300,0.168486,0.141646,0.560908,-0.122389,0.143357,0.486942,-0.124019,0.142358,0.556448,0.231262,0.122133,0.562569,0.038995,0.124692,0.380448,-0.107840,0.135925,0.225811,-0.107939,0.132930,0.298698,0.039148,0.125959,0.299008,0.038981,0.127966,0.223241,0.319078,0.275125,0.224936,0.195895,0.128602,0.218698,0.197779,0.131165,0.380906,0.197953,0.130269,0.298263,-0.107553,0.133881,0.377936,0.215318,0.131373,0.537081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112846,0.406553,-0.363928,0.085488,0.385661,-0.188233,0.072219,0.402315,-0.345297,0.152390,0.390328,-0.180383,0.119890,0.424644,-0.202205,0.419751,0.405772,0.214259,0.432209,0.416354,0.170107,0.405626,0.371392,0.129917,0.373229,0.376251,0.075986,0.423104,0.376122,0.034065
12,0.050000,-0.740786,-0.079106,0.053427,-0.664924,0.138588,0.388389,-0.099241,0.630457,-0.277179,0.558773,0.462026,0.310015,0.268238,0.169146,0.001231,0.000533,0.000545,-0.999999,0.038968,0.137570,0.299992,0.215381,0.140810,0.428286,0.168473,0.141657,0.560903,-0.122402,0.143379,0.486938,-0.124025,0.142373,0.556448,0.231247,0.122138,0.562566,0.038990,0.124711,0.380453,-0.107853,0.135934,0.225805,-0.107954,0.132937,0.298690,0.039134,0.125977,0.299008,0.038967,0.127977,0.223243,0.319062,0.275060,0.224956,0.195885,0.128618,0.218697,0.197765,0.131170,0.380905,0.197950,0.130289,0.298273,-0.107566,0.133901,0.377936,0.215306,0.131383,0.537078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112741,0.406598,-0.363747,0.085506,0.385684,-0.188054,0.072160,0.402359,-0.345116,0.152414,0.390329,-0.180239,0.119907,0.424657,-0.202046,0.419705,0.405688,0.214296,0.432158,0.416303,0.170150,0.405592,0.371344,0.129949,0.373195,0.376209,0.076030,0.423067,0.376095,0.034100
13,0.054167,-0.740772,-0.078964,0.054090,-0.664902,0.138681,0.388413,-0.099060,0.630570,-0.277120,0.558850,0.461815,0.310033,0.268138,0.169157,0.000582,0.000579,0.000795,-0.999999,0.038954,0.137764,0.299985,0.215345,0.140777,0.428314,0.168447,0.141239,0.560787,-0.122400,0.143384,0.486937,-0.124023,0.142374,0.556442,0.231133,0.122045,0.562645,0.038989,0.124706,0.380455,-0.107848,0.135929,0.225800,-0.107956,0.132934,0.298678,0.039142,0.125978,0.299012,0.038970,0.127974,0.223240,0.319059,0.274981,0.224985,0.195882,0.128617,0.218710,0.197758,0.131165,0.380903,0.197945,0.130284,0.298275,-0.107565,0.133902,0.377939,0.215288,0.131369,0.537074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112647,0.406650,-0.363538,0.085511,0.385777,-0.187784,0.072080,0.402410,-0.344900,0.152454,0.390326,-0.180092,0.119951,0.424653,-0.201870,0.419665,0.405610,0.214337,0.432104,0.416264,0.170211,0.405570,0.371299,0.129989,0.373174,0.376168,0.076069,0.423036,0.376071,0.034142
14,0.058333,-0.740859,-0.079134,0.054453,-0.664757,0.138777,0.388384,-0.098899,0.630678,-0.277138,0.558836,0.461674,0.310010,0.268067,0.169173,0.001192,0.000602,0.000633,-0.999999,0.038958,0.137576,0.300011,0.215338,0.140783,0.428313,0.168469,0.141667,0.560924,-0.122422,0.143391,0.486934,-0.124044,0.142383,0.556449,0.231132,0.122047,0.562645,0.038972,0.124724,0.380459,-0.107860,0.135930,0.225795,-0.107973,0.132955,0.298684,0.039114,0.125994,0.299022,0.038954,0.127977,0.223251,0.318976,0.274889,0.225017,0.195863,0.128627,0.218728,0.197756,0.131173,0.380915,0.197927,0.130292,0.298282,-0.107585,0.133916,0.377932,0.215253,0.131371,0.537075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112547,0.406706,-0.363339,0.085528,0.385781,-0.187562,0.071991,0.402480,-0.344678,0.152491,0.390325,-0.179948,0.119975,0.424639,-0.201716,0.419622,0.405535,0.214384,0.432049,0.416218,0.170274,0.405527,0.371266,0.130029,0.373131,0.376138,0.076111,0.422981,0.376052,0.034195
15,0.062500,-0.740968,-0.079286,0.054748,-0.664592,0.138868,0.388346,-0.098740,0.630756,-0.277203,0.558839,0.461524,0.309992,0.267998,0.169161,0.001216,0.000613,0.000637,-0.999999,0.038970,0.137567,0.300002,0.215362,0.140778,0.428298,0.168471,0.141666,0.560930,-0.122429,0.143392,0.486926,-0.124044,0.142388,0.556432,0.231149,0.122052,0.562637,0.038970,0.124729,0.380447,-0.107842,0.135930,0.225796,-0.107963,0.132940,0.298675,0.039120,0.126000,0.299008,0.038964,0.127975,0.223244,0.318944,0.274819,0.225018,0.195863,0.128629,0.218724,0.197760,0.131165,0.380915,0.197917,0.130296,0.298276,-0.107587,0.133923,0.377909,0.215280,0.131375,0.537057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112480,0.406763,-0.363163,0.085545,0.385770,-0.187357,0.071916,0.402559,-0.344456,0.152532,0.390327,-0.179792,0.120013,0.424630,-0.201558,0.419589,0.405458,0.214417,0.432007,0.416165,0.170332,0.405499,0.371229,0.130055,0.373104,0.376107,0.076135,0.422954,0.376039,0.034218
