Format Version,1.23,Take Name,cap_126,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.53.13.011 PM,Total Frames in Take,2101,Total Exported Frames,2101,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.789197,-0.039446,0.063462,-0.609578,0.094849,0.362555,0.011617,-0.703089,0.244033,-0.399931,-0.534948,0.333313,0.262438,0.229175,0.000611,0.000586,0.000782,-0.999999,0.038918,0.137742,0.299972,0.215303,0.140770,0.428299,0.168410,0.141236,0.560758,-0.122447,0.143368,0.486927,-0.124057,0.142363,0.556421,0.231097,0.122040,0.562656,0.360996,0.264546,0.277226,-0.107742,0.135833,0.225834,0.039085,0.125958,0.298988,0.197635,0.131280,0.380868,0.038934,0.124729,0.380454,0.038810,0.128068,0.223192,-0.107728,0.133089,0.298646,-0.107583,0.134153,0.377999,0.197896,0.130602,0.298282,0.195843,0.128416,0.218682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081128,0.419167,-0.248275,0.045585,0.376523,-0.078144,0.039762,0.416568,-0.231871,0.111812,0.374481,-0.067761,0.083474,0.414502,-0.085314,0.471079,0.380778,0.233416,0.468749,0.391982,0.187610,0.423652,0.353055,0.159179,0.375772,0.365303,0.119909,0.407732,0.360300,0.063097
7,0.029167,-0.789290,-0.039332,0.063796,-0.609429,0.094571,0.362586,0.011746,-0.703052,0.243967,-0.400065,-0.534926,0.333074,0.262384,0.229481,0.000633,0.000583,0.000803,-0.999999,0.038928,0.137729,0.299982,0.215336,0.140752,0.428313,0.168435,0.141235,0.560766,-0.122462,0.143375,0.486943,-0.124062,0.142364,0.556430,0.231114,0.122028,0.562660,0.360797,0.264337,0.277542,-0.107731,0.135825,0.225869,0.039073,0.125972,0.299007,0.197628,0.131296,0.380884,0.038921,0.124745,0.380468,0.038793,0.128080,0.223206,-0.107723,0.133090,0.298671,-0.107569,0.134147,0.378019,0.197883,0.130616,0.298299,0.195833,0.128416,0.218700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.080793,0.419289,-0.248126,0.045261,0.376597,-0.078008,0.039417,0.416700,-0.231666,0.111503,0.374530,-0.067636,0.083212,0.414586,-0.085179,0.470845,0.380742,0.233691,0.468465,0.391945,0.187965,0.423391,0.353044,0.159502,0.375534,0.365234,0.120178,0.407484,0.360242,0.063401
8,0.033333,-0.789415,-0.039256,0.064097,-0.609241,0.094302,0.362610,0.011863,-0.703097,0.243850,-0.400166,-0.534845,0.332893,0.262286,0.229751,0.000754,0.000532,0.000774,-0.999999,0.038941,0.137684,0.299980,0.215364,0.140736,0.428326,0.168455,0.141222,0.560778,-0.122467,0.143376,0.486951,-0.124063,0.142373,0.556435,0.231250,0.122094,0.562595,0.360479,0.264128,0.277795,-0.107710,0.135814,0.225880,0.039075,0.125983,0.299017,0.197616,0.131311,0.380896,0.038918,0.124758,0.380481,0.038794,0.128093,0.223223,-0.107703,0.133068,0.298684,-0.107551,0.134127,0.378040,0.197877,0.130631,0.298312,0.195833,0.128422,0.218710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.080462,0.419430,-0.247988,0.044950,0.376679,-0.077873,0.039086,0.416847,-0.231467,0.111214,0.374577,-0.067531,0.082933,0.414669,-0.085051,0.470639,0.380691,0.233953,0.468237,0.391891,0.188253,0.423163,0.352990,0.159789,0.375312,0.365140,0.120439,0.407277,0.360184,0.063666
9,0.037500,-0.789523,-0.039187,0.064219,-0.609092,0.093992,0.362657,0.011972,-0.703162,0.243892,-0.400099,-0.534790,0.332659,0.262223,0.229999,0.000731,0.000534,0.000786,-0.999999,0.038951,0.137686,0.299980,0.215379,0.140728,0.428328,0.168466,0.141205,0.560778,-0.122466,0.143373,0.486950,-0.124066,0.142370,0.556435,0.231275,0.122082,0.562595,0.360308,0.264068,0.278037,-0.107702,0.135808,0.225882,0.039067,0.125971,0.299018,0.197613,0.131315,0.380892,0.038907,0.124757,0.380481,0.038788,0.128088,0.223216,-0.107695,0.133061,0.298688,-0.107543,0.134122,0.378041,0.197885,0.130632,0.298307,0.195821,0.128418,0.218707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.080131,0.419595,-0.247867,0.044630,0.376781,-0.077725,0.038786,0.416970,-0.231334,0.110893,0.374637,-0.067439,0.082625,0.414754,-0.084925,0.470411,0.380637,0.234234,0.468019,0.391834,0.188519,0.422928,0.352926,0.160044,0.375076,0.365099,0.120693,0.407024,0.360154,0.063936
10,0.041667,-0.789704,-0.039395,0.064094,-0.608858,0.093685,0.362686,0.012051,-0.703197,0.243929,-0.400096,-0.534730,0.332427,0.262172,0.230234,0.000711,0.000543,0.000775,-0.999999,0.038956,0.137698,0.299964,0.215384,0.140740,0.428308,0.168468,0.141211,0.560762,-0.122465,0.143375,0.486927,-0.124061,0.142366,0.556422,0.231267,0.122086,0.562590,0.360132,0.264034,0.278264,-0.107697,0.135810,0.225873,0.039076,0.125976,0.298991,0.197617,0.131310,0.380876,0.038917,0.124744,0.380455,0.038794,0.128090,0.223195,-0.107694,0.133072,0.298674,-0.107535,0.134121,0.378023,0.197886,0.130632,0.298288,0.195826,0.128420,0.218686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079775,0.419779,-0.247756,0.044315,0.376834,-0.077624,0.038457,0.417135,-0.231221,0.110570,0.374727,-0.067348,0.082295,0.414842,-0.084821,0.470164,0.380571,0.234494,0.467803,0.391806,0.188765,0.422700,0.352881,0.160300,0.374826,0.365067,0.120953,0.406821,0.360122,0.064196
11,0.045833,-0.789742,-0.040077,0.063951,-0.608779,0.093430,0.362737,0.012191,-0.703267,0.243895,-0.400239,-0.534547,0.332217,0.262070,0.230439,0.000723,0.000547,0.000740,-0.999999,0.038946,0.137700,0.299952,0.215360,0.140761,0.428297,0.168455,0.141233,0.560751,-0.122459,0.143362,0.486913,-0.124065,0.142367,0.556408,0.231240,0.122101,0.562579,0.360020,0.264067,0.278478,-0.107703,0.135820,0.225854,0.039072,0.125983,0.298970,0.197621,0.131288,0.380852,0.038925,0.124748,0.380437,0.038792,0.128077,0.223171,-0.107704,0.133098,0.298650,-0.107549,0.134147,0.378000,0.197882,0.130608,0.298269,0.195835,0.128422,0.218665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079394,0.419957,-0.247636,0.043959,0.376902,-0.077551,0.037923,0.417058,-0.230785,0.110220,0.374804,-0.067262,0.081937,0.414916,-0.084715,0.469885,0.380513,0.234756,0.467562,0.391764,0.189020,0.422487,0.352834,0.160531,0.374586,0.365010,0.121211,0.406608,0.360086,0.064427
12,0.050000,-0.789866,-0.039910,0.064288,-0.608593,0.093080,0.362765,0.012258,-0.703157,0.243782,-0.400432,-0.534598,0.331991,0.262033,0.230711,0.000701,0.000552,0.000690,-0.999999,0.038941,0.137716,0.299932,0.215343,0.140786,0.428281,0.168437,0.141245,0.560740,-0.122449,0.143358,0.486892,-0.124058,0.142353,0.556384,0.231226,0.122133,0.562553,0.359836,0.264032,0.278707,-0.107709,0.135840,0.225821,0.039079,0.125960,0.298941,0.197646,0.131285,0.380830,0.038934,0.124730,0.380409,0.038815,0.128066,0.223152,-0.107703,0.133101,0.298624,-0.107560,0.134161,0.377974,0.197906,0.130596,0.298244,0.195851,0.128416,0.218638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079002,0.420085,-0.247550,0.043587,0.377005,-0.077473,0.037530,0.417234,-0.230671,0.109861,0.374865,-0.067199,0.081586,0.414973,-0.084608,0.469621,0.380521,0.235025,0.467313,0.391739,0.189263,0.422255,0.352802,0.160787,0.374355,0.364938,0.121469,0.406383,0.360021,0.064649
13,0.054167,-0.790134,-0.039397,0.064363,-0.608271,0.092595,0.362760,0.012272,-0.703213,0.243592,-0.400705,-0.534406,0.331814,0.261901,0.230939,0.001341,0.000579,0.000490,-0.999999,0.038943,0.137507,0.299945,0.215309,0.140794,0.428271,0.168435,0.141668,0.560856,-0.122438,0.143342,0.486879,-0.124054,0.142345,0.556371,0.231195,0.122153,0.562547,0.359549,0.263961,0.278961,-0.107715,0.135829,0.225799,0.039091,0.125941,0.298928,0.197652,0.131250,0.380816,0.038948,0.124705,0.380395,0.038822,0.128052,0.223131,-0.107707,0.133102,0.298606,-0.107569,0.134164,0.377957,0.197918,0.130575,0.298225,0.195862,0.128397,0.218625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078608,0.420203,-0.247447,0.043187,0.377049,-0.077398,0.037270,0.417602,-0.230898,0.109454,0.374934,-0.067116,0.081201,0.415040,-0.084486,0.469381,0.380488,0.235295,0.467028,0.391711,0.189542,0.422023,0.352748,0.161042,0.374146,0.364844,0.121693,0.406149,0.359945,0.064894
14,0.058333,-0.790370,-0.039417,0.064430,-0.607956,0.092240,0.362726,0.012326,-0.703091,0.243398,-0.401049,-0.534397,0.331625,0.261829,0.231210,0.001224,0.000648,0.000518,-0.999999,0.038959,0.137530,0.299947,0.215306,0.140794,0.428274,0.168440,0.141653,0.560840,-0.122416,0.143311,0.486863,-0.124041,0.142326,0.556364,0.231086,0.122069,0.562618,0.359319,0.263798,0.279271,-0.107708,0.135804,0.225778,0.039112,0.125903,0.298916,0.197668,0.131210,0.380804,0.038972,0.124669,0.380379,0.038847,0.128012,0.223109,-0.107693,0.133087,0.298582,-0.107557,0.134155,0.377939,0.197945,0.130531,0.298210,0.195889,0.128363,0.218605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078235,0.420369,-0.247339,0.042852,0.377090,-0.077316,0.036872,0.417778,-0.230829,0.109076,0.374961,-0.067039,0.080837,0.415077,-0.084386,0.469113,0.380553,0.235591,0.466784,0.391669,0.189804,0.421821,0.352690,0.161298,0.373948,0.364743,0.121920,0.405948,0.359851,0.065175
15,0.062500,-0.790565,-0.039331,0.064487,-0.607702,0.091852,0.362702,0.012409,-0.702837,0.243459,-0.401085,-0.534676,0.331348,0.261850,0.231517,0.001237,0.000654,0.000517,-0.999999,0.038969,0.137514,0.299953,0.215303,0.140778,0.428286,0.168456,0.141651,0.560843,-0.122412,0.143304,0.486863,-0.124031,0.142309,0.556367,0.231096,0.122055,0.562631,0.359097,0.263761,0.279552,-0.107701,0.135789,0.225783,0.039122,0.125882,0.298914,0.197670,0.131202,0.380805,0.038975,0.124654,0.380388,0.038856,0.127987,0.223109,-0.107677,0.133081,0.298597,-0.107544,0.134128,0.377940,0.197942,0.130509,0.298204,0.195897,0.128347,0.218607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077861,0.420522,-0.247248,0.042455,0.377123,-0.077192,0.036507,0.417921,-0.230737,0.108705,0.374968,-0.066931,0.080466,0.415133,-0.084269,0.468877,0.380522,0.235850,0.466578,0.391603,0.190044,0.421578,0.352643,0.161575,0.373732,0.364660,0.122177,0.405738,0.359760,0.065410
