Format Version,1.23,Take Name,cap_123,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.51.32.777 PM,Total Frames in Take,1814,Total Exported Frames,1814,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.751552,-0.043040,0.125391,-0.646215,0.144648,0.371309,-0.079984,-0.655940,0.261656,-0.463279,-0.535399,0.340675,0.305557,0.151398,-0.000008,0.000720,0.000328,-1.000000,0.039059,0.138168,0.299984,0.215569,0.141223,0.428296,0.168478,0.141662,0.560924,-0.122450,0.143346,0.486915,-0.124057,0.142357,0.556408,0.231179,0.122123,0.562630,0.038961,0.124339,0.380440,0.039133,0.125338,0.298960,0.038882,0.127162,0.223133,0.360572,0.313411,0.204452,-0.107902,0.134099,0.225626,0.195815,0.128885,0.218773,-0.107967,0.132929,0.298555,0.197904,0.130263,0.298261,0.197777,0.131155,0.380929,-0.107567,0.133955,0.377882,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106501,0.401573,-0.341881,0.086450,0.379477,-0.165347,0.067073,0.402827,-0.320698,0.153971,0.373732,-0.161690,0.125843,0.413014,-0.180754,0.474559,0.427251,0.167192,0.478879,0.435313,0.121119,0.438956,0.393526,0.089109,0.397132,0.401943,0.042518,0.436876,0.394072,-0.008770
7,0.029167,-0.751813,-0.041499,0.126093,-0.645876,0.144399,0.370997,-0.079934,-0.655932,0.261640,-0.463494,-0.535230,0.340636,0.305473,0.151364,0.000063,0.000667,0.000278,-1.000000,0.039069,0.138135,0.299981,0.215595,0.141213,0.428304,0.168459,0.141637,0.560928,-0.122432,0.143337,0.486921,-0.124042,0.142344,0.556421,0.231306,0.122189,0.562563,0.038973,0.124318,0.380445,0.039133,0.125337,0.298964,0.038890,0.127153,0.223143,0.360506,0.313366,0.204413,-0.107886,0.134082,0.225633,0.195821,0.128880,0.218772,-0.107960,0.132916,0.298570,0.197915,0.130253,0.298261,0.197785,0.131143,0.380928,-0.107556,0.133934,0.377902,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106585,0.401561,-0.341924,0.086407,0.379429,-0.165407,0.067128,0.402782,-0.320732,0.153814,0.373275,-0.161441,0.125798,0.412998,-0.180731,0.474461,0.427230,0.167235,0.478799,0.435284,0.121127,0.438908,0.393488,0.089120,0.397094,0.401890,0.042510,0.436859,0.394040,-0.008753
8,0.033333,-0.752873,-0.046882,0.121294,-0.645192,0.144785,0.370727,-0.080127,-0.655865,0.261670,-0.463701,-0.535118,0.340566,0.305415,0.151326,0.000070,0.000647,0.000267,-1.000000,0.039072,0.138132,0.299977,0.215612,0.141217,0.428279,0.168484,0.141641,0.560916,-0.122425,0.143332,0.486925,-0.124038,0.142341,0.556425,0.231313,0.122191,0.562564,0.038980,0.124317,0.380442,0.039141,0.125333,0.298961,0.038895,0.127155,0.223144,0.360458,0.313258,0.204361,-0.107882,0.134069,0.225642,0.195827,0.128872,0.218761,-0.107952,0.132909,0.298572,0.197921,0.130256,0.298258,0.197794,0.131130,0.380925,-0.107552,0.133938,0.377910,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106655,0.401533,-0.341962,0.086941,0.378381,-0.165705,0.067175,0.402753,-0.320770,0.153886,0.373681,-0.161641,0.125747,0.412992,-0.180726,0.474342,0.427209,0.167256,0.478715,0.435247,0.121134,0.438850,0.393462,0.089133,0.397048,0.401840,0.042501,0.436833,0.394013,-0.008758
9,0.037500,-0.752927,-0.046746,0.121041,-0.645186,0.144696,0.370707,-0.080141,-0.655812,0.261672,-0.463938,-0.534976,0.340506,0.305350,0.151286,0.000063,0.000639,0.000270,-1.000000,0.039078,0.138137,0.299971,0.215617,0.141218,0.428272,0.168487,0.141644,0.560902,-0.122400,0.143336,0.486925,-0.124020,0.142340,0.556423,0.231305,0.122190,0.562557,0.038991,0.124324,0.380441,0.039152,0.125356,0.298950,0.038905,0.127169,0.223137,0.360315,0.313247,0.204296,-0.107875,0.134075,0.225631,0.195833,0.128882,0.218749,-0.107936,0.132910,0.298581,0.197934,0.130250,0.298244,0.197793,0.131125,0.380909,-0.107542,0.133923,0.377907,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106716,0.401525,-0.342020,0.086907,0.378357,-0.165738,0.067216,0.402740,-0.320824,0.153839,0.373660,-0.161655,0.125708,0.412986,-0.180731,0.474222,0.427194,0.167273,0.478621,0.435226,0.121145,0.438791,0.393429,0.089134,0.397004,0.401799,0.042495,0.436813,0.393984,-0.008746
10,0.041667,-0.752990,-0.046601,0.120872,-0.645155,0.144609,0.370665,-0.080152,-0.655744,0.261733,-0.464161,-0.534837,0.340415,0.305283,0.151238,0.000059,0.000617,0.000263,-1.000000,0.039067,0.138143,0.299972,0.215608,0.141227,0.428264,0.168489,0.141657,0.560891,-0.122395,0.143339,0.486934,-0.124011,0.142340,0.556431,0.231291,0.122191,0.562554,0.038995,0.124324,0.380444,0.039154,0.125358,0.298961,0.038903,0.127178,0.223137,0.361251,0.311406,0.203566,-0.107885,0.134077,0.225628,0.195835,0.128892,0.218748,-0.107933,0.132909,0.298582,0.197937,0.130250,0.298254,0.197783,0.131133,0.380901,-0.107529,0.133939,0.377914,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106761,0.401509,-0.342075,0.086872,0.378325,-0.165774,0.067223,0.402729,-0.320861,0.153785,0.373620,-0.161658,0.125661,0.412966,-0.180727,0.474089,0.427163,0.167305,0.478509,0.435192,0.121159,0.438709,0.393391,0.089142,0.396948,0.401753,0.042486,0.436779,0.393952,-0.008745
11,0.045833,-0.753206,-0.044898,0.121987,-0.644813,0.144390,0.370343,-0.080117,-0.655697,0.261639,-0.464541,-0.534611,0.340368,0.305171,0.151207,0.001381,0.000527,0.000455,-0.999999,0.038972,0.137487,0.300000,0.215340,0.140794,0.428333,0.168487,0.141648,0.560896,-0.122390,0.143327,0.486941,-0.124001,0.142340,0.556446,0.231270,0.122196,0.562561,0.039005,0.124320,0.380457,0.039161,0.125348,0.298977,0.038919,0.127178,0.223154,0.361175,0.311346,0.203560,-0.107897,0.134077,0.225628,0.195848,0.128884,0.218768,-0.107918,0.132907,0.298599,0.197947,0.130260,0.298267,0.197773,0.131135,0.380902,-0.107521,0.133923,0.377929,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106783,0.401492,-0.342107,0.086849,0.378269,-0.165794,0.067240,0.402707,-0.320903,0.153584,0.373094,-0.161460,0.125642,0.412939,-0.180723,0.473935,0.427162,0.167337,0.478386,0.435164,0.121184,0.438627,0.393336,0.089162,0.396907,0.401677,0.042499,0.436760,0.393912,-0.008713
12,0.050000,-0.753286,-0.044791,0.121952,-0.644735,0.144344,0.370263,-0.080128,-0.655743,0.261552,-0.464808,-0.534364,0.340326,0.305044,0.151196,0.001309,0.000578,0.000530,-0.999999,0.038963,0.137501,0.300040,0.215315,0.140773,0.428363,0.168487,0.141654,0.560930,-0.122387,0.143327,0.486974,-0.124009,0.142337,0.556473,0.231145,0.122096,0.562657,0.039000,0.124311,0.380491,0.039164,0.125359,0.299011,0.038911,0.127173,0.223184,0.361083,0.311282,0.203565,-0.107913,0.134066,0.225639,0.195848,0.128887,0.218800,-0.107924,0.132906,0.298628,0.197942,0.130262,0.298296,0.197759,0.131145,0.380916,-0.107521,0.133925,0.377956,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106800,0.401475,-0.342130,0.086839,0.378221,-0.165800,0.067246,0.402677,-0.320926,0.153543,0.373016,-0.161482,0.125614,0.412891,-0.180715,0.473815,0.427115,0.167383,0.478261,0.435132,0.121234,0.438544,0.393284,0.089196,0.396841,0.401607,0.042524,0.436724,0.393870,-0.008664
13,0.054167,-0.753348,-0.044693,0.121996,-0.644660,0.144320,0.370200,-0.080155,-0.655743,0.261504,-0.465037,-0.534188,0.340277,0.304952,0.151185,0.001309,0.000567,0.000546,-0.999999,0.038953,0.137506,0.300043,0.215311,0.140771,0.428366,0.168457,0.141649,0.560929,-0.122389,0.143339,0.486983,-0.124004,0.142348,0.556480,0.231148,0.122101,0.562654,0.039004,0.124321,0.380501,0.039157,0.125364,0.299027,0.038913,0.127188,0.223194,0.359995,0.313033,0.204254,-0.107916,0.134077,0.225640,0.195854,0.128894,0.218819,-0.107916,0.132923,0.298638,0.197940,0.130276,0.298304,0.197748,0.131140,0.380921,-0.107522,0.133947,0.377966,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106799,0.401475,-0.342144,0.086828,0.378188,-0.165830,0.067248,0.402655,-0.320957,0.153515,0.372954,-0.161514,0.125612,0.412858,-0.180736,0.473713,0.427083,0.167421,0.478146,0.435109,0.121271,0.438465,0.393234,0.089226,0.396785,0.401554,0.042545,0.436700,0.393831,-0.008623
14,0.058333,-0.753412,-0.044761,0.121945,-0.644590,0.144322,0.370146,-0.080205,-0.655797,0.261483,-0.465214,-0.533978,0.340220,0.304843,0.151153,0.001313,0.000572,0.000576,-0.999999,0.038956,0.137519,0.300036,0.215323,0.140773,0.428349,0.168468,0.141666,0.560935,-0.122400,0.143367,0.486973,-0.124016,0.142368,0.556472,0.231153,0.122098,0.562649,0.038984,0.124346,0.380495,0.039145,0.125379,0.299019,0.038899,0.127199,0.223188,0.359890,0.312984,0.204243,-0.107916,0.134078,0.225643,0.195837,0.128914,0.218816,-0.107945,0.132937,0.298624,0.197932,0.130295,0.298301,0.197752,0.131144,0.380919,-0.107531,0.133963,0.377956,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106798,0.401466,-0.342167,0.086808,0.378148,-0.165881,0.067246,0.402647,-0.321000,0.153546,0.372915,-0.161564,0.125594,0.412823,-0.180793,0.473603,0.427037,0.167446,0.478036,0.435061,0.121307,0.438389,0.393179,0.089244,0.396710,0.401495,0.042545,0.436653,0.393803,-0.008603
15,0.062500,-0.753435,-0.044874,0.121917,-0.644560,0.144354,0.370132,-0.080270,-0.655862,0.261385,-0.465417,-0.533769,0.340193,0.304724,0.151132,0.001350,0.000528,0.000497,-0.999999,0.038966,0.137528,0.299997,0.215348,0.140806,0.428326,0.168466,0.141670,0.560913,-0.122406,0.143375,0.486944,-0.124019,0.142372,0.556436,0.231288,0.122199,0.562545,0.038991,0.124365,0.380458,0.039148,0.125388,0.298987,0.038896,0.127219,0.223163,0.359782,0.312933,0.204222,-0.107897,0.134097,0.225629,0.195830,0.128944,0.218789,-0.107946,0.132942,0.298597,0.197923,0.130297,0.298279,0.197775,0.131159,0.380921,-0.107534,0.133972,0.377929,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106800,0.401472,-0.342205,0.086807,0.378138,-0.165943,0.067255,0.402645,-0.321039,0.153589,0.372925,-0.161635,0.125603,0.412790,-0.180882,0.473511,0.427001,0.167470,0.477938,0.435020,0.121349,0.438331,0.393131,0.089257,0.396638,0.401421,0.042539,0.436609,0.393761,-0.008593
