Format Version,1.23,Take Name,cap_023,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.33.02.508 PM,Total Frames in Take,2918,Total Exported Frames,2918,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.864089,-0.082622,0.139931,-0.476386,0.089512,0.292896,0.070198,-0.740171,0.202567,-0.394179,-0.505704,0.343017,0.246371,0.227030,0.000843,-0.000411,0.000212,-1.000000,0.038719,0.137514,0.300347,0.215319,0.140648,0.428375,0.168530,0.141544,0.560938,-0.122326,0.143322,0.486972,-0.123288,0.141738,0.557735,0.231260,0.122087,0.562572,0.039119,0.123840,0.380597,0.197761,0.130615,0.380930,0.039206,0.124331,0.299038,0.038997,0.125707,0.223257,0.374344,0.248630,0.273918,-0.107722,0.132093,0.225671,0.195955,0.127781,0.218744,-0.107839,0.132412,0.298592,0.198013,0.129849,0.298304,-0.107384,0.133701,0.377922,0.062798,0.382517,0.037097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037475,0.425623,-0.154951,0.027203,0.334585,-0.001546,-0.000510,0.417898,-0.132301,0.094099,0.327194,-0.004130,0.065959,0.372450,-0.003812,0.469220,0.377023,0.228659,0.462792,0.389959,0.183631,0.419560,0.348382,0.156195,0.368191,0.357828,0.120927,0.396213,0.358659,0.061886
7,0.029167,-0.864022,-0.082431,0.138466,-0.476969,0.088028,0.294197,0.069242,-0.740092,0.202467,-0.393763,-0.506184,0.343630,0.246776,0.227277,0.000776,-0.000417,0.000208,-1.000000,0.038720,0.137557,0.300320,0.215343,0.140679,0.428307,0.168540,0.141551,0.560931,-0.122332,0.143335,0.486949,-0.123295,0.141750,0.557711,0.231260,0.122094,0.562552,0.039109,0.123852,0.380577,0.197754,0.130630,0.380909,0.039207,0.124326,0.299008,0.038992,0.125708,0.223241,0.375062,0.248966,0.274074,-0.107726,0.132094,0.225647,0.195956,0.127787,0.218717,-0.107841,0.132412,0.298565,0.198010,0.129853,0.298284,-0.107380,0.133706,0.377896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036480,0.426626,-0.156190,0.025928,0.335705,-0.002714,-0.001590,0.418928,-0.133595,0.092760,0.328372,-0.005165,0.064526,0.373776,-0.004842,0.469892,0.377390,0.228666,0.463486,0.390203,0.183690,0.420205,0.348663,0.156315,0.368764,0.358135,0.121076,0.396776,0.358943,0.062025
8,0.033333,-0.863929,-0.083725,0.135464,-0.477772,0.086824,0.295718,0.068341,-0.740278,0.202056,-0.393378,-0.506375,0.344355,0.247102,0.227500,0.000806,-0.000408,0.000203,-1.000000,0.038720,0.137551,0.300294,0.215346,0.140683,0.428285,0.168525,0.141557,0.560899,-0.122335,0.143338,0.486921,-0.123297,0.141759,0.557684,0.231257,0.122110,0.562535,0.039112,0.123858,0.380566,0.197748,0.130636,0.380892,0.039207,0.124338,0.298989,0.038996,0.125717,0.223221,0.375971,0.249378,0.274219,-0.107729,0.132105,0.225618,0.195948,0.127795,0.218696,-0.107846,0.132433,0.298546,0.198008,0.129872,0.298250,-0.107384,0.133717,0.377878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035529,0.427618,-0.157366,0.024632,0.336818,-0.003826,-0.002601,0.419922,-0.134872,0.091734,0.330161,-0.006202,0.063227,0.374907,-0.005901,0.470536,0.377712,0.228676,0.464184,0.390537,0.183719,0.420828,0.348982,0.156415,0.369368,0.358427,0.121253,0.397268,0.359250,0.062167
9,0.037500,-0.863805,-0.083034,0.135216,-0.478187,0.085459,0.296916,0.067368,-0.740658,0.201422,-0.393050,-0.506326,0.345156,0.247299,0.227709,0.000792,-0.000404,0.000212,-1.000000,0.038720,0.137555,0.300291,0.215340,0.140680,0.428290,0.168524,0.141553,0.560893,-0.122339,0.143340,0.486916,-0.123292,0.141758,0.557679,0.231255,0.122102,0.562534,0.039118,0.123847,0.380565,0.197754,0.130628,0.380890,0.039340,0.124467,0.299184,0.038996,0.125712,0.223213,0.376646,0.249763,0.274511,-0.107726,0.132103,0.225615,0.195961,0.127786,0.218690,-0.107841,0.132427,0.298536,0.198001,0.129872,0.298256,-0.107385,0.133716,0.377868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034576,0.428600,-0.158514,0.023370,0.337975,-0.004908,-0.003749,0.421080,-0.136163,0.090512,0.331293,-0.007159,0.062056,0.376010,-0.006940,0.471286,0.378006,0.228772,0.464776,0.390848,0.183774,0.421434,0.349272,0.156505,0.369941,0.358656,0.121438,0.397734,0.359478,0.062287
10,0.041667,-0.863800,-0.082378,0.134383,-0.478545,0.084090,0.298027,0.066479,-0.740612,0.201246,-0.392751,-0.506695,0.345752,0.247615,0.227950,0.000858,-0.000395,0.000246,-1.000000,0.038730,0.137521,0.300297,0.215329,0.140646,0.428317,0.168545,0.141554,0.560907,-0.122337,0.143348,0.486916,-0.123287,0.141761,0.557674,0.231265,0.122086,0.562530,0.039135,0.123843,0.380558,0.197774,0.130627,0.380898,0.039359,0.124453,0.299173,0.039002,0.125705,0.223212,0.377188,0.249946,0.274684,-0.107724,0.132107,0.225615,0.195963,0.127779,0.218686,-0.107836,0.132432,0.298526,0.198009,0.129880,0.298254,-0.107386,0.133726,0.377860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033725,0.429566,-0.159592,0.022123,0.339014,-0.005928,-0.004656,0.422094,-0.137337,0.089316,0.332385,-0.008075,0.060898,0.377080,-0.007934,0.471923,0.378280,0.228858,0.465401,0.391092,0.183838,0.422043,0.349526,0.156625,0.370472,0.358898,0.121582,0.398243,0.359667,0.062423
11,0.045833,-0.863756,-0.081589,0.133694,-0.478952,0.082752,0.299132,0.065628,-0.740541,0.201310,-0.392307,-0.507118,0.346268,0.247977,0.228180,0.000810,-0.000383,0.000250,-1.000000,0.038740,0.137533,0.300301,0.215340,0.140644,0.428324,0.168552,0.141543,0.560912,-0.122336,0.143346,0.486916,-0.123283,0.141748,0.557676,0.231266,0.122071,0.562541,0.039141,0.123831,0.380569,0.197784,0.130609,0.380901,0.039358,0.124423,0.299171,0.038999,0.125703,0.223210,0.378005,0.250244,0.274851,-0.107724,0.132094,0.225615,0.195959,0.127775,0.218680,-0.107833,0.132438,0.298528,0.198003,0.129860,0.298255,-0.107393,0.133721,0.377862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032933,0.430510,-0.160671,0.020957,0.340095,-0.006935,-0.005524,0.423074,-0.138452,0.088137,0.333442,-0.008955,0.059755,0.378117,-0.008894,0.472544,0.378578,0.228895,0.466034,0.391297,0.183929,0.422588,0.349735,0.156764,0.370999,0.359185,0.121744,0.398770,0.359939,0.062580
12,0.050000,-0.863710,-0.080709,0.133347,-0.479281,0.081494,0.300199,0.064760,-0.740789,0.200905,-0.392149,-0.507038,0.346953,0.248195,0.228349,0.000818,-0.000377,0.000238,-1.000000,0.038745,0.137532,0.300301,0.215336,0.140651,0.428325,0.168554,0.141537,0.560919,-0.122334,0.143341,0.486905,-0.123277,0.141753,0.557679,0.231270,0.122088,0.562542,0.039148,0.123833,0.380567,0.197783,0.130621,0.380906,0.039359,0.124416,0.299158,0.038998,0.125703,0.223205,0.378589,0.250532,0.275101,-0.107724,0.132101,0.225614,0.195966,0.127782,0.218682,-0.107838,0.132431,0.298528,0.198006,0.129869,0.298249,-0.107390,0.133730,0.377861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032158,0.431451,-0.161733,0.019849,0.341150,-0.007930,-0.006348,0.424083,-0.139529,0.087021,0.334444,-0.009822,0.058702,0.379167,-0.009876,0.473122,0.378823,0.228921,0.466599,0.391609,0.184044,0.423145,0.350021,0.156877,0.371556,0.359438,0.121928,0.399248,0.360200,0.062712
13,0.054167,-0.863761,-0.080109,0.132539,-0.479512,0.080262,0.301238,0.063900,-0.740847,0.200593,-0.391944,-0.507235,0.347560,0.248479,0.228560,0.000791,-0.000372,0.000228,-1.000000,0.038747,0.137551,0.300307,0.215340,0.140668,0.428334,0.168554,0.141555,0.560929,-0.122335,0.143343,0.486911,-0.123277,0.141756,0.557683,0.231265,0.122087,0.562545,0.039143,0.123845,0.380568,0.197786,0.130625,0.380908,0.039352,0.124406,0.299151,0.038993,0.125707,0.223211,0.379094,0.250721,0.275218,-0.107727,0.132100,0.225613,0.195960,0.127778,0.218681,-0.107829,0.132429,0.298524,0.198004,0.129867,0.298249,-0.107388,0.133723,0.377859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031422,0.432406,-0.162739,0.018762,0.342171,-0.008919,-0.007157,0.425081,-0.140626,0.085945,0.335493,-0.010678,0.057656,0.380137,-0.010821,0.473745,0.379103,0.229020,0.467132,0.391920,0.184096,0.423685,0.350283,0.157004,0.372075,0.359693,0.122063,0.399702,0.360412,0.062817
14,0.058333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
