Format Version,1.23,Take Name,cap_034,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.46.31.674 PM,Total Frames in Take,3334,Total Exported Frames,3334,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.850227,0.140966,-0.146030,-0.485714,-0.040989,0.270329,0.107660,-0.816601,-0.191059,0.142659,-0.525650,-0.317969,0.372711,0.124965,0.000383,-0.000317,0.000236,-1.000000,0.038795,0.137650,0.300329,0.215500,0.140681,0.428328,0.168566,0.141464,0.560901,-0.122236,0.143260,0.486969,-0.123386,0.141671,0.557718,0.231228,0.121929,0.562617,0.039385,0.124745,0.299049,0.039167,0.124089,0.380513,0.038967,0.125919,0.223181,0.196043,0.127533,0.218670,-0.287111,0.374482,0.114208,0.197649,0.130556,0.380905,0.197866,0.129420,0.298313,-0.107791,0.131929,0.225600,-0.107556,0.132716,0.377952,-0.107852,0.132125,0.298599,,,,,,,,,,,,,0.083648,0.388641,-0.095879,-0.035915,0.311598,0.012614,0.039335,0.385996,-0.104570,0.015507,0.298507,0.054814,-0.000599,0.344632,0.036224,-0.299951,0.505159,0.001810,-0.346186,0.514337,-0.001437,-0.378994,0.470819,0.035641,-0.424324,0.476585,0.078880,-0.476319,0.474145,0.039049
7,0.029167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.037500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.041667,-0.848161,0.140110,-0.147883,-0.489002,-0.037450,0.275531,0.105410,-0.815175,-0.191411,0.143185,-0.527588,-0.317873,0.374806,0.124407,0.000421,-0.000302,0.000232,-1.000000,0.038765,0.137649,0.300286,0.215441,0.140689,0.428293,0.168550,0.141471,0.560859,-0.122262,0.143278,0.486918,-0.123415,0.141683,0.557666,0.231174,0.121964,0.562589,0.039364,0.124757,0.298986,0.039145,0.124113,0.380473,0.039089,0.126233,0.223173,0.195998,0.127533,0.218633,-0.287058,0.376460,0.113479,0.197595,0.130565,0.380863,0.197811,0.129447,0.298285,-0.107830,0.131937,0.225553,-0.107610,0.132717,0.377915,-0.107892,0.132152,0.298570,,,,,,,,,,,,,0.087407,0.392366,-0.098875,-0.032264,0.316011,0.010060,0.043105,0.389554,-0.107628,0.019087,0.303402,0.052422,0.002961,0.349249,0.033445,-0.300146,0.506679,0.000595,-0.346352,0.515794,-0.002595,-0.379064,0.472420,0.034646,-0.424398,0.478369,0.077899,-0.476387,0.475631,0.038162
11,0.045833,-0.847621,0.141199,-0.146751,-0.489965,-0.036654,0.277063,0.104905,-0.815031,-0.191542,0.143348,-0.527719,-0.317899,0.375263,0.124170,0.000430,-0.000296,0.000243,-1.000000,0.038762,0.137626,0.300305,0.215433,0.140667,0.428318,0.168540,0.141452,0.560877,-0.122268,0.143257,0.486936,-0.123419,0.141673,0.557679,0.231170,0.121937,0.562609,0.039363,0.124741,0.299008,0.039138,0.124091,0.380492,0.039084,0.126230,0.223181,0.196001,0.127522,0.218652,-0.287070,0.376994,0.113248,0.197596,0.130537,0.380883,0.197809,0.129430,0.298300,-0.107836,0.131934,0.225566,-0.107615,0.132698,0.377923,-0.107886,0.132125,0.298585,,,,,,,,,,,,,0.088382,0.393208,-0.099634,-0.031449,0.317460,0.009528,0.044108,0.390439,-0.108408,0.019995,0.304627,0.051813,0.003889,0.350462,0.032718,-0.300241,0.507075,0.000284,-0.346431,0.516202,-0.002851,-0.379156,0.472860,0.034388,-0.424455,0.478799,0.077654,-0.476460,0.476005,0.037955
12,0.050000,-0.846984,0.140749,-0.147856,-0.490864,-0.035741,0.278368,0.104287,-0.814940,-0.191607,0.143501,-0.527795,-0.317984,0.375721,0.123896,0.000373,-0.000299,0.000236,-1.000000,0.038752,0.137653,0.300320,0.215434,0.140677,0.428326,0.168524,0.141453,0.560903,-0.122282,0.143269,0.486951,-0.123434,0.141662,0.557698,0.231172,0.121939,0.562616,0.039347,0.124743,0.299036,0.039126,0.124093,0.380505,0.039077,0.126225,0.223198,0.195988,0.127505,0.218662,-0.287082,0.377510,0.113007,0.197588,0.130544,0.380896,0.197815,0.129410,0.298303,-0.107838,0.131921,0.225578,-0.107617,0.132703,0.377931,-0.107891,0.132124,0.298592,,,,,,,,,,,,,0.089427,0.394127,-0.100433,-0.030463,0.318470,0.008823,0.045165,0.391361,-0.109210,0.020921,0.305886,0.051217,0.004789,0.351667,0.032002,-0.300360,0.507521,-0.000030,-0.346567,0.516621,-0.003174,-0.379261,0.473261,0.034139,-0.424535,0.479234,0.077401,-0.476608,0.476479,0.037685
13,0.054167,-0.846290,0.140573,-0.148572,-0.491892,-0.034821,0.279764,0.103671,-0.814700,-0.192044,0.143707,-0.527950,-0.317975,0.376242,0.123596,0.000388,-0.000308,0.000243,-1.000000,0.038746,0.137650,0.300327,0.215432,0.140680,0.428328,0.168518,0.141451,0.560914,-0.122291,0.143263,0.486961,-0.123434,0.141679,0.557706,0.231181,0.121940,0.562617,0.039339,0.124748,0.299046,0.039121,0.124091,0.380515,0.039065,0.126229,0.223207,0.195993,0.127525,0.218663,-0.287124,0.378005,0.112727,0.197606,0.130544,0.380901,0.197807,0.129421,0.298308,-0.107835,0.131931,0.225592,-0.107615,0.132707,0.377936,-0.107890,0.132135,0.298593,,,,,,,,,,,,,0.090491,0.395014,-0.101249,-0.029483,0.319605,0.008072,0.046225,0.392228,-0.110014,0.021907,0.307197,0.050557,0.005729,0.352902,0.031268,-0.300507,0.508004,-0.000404,-0.346755,0.517064,-0.003526,-0.379395,0.473699,0.033837,-0.424646,0.479664,0.077143,-0.476729,0.476861,0.037481
14,0.058333,-0.845600,0.140981,-0.148593,-0.492957,-0.033929,0.281248,0.103069,-0.814547,-0.192252,0.144005,-0.528030,-0.318057,0.376733,0.123273,0.000408,-0.000324,0.000248,-1.000000,0.038740,0.137650,0.300325,0.215451,0.140682,0.428317,0.168507,0.141463,0.560912,-0.122306,0.143273,0.486967,-0.123434,0.141692,0.557709,0.231195,0.121947,0.562604,0.039334,0.124753,0.299049,0.039116,0.124103,0.380514,0.039070,0.126235,0.223212,0.196008,0.127533,0.218661,-0.287176,0.378583,0.112420,0.197613,0.130553,0.380893,0.197827,0.129423,0.298306,-0.107829,0.131943,0.225598,-0.107606,0.132716,0.377926,-0.107877,0.132157,0.298583,,,,,,,,,,,,,0.091603,0.395845,-0.102080,-0.028515,0.320836,0.007384,0.047311,0.393142,-0.110865,0.022851,0.308480,0.049930,0.006731,0.354187,0.030490,-0.300689,0.508438,-0.000775,-0.346947,0.517516,-0.003897,-0.379546,0.474172,0.033532,-0.424769,0.480111,0.076863,-0.476908,0.477308,0.037247
15,0.062500,-0.844972,0.141666,-0.148148,-0.493969,-0.033033,0.282778,0.102455,-0.814071,-0.192599,0.144142,-0.528600,-0.318111,0.377365,0.123070,0.000358,-0.000318,0.000258,-1.000000,0.038747,0.137675,0.300328,0.215462,0.140693,0.428313,0.168507,0.141472,0.560921,-0.122298,0.143277,0.486971,-0.123431,0.141695,0.557712,0.231193,0.121928,0.562612,0.039332,0.124765,0.299046,0.039112,0.124103,0.380521,0.039077,0.126245,0.223221,0.196016,0.127533,0.218647,-0.287219,0.379176,0.112119,0.197623,0.130549,0.380886,0.197843,0.129422,0.298304,-0.107834,0.131955,0.225602,-0.107602,0.132727,0.377925,-0.107874,0.132143,0.298581,,,,,,,,,,,,,0.092698,0.396735,-0.102937,-0.027583,0.322187,0.006704,0.048417,0.394052,-0.111737,0.023815,0.309775,0.049259,0.007761,0.355452,0.029709,-0.300899,0.508903,-0.001171,-0.347179,0.517978,-0.004276,-0.379709,0.474600,0.033208,-0.424938,0.480620,0.076586,-0.477084,0.477689,0.036984
