Format Version,1.23,Take Name,cap_062,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.02.43.533 PM,Total Frames in Take,1936,Total Exported Frames,1936,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.848308,0.193820,-0.093757,-0.483754,-0.049990,0.282716,0.025618,-0.797652,-0.220089,0.195762,-0.526299,-0.257032,0.301493,0.113996,-0.000551,-0.000810,-0.000032,-1.000000,0.038601,0.138177,0.300508,0.215611,0.141107,0.428305,0.168666,0.141497,0.560849,-0.122216,0.143293,0.486921,-0.123535,0.141700,0.558550,0.231252,0.122096,0.562629,0.039133,0.123896,0.380493,0.039361,0.124460,0.299005,0.039081,0.125890,0.223164,-0.107423,0.133886,0.377904,-0.211469,0.307411,0.090514,0.197835,0.129580,0.298282,0.195872,0.128028,0.218636,-0.107939,0.132375,0.298619,0.197757,0.130884,0.380873,-0.107997,0.133009,0.225646,,,,,,,,,,0.083083,0.389441,-0.179077,-0.042767,0.326237,-0.068102,0.038653,0.393142,-0.186167,0.008224,0.304569,-0.028571,-0.001980,0.352791,-0.045236,-0.254308,0.429212,-0.014856,-0.300902,0.439948,-0.012284,-0.328367,0.396315,0.029585,-0.368420,0.404517,0.077687,-0.424763,0.400204,0.044764
7,0.029167,-0.848373,0.193390,-0.094311,-0.483703,-0.049919,0.282707,0.025720,-0.797817,-0.220201,0.195862,-0.525963,-0.256904,0.301315,0.114030,-0.000519,-0.000849,-0.000053,-1.000000,0.038575,0.138198,0.300494,0.215603,0.141132,0.428307,0.168600,0.141517,0.560887,-0.122230,0.143316,0.486915,-0.123546,0.141739,0.558544,0.231306,0.122166,0.562520,0.039130,0.123921,0.380488,0.039344,0.124481,0.299006,0.039067,0.125924,0.223169,-0.107422,0.133918,0.377897,-0.211292,0.307284,0.090576,0.197834,0.129599,0.298266,0.195871,0.128045,0.218620,-0.107946,0.132403,0.298606,0.197755,0.130911,0.380879,-0.107996,0.133026,0.225634,,,,,,,,,,0.083119,0.389573,-0.178918,-0.042695,0.326191,-0.068023,0.038694,0.393215,-0.186037,0.008292,0.304633,-0.028451,-0.001954,0.352874,-0.045082,-0.254199,0.429138,-0.014726,-0.300810,0.439862,-0.012135,-0.328255,0.396201,0.029692,-0.368300,0.404388,0.077834,-0.424634,0.400089,0.044937
8,0.033333,-0.848493,0.192797,-0.094993,-0.483597,-0.049836,0.282649,0.025805,-0.797931,-0.220383,0.195899,-0.525701,-0.256774,0.301195,0.114098,-0.000540,-0.000855,-0.000052,-1.000000,0.038542,0.138231,0.300498,0.215572,0.141157,0.428322,0.168559,0.141548,0.560888,-0.122259,0.143344,0.486924,-0.123583,0.141760,0.558545,0.231294,0.122183,0.562507,0.039098,0.123946,0.380494,0.039310,0.124504,0.299022,0.039049,0.125950,0.223177,-0.107456,0.133928,0.377903,-0.211143,0.307182,0.090646,0.197835,0.129624,0.298256,0.195865,0.128063,0.218608,-0.107954,0.132425,0.298586,0.197734,0.130932,0.380884,-0.107988,0.133042,0.225613,,,,,,,,,,0.083140,0.389719,-0.178769,-0.042617,0.326087,-0.067972,0.038709,0.393308,-0.185897,0.008366,0.304692,-0.028333,-0.001945,0.352910,-0.044947,-0.254118,0.429095,-0.014580,-0.300739,0.439830,-0.011965,-0.328154,0.396115,0.029824,-0.368207,0.404282,0.077994,-0.424530,0.399990,0.045138
9,0.037500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.041667,-0.848701,0.191710,-0.096154,-0.483433,-0.049674,0.282500,0.026020,-0.798084,-0.220684,0.195756,-0.525394,-0.256533,0.301006,0.114369,-0.000396,-0.000895,-0.000010,-1.000000,0.038463,0.138135,0.300551,0.215441,0.141073,0.428404,0.168506,0.141527,0.560943,-0.122311,0.143326,0.486970,-0.123651,0.141743,0.558603,0.231289,0.122144,0.562516,0.039052,0.123913,0.380545,0.039259,0.124486,0.299079,0.039005,0.125939,0.223222,-0.107507,0.133915,0.377954,-0.210886,0.306980,0.090807,0.197834,0.129570,0.298272,0.195858,0.128018,0.218622,-0.107966,0.132380,0.298587,0.197689,0.130941,0.380945,-0.108005,0.132993,0.225628,,,,,,,,,,0.083165,0.389924,-0.178442,-0.042489,0.325913,-0.067785,0.038720,0.393409,-0.185609,0.008522,0.304730,-0.028077,-0.001937,0.352914,-0.044680,-0.253962,0.429003,-0.014213,-0.300593,0.439742,-0.011557,-0.327944,0.395966,0.030193,-0.368037,0.404068,0.078351,-0.424345,0.399799,0.045538
11,0.045833,-0.848827,0.191090,-0.096784,-0.483333,-0.049605,0.282430,0.026119,-0.798200,-0.220798,0.195734,-0.525179,-0.256447,0.300924,0.114483,-0.000822,-0.000965,0.000146,-0.999999,0.038406,0.138241,0.300541,0.215392,0.141031,0.428425,0.168521,0.141152,0.560802,-0.122350,0.143309,0.486994,-0.123691,0.141732,0.558625,0.231272,0.122130,0.562519,0.039020,0.123905,0.380566,0.039212,0.124482,0.299097,0.038967,0.125938,0.223245,-0.107546,0.133918,0.377972,-0.210787,0.306924,0.090906,0.197802,0.129559,0.298278,0.195844,0.128000,0.218627,-0.107991,0.132377,0.298593,0.197655,0.130945,0.380965,-0.108028,0.132971,0.225629,,,,,,,,,,0.083145,0.390059,-0.178286,-0.042435,0.325824,-0.067697,0.038699,0.393488,-0.185473,0.008575,0.304758,-0.027949,-0.001956,0.352941,-0.044554,-0.253896,0.428992,-0.014030,-0.300554,0.439706,-0.011372,-0.327862,0.395928,0.030370,-0.367965,0.403988,0.078538,-0.424274,0.399752,0.045718
12,0.050000,-0.848941,0.190391,-0.097562,-0.483252,-0.049534,0.282356,0.026189,-0.798379,-0.220852,0.195752,-0.524878,-0.256383,0.300836,0.114569,-0.000837,-0.000978,0.000167,-0.999999,0.038369,0.138249,0.300546,0.215348,0.141024,0.428428,0.168500,0.141147,0.560805,-0.122385,0.143325,0.486999,-0.123731,0.141733,0.558633,0.231252,0.122125,0.562518,0.038985,0.123907,0.380566,0.039177,0.124492,0.299112,0.038938,0.125936,0.223250,-0.107584,0.133925,0.377976,-0.210695,0.306869,0.091002,0.197781,0.129554,0.298267,0.195819,0.128005,0.218608,-0.107998,0.132381,0.298586,0.197610,0.130951,0.380964,-0.108052,0.132992,0.225628,,,,,,,,,,0.083133,0.390204,-0.178154,-0.042347,0.325710,-0.067672,0.038670,0.393562,-0.185349,0.008618,0.304797,-0.027834,-0.001974,0.352970,-0.044455,-0.253816,0.429007,-0.013844,-0.300507,0.439663,-0.011212,-0.327806,0.395921,0.030539,-0.367879,0.403929,0.078716,-0.424206,0.399742,0.045885
13,0.054167,-0.849056,0.189799,-0.098160,-0.483162,-0.049456,0.282295,0.026261,-0.798422,-0.220910,0.195674,-0.524817,-0.256282,0.300815,0.114707,-0.000866,-0.000976,0.000154,-0.999999,0.038371,0.138257,0.300540,0.215344,0.141031,0.428425,0.168504,0.141138,0.560789,-0.122379,0.143316,0.486993,-0.123722,0.141724,0.558627,0.231242,0.122126,0.562519,0.038985,0.123910,0.380560,0.039175,0.124492,0.299102,0.038939,0.125935,0.223238,-0.107582,0.133912,0.377973,-0.210610,0.306828,0.091118,0.197780,0.129552,0.298256,0.195812,0.128004,0.218608,-0.108014,0.132362,0.298581,0.197608,0.130948,0.380949,-0.108046,0.132979,0.225622,,,,,,,,,,0.083117,0.390332,-0.178026,-0.042276,0.325655,-0.067623,0.038649,0.393637,-0.185228,0.008673,0.304827,-0.027722,-0.001971,0.352984,-0.044382,-0.253725,0.429018,-0.013672,-0.300402,0.439608,-0.011068,-0.327722,0.395922,0.030702,-0.367784,0.403897,0.078865,-0.424114,0.399721,0.046036
14,0.058333,-0.849128,0.189629,-0.098121,-0.483109,-0.049396,0.282304,0.026391,-0.798362,-0.220933,0.195629,-0.524916,-0.256180,0.300831,0.114883,-0.000945,-0.000975,0.000163,-0.999999,0.038380,0.138265,0.300542,0.215346,0.141020,0.428419,0.168512,0.141107,0.560800,-0.122366,0.143292,0.486995,-0.123706,0.141699,0.558629,0.231246,0.122083,0.562524,0.039002,0.123890,0.380555,0.039185,0.124472,0.299093,0.038950,0.125915,0.223237,-0.107568,0.133894,0.377969,-0.210537,0.306790,0.091248,0.197786,0.129526,0.298262,0.195815,0.127977,0.218612,-0.108011,0.132318,0.298594,0.197620,0.130926,0.380946,-0.108052,0.132953,0.225629,,,,,,,,,,0.083119,0.390430,-0.177907,-0.042267,0.325722,-0.067464,0.038622,0.393679,-0.185111,0.008733,0.304841,-0.027601,-0.001966,0.352985,-0.044279,-0.253633,0.429021,-0.013510,-0.300312,0.439569,-0.010942,-0.327640,0.395915,0.030875,-0.367680,0.403882,0.079003,-0.424013,0.399708,0.046174
15,0.062500,-0.849225,0.189320,-0.098261,-0.483031,-0.049322,0.282287,0.026515,-0.798182,-0.220875,0.195552,-0.525242,-0.256082,0.300896,0.115116,-0.000494,-0.000907,-0.000036,-1.000000,0.038419,0.138120,0.300581,0.215374,0.141039,0.428445,0.168485,0.141478,0.560961,-0.122352,0.143272,0.487004,-0.123675,0.141660,0.558630,0.231250,0.122081,0.562544,0.039014,0.123870,0.380573,0.039203,0.124454,0.299091,0.038961,0.125888,0.223234,-0.107551,0.133880,0.377969,-0.210478,0.306784,0.091410,0.197780,0.129512,0.298281,0.195806,0.127959,0.218628,-0.107998,0.132295,0.298620,0.197642,0.130916,0.380937,-0.108067,0.132935,0.225645,,,,,,,,,,0.083101,0.390534,-0.177773,-0.042217,0.325737,-0.067331,0.038606,0.393747,-0.184982,0.008787,0.304857,-0.027468,-0.001955,0.353007,-0.044169,-0.253546,0.429021,-0.013355,-0.300196,0.439491,-0.010837,-0.327536,0.395889,0.031039,-0.367583,0.403901,0.079127,-0.423927,0.399722,0.046295
16,0.066667,-0.849287,0.188945,-0.098586,-0.483004,-0.049271,0.282301,0.026643,-0.797850,-0.220814,0.195501,-0.525791,-0.255993,0.301052,0.115398,-0.000521,-0.000840,0.000012,-1.000000,0.038442,0.138120,0.300603,0.215378,0.141026,0.428445,0.168484,0.141466,0.560963,-0.122341,0.143278,0.487007,-0.123661,0.141657,0.558640,0.231191,0.122030,0.562663,0.039025,0.123881,0.380574,0.039210,0.124440,0.299093,0.038962,0.125876,0.223237,-0.107548,0.133870,0.377971,-0.210434,0.306817,0.091578,0.197762,0.129527,0.298310,0.195784,0.127958,0.218656,-0.108009,0.132287,0.298646,0.197644,0.130901,0.380933,-0.108075,0.132942,0.225663,,,,,,,,,,0.083084,0.390664,-0.177619,-0.042186,0.325767,-0.067186,0.038590,0.393820,-0.184861,0.008824,0.304913,-0.027338,-0.001966,0.353059,-0.044045,-0.253484,0.429055,-0.013225,-0.300082,0.439409,-0.010752,-0.327460,0.395908,0.031189,-0.367507,0.403982,0.079265,-0.423864,0.399759,0.046402
17,0.070833,-0.849331,0.188696,-0.098759,-0.482988,-0.049214,0.282343,0.026780,-0.797547,-0.220700,0.195498,-0.526300,-0.255914,0.301205,0.115658,-0.000684,-0.000819,-0.000046,-0.999999,0.038485,0.138207,0.300602,0.215454,0.141099,0.428432,0.168509,0.141478,0.560968,-0.122317,0.143273,0.487002,-0.123630,0.141653,0.558645,0.231202,0.122052,0.562672,0.039042,0.123875,0.380569,0.039238,0.124441,0.299084,0.038981,0.125874,0.223238,-0.107521,0.133862,0.377965,-0.210410,0.306883,0.091761,0.197755,0.129530,0.298326,0.195787,0.127972,0.218667,-0.107999,0.132293,0.298671,0.197663,0.130884,0.380925,-0.108077,0.132952,0.225690,,,,,,,,,,0.083077,0.390783,-0.177464,-0.042157,0.325848,-0.067043,0.038591,0.393891,-0.184730,0.008879,0.304969,-0.027194,-0.001949,0.353118,-0.043932,-0.253408,0.429085,-0.013108,-0.299977,0.439348,-0.010675,-0.327376,0.395946,0.031326,-0.367429,0.404075,0.079380,-0.423791,0.399825,0.046507
