Format Version,1.23,Take Name,cap_094,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.19.32.944 PM,Total Frames in Take,2367,Total Exported Frames,2367,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.816787,-0.035973,0.067379,-0.571861,0.250644,0.352050,-0.298700,-0.740219,0.241257,-0.280722,-0.561308,0.456434,0.278793,0.050713,-0.000782,-0.000884,-0.000019,-0.999999,0.038445,0.138352,0.300741,0.215624,0.141255,0.428349,0.168494,0.141568,0.561015,-0.122346,0.143357,0.487070,-0.123821,0.141608,0.560016,0.231209,0.122133,0.562701,0.039022,0.124275,0.380657,0.494877,0.276662,0.095148,0.197692,0.131108,0.380977,0.197863,0.130275,0.298327,0.039034,0.124928,0.299101,-0.107681,0.133392,0.377991,-0.108036,0.132970,0.298673,0.195885,0.128737,0.218868,0.038786,0.126380,0.223295,-0.107918,0.134107,0.225786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237881,0.432912,-0.552210,0.201181,0.375328,-0.386741,0.196323,0.428833,-0.535719,0.267985,0.370942,-0.376899,0.240153,0.412837,-0.390448,0.606460,0.379337,0.030516,0.596227,0.393713,-0.013198,0.541298,0.362979,-0.032948,0.488468,0.383209,-0.060391,0.506943,0.378866,-0.123035
7,0.029167,-0.816770,-0.035984,0.067384,-0.571883,0.250659,0.352088,-0.298713,-0.740268,0.241227,-0.280716,-0.561259,0.456436,0.278796,0.050693,-0.000726,-0.000990,-0.000062,-0.999999,0.038409,0.138352,0.300715,0.215619,0.141272,0.428325,0.168497,0.141598,0.560998,-0.122347,0.143374,0.487049,-0.123817,0.141624,0.559993,0.231252,0.122199,0.562580,0.039021,0.124296,0.380644,0.494843,0.276734,0.095158,0.197687,0.131128,0.380962,0.197865,0.130296,0.298314,0.039047,0.124943,0.299084,-0.107678,0.133391,0.377982,-0.108028,0.132982,0.298660,0.195889,0.128753,0.218848,0.038790,0.126398,0.223278,-0.107915,0.134120,0.225769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237891,0.432940,-0.552231,0.201198,0.375361,-0.386743,0.196334,0.428854,-0.535739,0.267999,0.370967,-0.376919,0.240159,0.412878,-0.390462,0.606459,0.379348,0.030499,0.596208,0.393740,-0.013209,0.541292,0.362999,-0.032962,0.488454,0.383231,-0.060405,0.506925,0.378887,-0.123049
8,0.033333,-0.816765,-0.035961,0.067363,-0.571895,0.250640,0.352098,-0.298726,-0.740180,0.241304,-0.280655,-0.561372,0.456384,0.278856,0.050694,-0.000751,-0.000986,-0.000055,-0.999999,0.038400,0.138384,0.300691,0.215607,0.141295,0.428300,0.168491,0.141606,0.560976,-0.122360,0.143400,0.487020,-0.123834,0.141648,0.559967,0.231244,0.122221,0.562562,0.039013,0.124317,0.380614,0.494871,0.276660,0.095116,0.197679,0.131138,0.380939,0.197854,0.130318,0.298287,0.039042,0.124961,0.299068,-0.107685,0.133413,0.377958,-0.108028,0.132996,0.298639,0.195879,0.128767,0.218828,0.038795,0.126409,0.223263,-0.107918,0.134132,0.225747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237880,0.432946,-0.552252,0.201191,0.375373,-0.386761,0.196337,0.428858,-0.535758,0.267980,0.370978,-0.376928,0.240144,0.412877,-0.390475,0.606439,0.379366,0.030478,0.596185,0.393745,-0.013225,0.541269,0.363011,-0.032977,0.488428,0.383266,-0.060426,0.506898,0.378900,-0.123069
9,0.037500,-0.816733,-0.035962,0.067366,-0.571941,0.250643,0.352147,-0.298741,-0.739269,0.242383,-0.280262,-0.562304,0.455998,0.279354,0.050709,-0.000726,-0.000972,-0.000047,-0.999999,0.038403,0.138389,0.300650,0.215610,0.141304,0.428259,0.168485,0.141619,0.560934,-0.122359,0.143417,0.486984,-0.123830,0.141664,0.559928,0.231230,0.122240,0.562529,0.039006,0.124333,0.380571,0.494868,0.276683,0.095117,0.197678,0.131157,0.380906,0.197854,0.130333,0.298251,0.039058,0.124968,0.299027,-0.107668,0.133416,0.377931,-0.108015,0.132999,0.298601,0.195882,0.128784,0.218784,0.038801,0.126411,0.223230,-0.107902,0.134124,0.225718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237880,0.432963,-0.552272,0.201201,0.375408,-0.386780,0.196339,0.428881,-0.535778,0.267975,0.371014,-0.376948,0.240145,0.412927,-0.390498,0.606427,0.379377,0.030455,0.596173,0.393779,-0.013255,0.541268,0.363027,-0.032998,0.488371,0.383568,-0.060720,0.506891,0.378920,-0.123086
10,0.041667,-0.816714,-0.036018,0.067316,-0.571970,0.250642,0.352155,-0.298750,-0.739290,0.242356,-0.280277,-0.562280,0.455991,0.279338,0.050688,-0.000688,-0.000988,-0.000038,-0.999999,0.038388,0.138377,0.300634,0.215595,0.141297,0.428245,0.168482,0.141626,0.560911,-0.122364,0.143423,0.486966,-0.123833,0.141675,0.559901,0.231217,0.122243,0.562507,0.039005,0.124332,0.380546,0.494928,0.276579,0.095072,0.197670,0.131145,0.380888,0.197860,0.130325,0.298236,0.039061,0.124946,0.299007,-0.107669,0.133407,0.377905,-0.108016,0.133001,0.298574,0.195875,0.128774,0.218764,0.038809,0.126400,0.223207,-0.107910,0.134132,0.225685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237872,0.432953,-0.552292,0.201206,0.375402,-0.386787,0.196328,0.428871,-0.535797,0.267967,0.371023,-0.376952,0.240136,0.412921,-0.390510,0.606412,0.379372,0.030435,0.596157,0.393774,-0.013268,0.541256,0.363027,-0.033016,0.488353,0.383557,-0.060735,0.506873,0.378915,-0.123107
11,0.045833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.054167,-0.816576,-0.035957,0.067459,-0.572154,0.250666,0.352201,-0.298678,-0.739290,0.242380,-0.280243,-0.562286,0.455981,0.279327,0.050713,-0.000635,-0.000865,0.000005,-0.999999,0.038436,0.138322,0.300621,0.215599,0.141250,0.428254,0.168484,0.141602,0.560898,-0.122354,0.143397,0.486930,-0.123835,0.141656,0.559871,0.231181,0.122183,0.562585,0.039005,0.124306,0.380523,0.494784,0.276787,0.095226,0.197680,0.131119,0.380870,0.197874,0.130293,0.298208,0.039067,0.124938,0.298989,-0.107685,0.133421,0.377856,-0.108022,0.132994,0.298552,0.195886,0.128762,0.218750,0.038801,0.126405,0.223189,-0.107911,0.134145,0.225665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237870,0.432879,-0.552248,0.201206,0.375420,-0.386718,0.196328,0.428821,-0.535756,0.267999,0.371027,-0.376888,0.240154,0.412924,-0.390471,0.606421,0.379362,0.030434,0.596145,0.393734,-0.013205,0.541245,0.363018,-0.033001,0.488359,0.383543,-0.060712,0.506851,0.378910,-0.123091
14,0.058333,-0.816539,-0.035974,0.067509,-0.572200,0.250657,0.352214,-0.298650,-0.739308,0.242382,-0.280230,-0.562268,0.455964,0.279314,0.050724,-0.000624,-0.000850,0.000019,-0.999999,0.038435,0.138315,0.300620,0.215597,0.141239,0.428261,0.168464,0.141596,0.560904,-0.122362,0.143398,0.486931,-0.123845,0.141654,0.559879,0.231180,0.122176,0.562580,0.038998,0.124309,0.380528,0.494781,0.276759,0.095228,0.197684,0.131121,0.380880,0.197860,0.130285,0.298215,0.039050,0.124943,0.298987,-0.107696,0.133424,0.377856,-0.108037,0.132998,0.298550,0.195881,0.128762,0.218759,0.038789,0.126402,0.223185,-0.107928,0.134139,0.225668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237845,0.432864,-0.552225,0.201176,0.375427,-0.386693,0.196289,0.428803,-0.535730,0.267992,0.371035,-0.376863,0.240143,0.412919,-0.390450,0.606403,0.379354,0.030436,0.596129,0.393722,-0.013180,0.541221,0.363002,-0.032988,0.488345,0.383538,-0.060700,0.506830,0.378908,-0.123073
15,0.062500,-0.816502,-0.036020,0.067522,-0.572248,0.250678,0.352257,-0.298641,-0.739387,0.242309,-0.280239,-0.562191,0.455990,0.279295,0.050722,-0.000670,-0.000854,-0.000015,-0.999999,0.038454,0.138338,0.300605,0.215634,0.141267,0.428219,0.168484,0.141601,0.560892,-0.122352,0.143387,0.486928,-0.123829,0.141655,0.559871,0.231199,0.122187,0.562576,0.039009,0.124315,0.380521,0.494788,0.276761,0.095216,0.197703,0.131119,0.380874,0.197880,0.130285,0.298209,0.039060,0.124938,0.298974,-0.107690,0.133422,0.377837,-0.108031,0.132998,0.298535,0.195898,0.128769,0.218751,0.038795,0.126403,0.223176,-0.107919,0.134145,0.225648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237838,0.432877,-0.552226,0.201180,0.375451,-0.386682,0.196292,0.428814,-0.535721,0.268010,0.371068,-0.376862,0.240153,0.412960,-0.390448,0.606413,0.379373,0.030436,0.596118,0.393742,-0.013173,0.541222,0.363003,-0.032981,0.488343,0.383548,-0.060692,0.506825,0.378925,-0.123058
