Time,X,Y,Z,w,x,y,z,X,Y,Z,w,x,y,z,X,Y,Z,w,x,y,z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.041667,0.044094,0.386312,-0.061632,-0.647209,-0.756043,-0.037969,0.089874,0.314470,0.308602,0.191401,-0.515609,-0.667200,0.241447,-0.480307,0.039050,0.138794,0.299962,-0.999998,-0.001569,0.000687,0.000505,0.038980,0.124349,0.380432,0.038888,0.127138,0.223126,0.333595,0.318056,0.244695,0.039148,0.125316,0.298944,0.195494,0.129285,0.218446,-0.107717,0.133375,0.225673,0.197929,0.130480,0.298260,-0.107685,0.133082,0.298538,0.197752,0.131027,0.380885,-0.107556,0.133567,0.377888,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.045833,0.044119,0.386266,-0.061650,-0.647187,-0.756051,-0.037896,0.090003,0.314474,0.308517,0.191370,-0.515437,-0.667206,0.241378,-0.480518,0.039049,0.138801,0.299921,-0.999998,-0.001582,0.000691,0.000497,0.038982,0.124349,0.380390,0.038894,0.127129,0.223084,0.333568,0.318010,0.244710,0.039149,0.125308,0.298898,0.195484,0.129280,0.218432,-0.107700,0.133370,0.225630,0.197937,0.130478,0.298223,-0.107691,0.133083,0.298497,0.197755,0.131023,0.380861,-0.107562,0.133565,0.377843,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.050000,0.044140,0.386219,-0.061661,-0.647155,-0.756072,-0.037914,0.090050,0.314473,0.308439,0.191365,-0.515288,-0.667197,0.241250,-0.480755,0.039037,0.138807,0.299878,-0.999999,-0.001549,0.000630,0.000447,0.038965,0.124354,0.380362,0.038877,0.127130,0.223056,0.333525,0.317968,0.244728,0.039142,0.125317,0.298868,0.195479,0.129274,0.218435,-0.107701,0.133377,0.225597,0.197923,0.130475,0.298188,-0.107705,0.133102,0.298465,0.197760,0.131026,0.380841,-0.107570,0.133577,0.377802,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.054167,0.044158,0.386182,-0.061656,-0.647131,-0.756088,-0.037911,0.090085,0.314460,0.308387,0.191371,-0.515189,-0.667152,0.241186,-0.480955,0.039033,0.138846,0.299867,-0.999998,-0.001656,0.000703,0.000512,0.038965,0.124362,0.380349,0.038879,0.127138,0.223041,0.333497,0.317938,0.244761,0.039135,0.125316,0.298853,0.195472,0.129281,0.218429,-0.107695,0.133382,0.225575,0.197919,0.130478,0.298175,-0.107717,0.133106,0.298443,0.197765,0.131035,0.380830,-0.107577,0.133595,0.377774,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.058333,0.044169,0.386129,-0.061642,-0.647094,-0.756116,-0.037927,0.090110,0.314435,0.308332,0.191390,-0.515072,-0.667112,0.241103,-0.481178,0.039025,0.138839,0.299864,-0.999998,-0.001619,0.000714,0.000491,0.038950,0.124372,0.380345,0.038869,0.127134,0.223039,0.333454,0.317911,0.244797,0.039129,0.125317,0.298858,0.195466,0.129263,0.218466,-0.107709,0.133384,0.225572,0.197905,0.130484,0.298180,-0.107730,0.133114,0.298442,0.197759,0.131036,0.380844,-0.107583,0.133596,0.377760,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.062500,0.044179,0.386083,-0.061625,-0.647050,-0.756147,-0.037853,0.090189,0.314420,0.308287,0.191417,-0.514992,-0.667064,0.241010,-0.481376,0.039030,0.138808,0.299866,-0.999998,-0.001549,0.000718,0.000492,0.038956,0.124360,0.380349,0.038876,0.127133,0.223033,0.333431,0.317885,0.244832,0.039131,0.125322,0.298863,0.195468,0.129278,0.218476,-0.107700,0.133387,0.225568,0.197912,0.130482,0.298177,-0.107724,0.133115,0.298445,0.197756,0.131043,0.380851,-0.107583,0.133597,0.377762,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070833,0.044191,0.385972,-0.061612,-0.646896,-0.756279,-0.037877,0.090182,0.314406,0.308189,0.191464,-0.514790,-0.667061,0.240760,-0.481722,0.039019,0.139014,0.299844,-0.999997,-0.002181,0.000675,0.000650,0.038968,0.124373,0.380345,0.038880,0.127130,0.223039,0.333389,0.317813,0.244870,0.039135,0.125325,0.298854,0.195471,0.129295,0.218457,-0.107693,0.133396,0.225573,0.197921,0.130482,0.298184,-0.107713,0.133107,0.298443,0.197756,0.131059,0.380849,-0.107579,0.133599,0.377767,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.075000,0.044182,0.385945,-0.061602,-0.646868,-0.756309,-0.037918,0.090114,0.314379,0.308160,0.191500,-0.514746,-0.667042,0.240639,-0.481854,0.039011,0.139013,0.299830,-0.999997,-0.002140,0.000596,0.000608,0.038956,0.124391,0.380343,0.038878,0.127153,0.223044,0.333295,0.317841,0.244924,0.039130,0.125339,0.298855,0.195459,0.129313,0.218446,-0.107698,0.133410,0.225590,0.197913,0.130501,0.298184,-0.107719,0.133128,0.298450,0.197755,0.131073,0.380839,-0.107580,0.133603,0.377776,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.087500,0.044111,0.385830,-0.061517,-0.646773,-0.756426,-0.037942,0.089807,0.314412,0.307976,0.191629,-0.514352,-0.667147,0.239987,-0.482454,0.038903,0.138010,0.299939,-0.999999,0.000810,0.000816,-0.000468,0.038965,0.124384,0.380418,0.038865,0.127167,0.223114,0.333226,0.317788,0.245010,0.039128,0.125349,0.298922,0.195450,0.129348,0.218445,-0.107730,0.133412,0.225667,0.197913,0.130513,0.298251,-0.107714,0.133111,0.298517,0.197739,0.131070,0.380884,-0.107573,0.133605,0.377874,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.091667,0.044085,0.385794,-0.061475,-0.646785,-0.756426,-0.037953,0.089710,0.314390,0.307949,0.191687,-0.514336,-0.667064,0.239827,-0.482666,0.039036,0.138791,0.299971,-0.999999,-0.001493,0.000619,0.000459,0.038967,0.124375,0.380464,0.038862,0.127167,0.223161,0.333197,0.317790,0.245046,0.039123,0.125355,0.298974,0.195463,0.129318,0.218463,-0.107747,0.133397,0.225700,0.197913,0.130515,0.298294,-0.107704,0.133107,0.298571,0.197724,0.131058,0.380909,-0.107573,0.133605,0.377920,,,,,,,,,,,,,,,,,,,,,,,,,,,
