Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
Capture Frame Rate,240.000000,,,,,,,nan,,,,,,,,nan,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,battery_state,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,gripper_state,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,chisel_state,C1_X,C1_Y,C1_Z,C3_X,C3_Y,C3_Z,A1_X,A1_Y,A1_Z,B3_X,B3_Y,B3_Z,A3_X,A3_Y,A3_Z,A2_X,A2_Y,A2_Z,B2_X,B2_Y,B2_Z,B1_X,B1_Y,B1_Z,C2_X,C2_Y,C2_Z
0.004167,0.300379,0.038834,0.138633,-0.999999,4.9e-05,-0.00135,-3.8e-05,-1,0.233569,0.273534,0.17344,-0.405419,-0.5724,-0.678336,0.218753,-1,0.109406,0.144872,0.216271,-0.489461,0.003203,-0.870988,-0.042392,-1,0.378012,-0.107407,0.133902,0.225661,-0.107784,0.132077,0.380983,0.197662,0.130692,0.223256,0.038956,0.12644,0.21882,0.195554,0.128407,0.298376,0.198008,0.129816,0.299072,0.039241,0.124832,0.38056,0.039038,0.124023,0.298755,-0.107842,0.132519
0.008333,0.300373,0.038847,0.138598,-0.999999,3e-05,-0.001311,-3.5e-05,-1,0.233638,0.273547,0.173428,-0.405532,-0.572419,-0.678321,0.218544,-1,0.109427,0.144915,0.21616,-0.489338,0.00313,-0.87105,-0.042553,-1,0.378009,-0.107394,0.133878,0.225662,-0.10777,0.132078,0.380967,0.197677,0.130665,0.223247,0.038969,0.126432,0.218783,0.195577,0.128368,0.298371,0.198023,0.129778,0.299061,0.039254,0.124813,0.380555,0.039058,0.124005,0.298739,-0.107834,0.132501
0.012500,0.300353,0.038837,0.138543,-0.999999,-8e-06,-0.001226,-8.6e-05,-1,0.233697,0.273524,0.17342,-0.405694,-0.572394,-0.678296,0.218384,-1,0.109438,0.144943,0.216049,-0.48922,0.002978,-0.871108,-0.042747,-1,0.378003,-0.107396,0.133862,0.225657,-0.107781,0.132051,0.380954,0.19768,0.130639,0.223235,0.038974,0.126406,0.218755,0.195604,0.128312,0.298348,0.198031,0.129747,0.299043,0.03926,0.124797,0.380542,0.039066,0.123996,0.298737,-0.107829,0.132475
0.016667,0.30034,0.038843,0.138506,-0.999999,-2.1e-05,-0.001167,-0.0001,-1,0.233744,0.27351,0.173418,-0.405839,-0.572406,-0.678237,0.218268,-1,0.109412,0.145012,0.215904,-0.488983,0.002242,-0.871213,-0.043342,-1,0.377983,-0.107378,0.133863,0.225639,-0.107777,0.132062,0.380915,0.197704,0.130613,0.223217,0.038987,0.126401,0.218695,0.195633,0.128261,0.298328,0.198051,0.129738,0.299012,0.039263,0.124774,0.380528,0.039083,0.123988,0.298717,-0.107822,0.13248
0.020833,0.300319,0.038826,0.138477,-0.999999,-5.9e-05,-0.001115,-0.000147,-1,0.233789,0.273473,0.173413,-0.405971,-0.572414,-0.678179,0.218181,-1,0.109429,0.145006,0.215809,-0.488881,0.002014,-0.871264,-0.043488,-1,0.377976,-0.107383,0.133851,0.225637,-0.107786,0.132051,0.380909,0.197712,0.130589,0.223211,0.038989,0.126392,0.218655,0.195651,0.12822,0.298316,0.198052,0.12971,0.299004,0.039264,0.124762,0.380521,0.03908,0.123967,0.298706,-0.107823,0.13247
0.025000,0.300325,0.03883,0.138472,-0.999999,-5.7e-05,-0.001118,-0.000153,-1,0.233843,0.273435,0.173428,-0.406117,-0.572418,-0.678098,0.21815,-1,0.109476,0.144979,0.215741,-0.488818,0.001669,-0.871294,-0.043611,-1,0.377981,-0.107384,0.133851,0.225633,-0.107782,0.132047,0.380907,0.197727,0.130572,0.223213,0.038998,0.126384,0.218636,0.195677,0.128179,0.298313,0.198063,0.129697,0.299011,0.03928,0.124749,0.380525,0.03909,0.12397,0.298711,-0.107835,0.132452
0.029167,0.300363,0.038842,0.138446,-0.999999,-3.4e-05,-0.001083,-0.000105,-1,0.233891,0.27339,0.17343,-0.406196,-0.572404,-0.678054,0.218178,-1,0.109528,0.144943,0.215661,-0.488735,0.001408,-0.871337,-0.043674,-1,0.377994,-0.107401,0.133842,0.225649,-0.107796,0.132039,0.380931,0.19772,0.130569,0.223232,0.038986,0.126374,0.218653,0.195683,0.128148,0.298332,0.198042,0.129662,0.299032,0.039273,0.124742,0.38055,0.039086,0.123969,0.298732,-0.107835,0.132453
0.033333,0.300379,0.038845,0.138465,-0.999999,-3.1e-05,-0.001128,-0.000105,-1,0.233953,0.273414,0.173434,-0.406204,-0.572425,-0.678079,0.218029,-1,0.109577,0.144916,0.215606,-0.488676,0.001451,-0.871379,-0.043518,-1,0.378008,-0.107401,0.133846,0.225658,-0.107811,0.132046,0.38094,0.197725,0.130582,0.223251,0.039,0.12637,0.218673,0.195671,0.1282,0.298351,0.198059,0.129692,0.299055,0.03928,0.124753,0.380565,0.039096,0.123974,0.298747,-0.107838,0.13246
