Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
Capture Frame Rate,240.000000,,,,,,,nan,,,,,,,,nan,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,battery_state,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,gripper_state,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,chisel_state,C1_X,C1_Y,C1_Z,C3_X,C3_Y,C3_Z,A1_X,A1_Y,A1_Z,B3_X,B3_Y,B3_Z,A3_X,A3_Y,A3_Z,A2_X,A2_Y,A2_Z,B2_X,B2_Y,B2_Z,B1_X,B1_Y,B1_Z,C2_X,C2_Y,C2_Z
0.008333,0.300677,0.038361,0.13792,-0.999999,0.000109,0.000235,-0.001131,-1,0.075227,-0.304002,0.312044,-0.530134,0.096084,-0.827491,-0.158065,-1,0.084175,-0.08615,0.248,-0.463706,-0.152968,-0.856016,0.169751,-1,0.378001,-0.107565,0.133662,0.225709,-0.10804,0.133184,0.38092,0.197613,0.130699,0.22327,0.038942,0.12617,0.21871,0.19587,0.128194,0.298311,0.197789,0.12965,0.29914,0.039209,0.124713,0.380582,0.038981,0.124157,0.298704,-0.107989,0.132794
0.012500,0.300659,0.038354,0.13789,-0.999999,9.7e-05,0.000333,-0.001114,-1,0.075208,-0.304021,0.312014,-0.53009,0.095924,-0.827516,-0.15818,-1,0.084101,-0.086184,0.248055,-0.463817,-0.153237,-0.855928,0.169646,-1,0.377979,-0.107583,0.133663,0.225691,-0.108049,0.133193,0.380907,0.197606,0.130706,0.223254,0.038929,0.126175,0.2187,0.195866,0.128202,0.298299,0.197776,0.129648,0.299124,0.039206,0.12472,0.380562,0.038974,0.124163,0.298684,-0.108003,0.132804
0.016667,0.300635,0.038356,0.137895,-0.999999,0.000102,0.00033,-0.001113,-1,0.075176,-0.304044,0.311991,-0.530052,0.095785,-0.827544,-0.158246,-1,0.084027,-0.086155,0.248048,-0.463809,-0.153265,-0.855948,0.169539,-1,0.377953,-0.107579,0.13366,0.22567,-0.108056,0.133185,0.380885,0.197599,0.130702,0.223221,0.038934,0.126169,0.218673,0.195859,0.128202,0.298274,0.197765,0.129653,0.299093,0.039211,0.124724,0.380543,0.038977,0.124162,0.298656,-0.108,0.132812
0.020833,0.300613,0.038303,0.137735,-0.999999,0.00012,0.000659,-0.001219,-1,0.075156,-0.304054,0.311962,-0.530043,0.095655,-0.827544,-0.158354,-1,0.083959,-0.086142,0.248034,-0.463787,-0.153192,-0.855979,0.169509,-1,0.377938,-0.107572,0.133659,0.225646,-0.108054,0.133193,0.380867,0.197588,0.130704,0.223209,0.038934,0.12616,0.218656,0.195851,0.128192,0.298259,0.197763,0.129645,0.299071,0.03921,0.124708,0.380526,0.038979,0.124161,0.298636,-0.107986,0.132802
0.025000,0.300585,0.038345,0.13787,-0.999999,8.1e-05,0.000369,-0.001169,-1,0.075101,-0.304057,0.311918,-0.529937,0.095518,-0.827606,-0.158465,-1,0.083903,-0.086112,0.248033,-0.463838,-0.153248,-0.855966,0.169385,-1,0.377909,-0.107557,0.133656,0.225636,-0.108051,0.133182,0.380855,0.197593,0.130697,0.22319,0.038943,0.126147,0.218642,0.195857,0.128188,0.298245,0.197768,0.129639,0.299047,0.039217,0.12471,0.380507,0.038992,0.124164,0.298618,-0.107967,0.132813
0.029167,0.300594,0.038364,0.137846,-0.999999,0.00011,0.000366,-0.001092,-1,0.075098,-0.304059,0.311897,-0.529979,0.095407,-0.827568,-0.158589,-1,0.083865,-0.08609,0.248015,-0.463881,-0.153151,-0.855971,0.169329,-1,0.377909,-0.107558,0.133657,0.225637,-0.108075,0.133175,0.380865,0.197581,0.130692,0.22318,0.038942,0.126131,0.218641,0.195846,0.12817,0.298251,0.197761,0.129632,0.299046,0.039214,0.124683,0.380502,0.038989,0.12415,0.298607,-0.107966,0.132797
0.033333,0.300605,0.038364,0.137843,-0.999999,9.8e-05,0.000338,-0.001101,-1,0.075082,-0.304049,0.311872,-0.529941,0.095244,-0.827579,-0.158754,-1,0.083843,-0.086057,0.24801,-0.463939,-0.153088,-0.855966,0.169255,-1,0.377911,-0.107559,0.133629,0.225651,-0.108071,0.133158,0.380869,0.197578,0.13068,0.223187,0.038944,0.126118,0.218655,0.195846,0.128162,0.298256,0.197762,0.129614,0.299053,0.039214,0.124666,0.380513,0.038994,0.124128,0.298617,-0.107966,0.132758
0.037500,0.300641,0.038319,0.137672,-0.999999,0.000133,0.000646,-0.001145,-1,0.075081,-0.304061,0.311833,-0.529891,0.095135,-0.827599,-0.158888,-1,0.083825,-0.086034,0.247985,-0.46397,-0.152957,-0.855978,0.169225,-1,0.377933,-0.107569,0.133606,0.225682,-0.108088,0.13315,0.380894,0.197572,0.130651,0.223207,0.038937,0.126106,0.218684,0.195829,0.12813,0.298283,0.197747,0.129603,0.299079,0.03921,0.124641,0.380533,0.038983,0.124113,0.298635,-0.107974,0.13274
