Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
Capture Frame Rate,240.000000,,,,,,,nan,,,,,,,,nan,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,battery_state,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,gripper_state,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,chisel_state,B1_X,B1_Y,B1_Z,C3_X,C3_Y,C3_Z,C1_X,C1_Y,C1_Z,B3_X,B3_Y,B3_Z,C2_X,C2_Y,C2_Z,B2_X,B2_Y,B2_Z,A3_X,A3_Y,A3_Z,A2_X,A2_Y,A2_Z,A1_X,A1_Y,A1_Z
0.004167,0.300411,0.038792,0.138853,-0.999998,-0.000222,-0.002064,-0.000118,-1,0.243647,0.329021,0.208785,-0.431941,-0.521898,-0.687468,0.261607,-1,3.1e-05,0.168408,0.27765,-0.555548,0.057706,-0.82908,-0.025739,-1,0.380652,0.039096,0.123427,0.225684,-0.107713,0.133134,0.378021,-0.107418,0.134111,0.223322,0.039068,0.12485,0.298685,-0.107825,0.132693,0.299195,0.039324,0.123734,0.218753,0.195969,0.127855,0.298341,0.197963,0.129747,0.380937,0.197642,0.130864
0.008333,0.300385,0.038829,0.138752,-0.999998,-0.000271,-0.001885,-0.000137,-1,0.243747,0.328987,0.208936,-0.432252,-0.521719,-0.687318,0.261844,-1,0.000217,0.168403,0.27756,-0.555483,0.057464,-0.82914,-0.025768,-1,0.380625,0.039151,0.123392,0.225726,-0.107992,0.132871,0.377993,-0.1074,0.134101,0.22329,0.039087,0.124845,0.298658,-0.107809,0.132662,0.299155,0.039356,0.123735,0.218723,0.196022,0.127805,0.298304,0.198018,0.129697,0.380899,0.197706,0.13081
0.012500,0.300416,0.038788,0.138583,-0.999999,-0.000275,-0.001581,-0.00014,-1,0.243839,0.32889,0.209097,-0.432614,-0.521446,-0.687154,0.26222,-1,0.000417,0.168391,0.277437,-0.555384,0.057186,-0.829224,-0.02583,-1,0.380601,0.039178,0.123355,0.225749,-0.107986,0.132873,0.37799,-0.107374,0.134079,0.223279,0.039104,0.124804,0.298645,-0.10778,0.132645,0.299141,0.039382,0.123716,0.218697,0.196052,0.127763,0.298275,0.198038,0.129642,0.380871,0.197732,0.13077
0.029167,0.300354,0.03889,0.138777,-0.999998,-0.000198,-0.001932,-6.9e-05,-1,0.244076,0.328499,0.209716,-0.433253,-0.520185,-0.687056,0.263921,-1,0.001271,0.168381,0.276655,-0.554327,0.057565,-0.829916,-0.025433,-1,0.380583,0.039145,0.123413,0.225726,-0.107919,0.132846,0.377982,-0.107328,0.134088,0.223272,0.03916,0.124814,0.298637,-0.107749,0.132647,0.299157,0.039428,0.123715,0.218674,0.196032,0.127802,0.298263,0.198014,0.129698,0.380858,0.197706,0.130821
0.033333,0.300362,0.038843,0.138849,-0.999998,-0.000161,-0.002009,-5.4e-05,-1,0.244106,0.328457,0.209796,-0.433042,-0.519928,-0.687292,0.264157,-1,0.001489,0.168376,0.276467,-0.554009,0.057896,-0.830108,-0.025362,-1,0.380595,0.039099,0.12347,0.225652,-0.107657,0.133146,0.377979,-0.10737,0.134133,0.223279,0.039123,0.124857,0.298642,-0.107783,0.132702,0.299159,0.039386,0.123753,0.218705,0.195981,0.127866,0.298287,0.197963,0.129771,0.380881,0.197655,0.13088
0.037500,0.300384,0.038777,0.138942,-0.999998,-0.000109,-0.00215,-5.8e-05,-1,0.244155,0.328432,0.209823,-0.432725,-0.519742,-0.687591,0.264266,-1,0.001732,0.168361,0.276267,-0.553717,0.058292,-0.830276,-0.025329,-1,0.380625,0.039036,0.123504,0.225671,-0.107727,0.13317,0.377996,-0.107432,0.134162,0.223309,0.039052,0.124887,0.298665,-0.107855,0.132738,0.299178,0.039301,0.12378,0.218742,0.195921,0.127916,0.298334,0.1979,0.129818,0.380936,0.197583,0.130928
0.041667,0.300391,0.038727,0.139169,-0.999996,8.8e-05,-0.002761,-7.6e-05,-1,0.244223,0.328081,0.210027,-0.432959,-0.519194,-0.687434,0.265366,-1,0.001979,0.168358,0.276069,-0.55342,0.058526,-0.830455,-0.025419,-1,0.38065,0.038983,0.123532,0.225684,-0.107794,0.133197,0.378011,-0.107508,0.134181,0.223332,0.038994,0.124914,0.298678,-0.107914,0.132759,0.299193,0.039247,0.1238,0.218775,0.195873,0.12796,0.29837,0.19785,0.129872,0.380987,0.197516,0.130996
0.045833,0.300381,0.038649,0.139264,-0.999996,0.000154,-0.002962,-0.000146,-1,0.244267,0.32799,0.210085,-0.432779,-0.518884,-0.687673,0.265645,-1,0.002287,0.16845,0.275885,-0.553321,0.058774,-0.830487,-0.025957,-1,0.380667,0.038931,0.123541,0.225699,-0.107845,0.133188,0.378021,-0.107556,0.134191,0.223346,0.038937,0.124906,0.298696,-0.107968,0.132759,0.299205,0.039194,0.123801,0.218801,0.19582,0.127996,0.298404,0.197798,0.129905,0.381013,0.197458,0.13101
0.050000,0.300362,0.038624,0.139283,-0.999996,0.000158,-0.002983,-0.00018,-1,0.244301,0.328067,0.210054,-0.432319,-0.518889,-0.688014,0.265502,-1,0.002521,0.168465,0.275742,-0.553229,0.059316,-0.830517,-0.025729,-1,0.380655,0.038912,0.123544,0.225686,-0.107858,0.133196,0.378011,-0.107574,0.134193,0.223345,0.03892,0.124913,0.298678,-0.107983,0.132765,0.299186,0.039174,0.123797,0.218801,0.195793,0.12802,0.298405,0.197768,0.129936,0.381003,0.197441,0.131035
0.058333,0.300334,0.038686,0.139201,-0.999996,0.000169,-0.002886,-0.000161,-1,0.244293,0.327943,0.210119,-0.432163,-0.518431,-0.688186,0.266204,-1,0.003049,0.16844,0.27563,-0.553382,0.058265,-0.830464,-0.026514,-1,0.380626,0.038947,0.123546,0.225669,-0.107792,0.133162,0.377998,-0.107503,0.134147,0.223319,0.038987,0.124883,0.298663,-0.107922,0.132729,0.299171,0.039238,0.123769,0.21875,0.195838,0.127981,0.298351,0.197808,0.129894,0.380957,0.19747,0.131006
