Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
chisel_x,chisel_y,chisel_z,chisel_w,chisel_X,chisel_Y,chisel_Z,gripper_x,gripper_y,gripper_z,gripper_w,gripper_X,gripper_Y,gripper_Z,battery_x,battery_y,battery_z,battery_w,battery_X,battery_Y,battery_Z,A2_X,A2_Y,A2_Z,A1_X,A1_Y,A1_Z,A3_X,A3_Y,A3_Z,B2_X,B2_Y,B2_Z,B3_X,B3_Y,B3_Z,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,B1_X,B1_Y,B1_Z
-0.910988,0.007627,-0.015805,-0.412059,-0.104964,0.157010,0.211108,-0.822737,-0.255184,-0.055016,-0.504934,-0.283803,0.254639,0.228007,-0.000572,-0.000047,0.000031,-1.000000,0.038815,0.138283,0.300252,0.198064,0.129188,0.298365,0.197766,0.130633,0.380960,0.196018,0.127784,0.218782,0.039387,0.124982,0.299142,0.038973,0.126418,0.223243,-0.107440,0.133734,0.378032,-0.107855,0.131894,0.298777,-0.107663,0.133402,0.225755,0.039118,0.124214,0.380598
-0.911051,0.007686,-0.015624,-0.411925,-0.104991,0.156833,0.211121,-0.822757,-0.255235,-0.055029,-0.504875,-0.283787,0.254637,0.227985,-0.000558,-0.000037,0.000027,-1.000000,0.038812,0.138257,0.300253,0.198055,0.129165,0.298358,0.197772,0.130604,0.380953,0.196003,0.127766,0.218789,0.039378,0.124962,0.299144,0.038962,0.126400,0.223249,-0.107444,0.133706,0.378022,-0.107859,0.131868,0.298776,-0.107676,0.133366,0.225750,0.039112,0.124194,0.380605
-0.911124,0.007728,-0.015462,-0.411770,-0.105000,0.156661,0.211113,-0.822875,-0.255423,-0.055083,-0.504581,-0.283717,0.254625,0.227888,-0.000537,-0.000034,0.000026,-1.000000,0.038814,0.138241,0.300237,0.198066,0.129157,0.298337,0.197771,0.130595,0.380933,0.196004,0.127761,0.218798,0.039386,0.124950,0.299129,0.038956,0.126395,0.223242,-0.107437,0.133700,0.378008,-0.107851,0.131862,0.298755,-0.107675,0.133361,0.225737,0.039119,0.124182,0.380596
-0.911195,0.007778,-0.015284,-0.411619,-0.105026,0.156480,0.211105,-0.822887,-0.255480,-0.055137,-0.504526,-0.283699,0.254635,0.227860,-0.000541,0.000041,0.000053,-1.000000,0.038839,0.138227,0.300242,0.198060,0.129132,0.298326,0.197774,0.130572,0.380919,0.195993,0.127751,0.218792,0.039392,0.124931,0.299122,0.038949,0.126385,0.223236,-0.107439,0.133687,0.377998,-0.107847,0.131844,0.298751,-0.107666,0.133345,0.225724,0.039122,0.124170,0.380581
-0.911256,0.007906,-0.015041,-0.411490,-0.105043,0.156337,0.211094,-0.822877,-0.255518,-0.055159,-0.504522,-0.283676,0.254654,0.227828,-0.000689,0.000003,-0.000017,-1.000000,0.038851,0.138313,0.300203,0.198068,0.129134,0.298297,0.197778,0.130581,0.380893,0.196000,0.127765,0.218776,0.039402,0.124926,0.299098,0.038951,0.126392,0.223224,-0.107430,0.133685,0.377974,-0.107844,0.131855,0.298715,-0.107661,0.133353,0.225701,0.039129,0.124178,0.380557
-0.911324,0.008008,-0.014858,-0.411344,-0.105074,0.156190,0.211087,-0.822863,-0.255573,-0.055214,-0.504509,-0.283667,0.254677,0.227810,-0.000459,-0.000020,0.000013,-1.000000,0.038823,0.138204,0.300203,0.198063,0.129130,0.298298,0.197779,0.130580,0.380891,0.195997,0.127768,0.218769,0.039403,0.124928,0.299090,0.038950,0.126392,0.223222,-0.107432,0.133684,0.377966,-0.107836,0.131846,0.298710,-0.107658,0.133368,0.225697,0.039133,0.124182,0.380555
-0.911403,0.008155,-0.014608,-0.411175,-0.105090,0.156053,0.211077,-0.822914,-0.255652,-0.055268,-0.504382,-0.283639,0.254687,0.227766,-0.000709,0.000069,0.000011,-1.000000,0.038875,0.138323,0.300213,0.198077,0.129140,0.298298,0.197793,0.130582,0.380889,0.196008,0.127788,0.218774,0.039413,0.124935,0.299088,0.038966,0.126418,0.223227,-0.107419,0.133689,0.377965,-0.107836,0.131856,0.298707,-0.107649,0.133364,0.225687,0.039132,0.124200,0.380549
-0.911523,0.008467,-0.014188,-0.410917,-0.105133,0.155882,0.211066,-0.822909,-0.255726,-0.055306,-0.504348,-0.283624,0.254713,0.227768,-0.000461,0.000047,0.000037,-1.000000,0.038857,0.138203,0.300235,0.198080,0.129137,0.298317,0.197795,0.130575,0.380911,0.196016,0.127785,0.218786,0.039412,0.124934,0.299109,0.038977,0.126420,0.223240,-0.107414,0.133690,0.377980,-0.107836,0.131843,0.298719,-0.107638,0.133367,0.225718,0.039138,0.124195,0.380568
-0.911590,0.008809,-0.013741,-0.410776,-0.105165,0.155749,0.211071,-0.823002,-0.255796,-0.055328,-0.504157,-0.283597,0.254716,0.227721,-0.000689,0.000078,-0.000007,-1.000000,0.038906,0.138316,0.300252,0.198105,0.129144,0.298328,0.197810,0.130578,0.380933,0.196031,0.127790,0.218804,0.039433,0.124930,0.299126,0.038991,0.126423,0.223257,-0.107399,0.133694,0.378002,-0.107816,0.131840,0.298734,-0.107622,0.133369,0.225734,0.039150,0.124186,0.380583
-0.911652,0.009251,-0.013208,-0.410647,-0.105226,0.155630,0.211080,-0.822967,-0.255807,-0.055314,-0.504211,-0.283607,0.254748,0.227739,-0.000455,0.000040,0.000036,-1.000000,0.038875,0.138198,0.300270,0.198098,0.129142,0.298352,0.197816,0.130591,0.380953,0.196043,0.127786,0.218815,0.039426,0.124932,0.299153,0.039002,0.126436,0.223274,-0.107400,0.133702,0.378021,-0.107821,0.131860,0.298749,-0.107613,0.133370,0.225755,0.039151,0.124183,0.380604
