Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
Capture Frame Rate,240.000000,,,,,,,nan,,,,,,,,nan,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,battery_state,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,gripper_state,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,chisel_state,C1_X,C1_Y,C1_Z,C3_X,C3_Y,C3_Z,A1_X,A1_Y,A1_Z,B3_X,B3_Y,B3_Z,A3_X,A3_Y,A3_Z,A2_X,A2_Y,A2_Z,B2_X,B2_Y,B2_Z,B1_X,B1_Y,B1_Z,C2_X,C2_Y,C2_Z
0.062500,0.300256,0.038834,0.138259,-1.0,5.8e-05,-0.000556,-5.4e-05,-1,0.193099,-0.232795,0.264581,-0.404907,-0.138397,-0.82989,-0.358022,-1,0.158718,0.081637,0.250502,-0.343961,-0.259654,-0.852037,0.297159,-1,0.378031,-0.107529,0.133712,0.225688,-0.107893,0.131514,0.380858,0.197695,0.130557,0.223284,0.038875,0.125021,0.218588,0.195725,0.127698,0.298252,0.197953,0.129178,0.2991,0.039137,0.123952,0.380649,0.039078,0.123776,0.29858,-0.1077,0.131991
0.066667,0.300273,0.038819,0.138231,-1.0,4.8e-05,-0.000508,-5.7e-05,-1,0.193128,-0.232907,0.264562,-0.405016,-0.138541,-0.829829,-0.357984,-1,0.159048,0.081578,0.250131,-0.343697,-0.257931,-0.853215,0.295582,-1,0.378054,-0.107552,0.133691,0.22571,-0.107901,0.131499,0.380871,0.19769,0.130541,0.223307,0.038874,0.125007,0.218597,0.195712,0.127691,0.298266,0.197935,0.129169,0.299134,0.039142,0.123946,0.380669,0.039063,0.123764,0.298596,-0.107708,0.131981
0.070833,0.300283,0.038812,0.138239,-1.0,5.6e-05,-0.000517,-5.9e-05,-1,0.193146,-0.23302,0.264555,-0.405108,-0.138715,-0.829771,-0.357948,-1,0.159364,0.081567,0.249749,-0.343141,-0.255586,-0.85466,0.294086,-1,0.378065,-0.107556,0.133707,0.225723,-0.107907,0.131518,0.380882,0.197683,0.130556,0.223313,0.038873,0.125009,0.218615,0.195711,0.127695,0.298276,0.197932,0.12918,0.299147,0.039144,0.123956,0.380676,0.039057,0.123783,0.298607,-0.107709,0.131987
0.075000,0.300303,0.038803,0.13823,-1.0,5e-05,-0.00049,-6.2e-05,-1,0.193138,-0.23313,0.264537,-0.405124,-0.138861,-0.829734,-0.357957,-1,0.15982,0.081658,0.249195,-0.342853,-0.253776,-0.856134,0.291693,-1,0.378083,-0.107573,0.133706,0.225741,-0.107925,0.131522,0.380897,0.19768,0.130556,0.223327,0.038859,0.125007,0.218626,0.195702,0.127699,0.298288,0.197913,0.129182,0.299163,0.039123,0.12395,0.380692,0.039041,0.123784,0.298629,-0.107734,0.131986
0.079167,0.300313,0.038806,0.138261,-1.0,4.4e-05,-0.000555,-6.7e-05,-1,0.193097,-0.233222,0.264524,-0.405064,-0.138964,-0.829728,-0.357998,-1,0.160037,0.081652,0.248664,-0.341851,-0.251388,-0.857849,0.28989,-1,0.378093,-0.107565,0.133712,0.225753,-0.107922,0.131525,0.380904,0.19767,0.130566,0.22333,0.038842,0.125031,0.218641,0.195704,0.127712,0.298304,0.197916,0.129193,0.299168,0.039121,0.12395,0.380703,0.03904,0.123793,0.298646,-0.107735,0.131988
0.083333,0.300347,0.038801,0.138265,-1.0,3.8e-05,-0.000578,-7.6e-05,-1,0.193043,-0.233309,0.264489,-0.404906,-0.139027,-0.829758,-0.358083,-1,0.160159,0.081566,0.248156,-0.340738,-0.24894,-0.859583,0.288172,-1,0.378128,-0.10756,0.133716,0.225789,-0.107925,0.131533,0.380935,0.19767,0.130567,0.223359,0.03883,0.125018,0.218671,0.195702,0.127707,0.298331,0.197914,0.129183,0.299191,0.039106,0.123948,0.380733,0.039034,0.123782,0.298679,-0.107738,0.131982
0.087500,0.300364,0.038806,0.138276,-1.0,4.7e-05,-0.000604,-7.7e-05,-1,0.192928,-0.233372,0.264445,-0.404599,-0.139009,-0.829877,-0.358163,-1,0.160566,0.081694,0.247483,-0.340004,-0.24684,-0.861367,0.285506,-1,0.378142,-0.107537,0.133721,0.225817,-0.107907,0.131539,0.380969,0.19768,0.13057,0.22339,0.038836,0.125038,0.218702,0.195709,0.127713,0.298353,0.197917,0.129184,0.299211,0.039107,0.123965,0.380752,0.039046,0.123784,0.298697,-0.107735,0.131987
0.091667,0.300382,0.038807,0.138262,-1.0,6.3e-05,-0.000577,-8.1e-05,-1,0.192867,-0.233448,0.264415,-0.404468,-0.13905,-0.829899,-0.358244,-1,0.160785,0.081734,0.246843,-0.338816,-0.244238,-0.86329,0.28334,-1,0.378154,-0.107545,0.13371,0.22583,-0.107905,0.131539,0.380985,0.197677,0.130574,0.223406,0.038832,0.125049,0.218721,0.195714,0.1277,0.298373,0.197912,0.129183,0.299225,0.039109,0.123967,0.380767,0.039044,0.123779,0.298714,-0.107735,0.131987
0.095833,0.300363,0.038813,0.138274,-1.0,4.5e-05,-0.000584,-8.9e-05,-1,0.192745,-0.233506,0.264368,-0.404226,-0.139078,-0.82999,-0.358295,-1,0.160917,0.081769,0.246203,-0.337304,-0.240923,-0.865428,0.281455,-1,0.378135,-0.107529,0.133723,0.225807,-0.107897,0.131549,0.380965,0.197695,0.130581,0.223389,0.038829,0.125066,0.218704,0.195722,0.12771,0.298358,0.197927,0.129196,0.299212,0.039106,0.12398,0.380747,0.039058,0.123781,0.298692,-0.107737,0.131993
0.100000,0.300334,0.038811,0.138294,-1.0,5.5e-05,-0.00061,-8.3e-05,-1,0.192656,-0.233579,0.264319,-0.404087,-0.139179,-0.830018,-0.358347,-1,0.161028,0.081755,0.245575,-0.335496,-0.236968,-0.867724,0.2799,-1,0.378102,-0.107531,0.133718,0.225776,-0.107903,0.131545,0.380936,0.197683,0.130577,0.223353,0.038832,0.125058,0.218668,0.195715,0.127728,0.298326,0.197924,0.129201,0.299172,0.039102,0.123975,0.380722,0.03905,0.123797,0.298666,-0.107738,0.131999
