Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
Capture Frame Rate,240.000000,,,,,,,nan,,,,,,,,nan,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,battery_state,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,gripper_state,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,chisel_state,B1_X,B1_Y,B1_Z,C3_X,C3_Y,C3_Z,C1_X,C1_Y,C1_Z,B3_X,B3_Y,B3_Z,C2_X,C2_Y,C2_Z,B2_X,B2_Y,B2_Z,A3_X,A3_Y,A3_Z,A2_X,A2_Y,A2_Z,A1_X,A1_Y,A1_Z
0.004167,0.299898,0.03907,0.138166,-1.0,0.000244,4.8e-05,0.000634,-1,0.171234,0.314715,0.31609,-0.546385,-0.427278,-0.668914,0.267304,-1,-0.064474,0.147412,0.339732,-0.626819,0.054645,-0.773537,-0.075837,-1,0.3804,0.039017,0.124198,0.225609,-0.107826,0.134478,0.377838,-0.107528,0.133921,0.223123,0.03891,0.126504,0.298496,-0.107899,0.133079,0.298912,0.039181,0.12492,0.218661,0.19583,0.128765,0.298206,0.197915,0.130202,0.380858,0.197765,0.131118
0.008333,0.299922,0.038969,0.137527,-0.999999,0.000467,0.001367,0.000539,-1,0.171196,0.31456,0.31601,-0.546043,-0.427301,-0.669067,0.267583,-1,-0.06443,0.147427,0.339771,-0.626737,0.054796,-0.773604,-0.075728,-1,0.380412,0.039003,0.124204,0.225604,-0.107841,0.13448,0.37785,-0.107535,0.133933,0.223137,0.038901,0.126519,0.298509,-0.107912,0.133089,0.298934,0.039174,0.124943,0.218679,0.195821,0.128793,0.298219,0.197905,0.130231,0.380857,0.197753,0.131125
0.012500,0.299928,0.038961,0.137515,-0.999999,0.000491,0.001394,0.000529,-1,0.171167,0.314405,0.315949,-0.54576,-0.427279,-0.669185,0.267899,-1,-0.064387,0.14745,0.339823,-0.626675,0.055003,-0.773655,-0.075575,-1,0.380422,0.039002,0.124209,0.225608,-0.107848,0.13448,0.377859,-0.107531,0.133926,0.223143,0.0389,0.126526,0.298522,-0.107914,0.133096,0.298942,0.039174,0.12496,0.218691,0.195821,0.128807,0.298233,0.197905,0.130237,0.380864,0.197743,0.131118
0.016667,0.299913,0.038938,0.137726,-0.999999,0.000683,0.000753,0.000484,-1,0.171161,0.314253,0.315882,-0.545502,-0.427219,-0.669324,0.268174,-1,-0.064335,0.147476,0.339876,-0.6266,0.055245,-0.773714,-0.075413,-1,0.380442,0.038999,0.124232,0.225614,-0.107852,0.134477,0.377881,-0.107534,0.13395,0.223159,0.03889,0.126541,0.298535,-0.107925,0.13311,0.298954,0.039154,0.124977,0.218708,0.195813,0.128821,0.298248,0.197894,0.130254,0.380869,0.197743,0.131125
0.020833,0.299917,0.038945,0.137714,-0.999999,0.00072,0.000779,0.00048,-1,0.171145,0.314107,0.315804,-0.545228,-0.427197,-0.669444,0.268467,-1,-0.064293,0.147513,0.339895,-0.626458,0.055423,-0.773828,-0.07529,-1,0.380437,0.038991,0.124233,0.225631,-0.107839,0.134471,0.377888,-0.107543,0.133967,0.223169,0.038891,0.126545,0.298542,-0.107929,0.133104,0.298956,0.039154,0.12498,0.218719,0.195797,0.128842,0.298256,0.197887,0.130277,0.380879,0.197753,0.131124
0.025000,0.299927,0.038941,0.137729,-0.999999,0.000753,0.000744,0.000473,-1,0.171149,0.313983,0.3157,-0.54491,-0.427174,-0.669648,0.268642,-1,-0.064241,0.147539,0.339933,-0.626329,0.055547,-0.773929,-0.075241,-1,0.380463,0.038974,0.124249,0.225649,-0.107854,0.134465,0.377903,-0.107558,0.133972,0.22319,0.038874,0.126564,0.29856,-0.107944,0.133122,0.298976,0.039139,0.124997,0.218744,0.195786,0.128858,0.298272,0.197878,0.130295,0.380895,0.197752,0.131121
0.029167,0.299964,0.038956,0.137753,-0.999999,0.000826,0.000632,0.000549,-1,0.17115,0.313833,0.315617,-0.54465,-0.427163,-0.669749,0.268932,-1,-0.064177,0.147574,0.339956,-0.626197,0.055564,-0.774031,-0.075273,-1,0.380486,0.038977,0.124239,0.225676,-0.10784,0.134463,0.377927,-0.107557,0.133973,0.223198,0.038872,0.12656,0.298584,-0.107947,0.133114,0.299005,0.039135,0.12499,0.218763,0.195792,0.128854,0.298298,0.197872,0.13029,0.380914,0.197752,0.13111
0.033333,0.299991,0.038957,0.13773,-0.999999,0.000808,0.000677,0.000549,-1,0.171148,0.313678,0.315513,-0.544372,-0.427193,-0.669846,0.269203,-1,-0.064115,0.147596,0.339977,-0.626052,0.055503,-0.774146,-0.075347,-1,0.380508,0.038964,0.124231,0.225698,-0.107854,0.134447,0.377949,-0.107558,0.133953,0.223216,0.038867,0.126544,0.298604,-0.10796,0.133103,0.299029,0.039133,0.124974,0.21878,0.195785,0.128847,0.298313,0.197863,0.130273,0.380942,0.197752,0.131088
0.037500,0.299989,0.039052,0.138362,-1.0,0.000576,-0.000636,0.000648,-1,0.171147,0.313496,0.315453,-0.544243,-0.427219,-0.669801,0.269538,-1,-0.064203,0.148009,0.339564,-0.62484,0.0521,-0.774965,-0.079306,-1,0.380514,0.038984,0.124199,0.225702,-0.10784,0.134439,0.377955,-0.107552,0.133925,0.223224,0.038882,0.126531,0.298611,-0.107941,0.133082,0.29903,0.03914,0.124956,0.218779,0.195797,0.12881,0.298309,0.197876,0.130252,0.380941,0.197761,0.131067
0.041667,0.299989,0.039061,0.138128,-1.0,0.000339,7.1e-05,0.000621,-1,0.171115,0.313347,0.315346,-0.543973,-0.427274,-0.66988,0.269798,-1,-0.064173,0.14803,0.339594,-0.624713,0.052135,-0.775066,-0.079298,-1,0.380497,0.03899,0.124183,0.225688,-0.107845,0.134423,0.377941,-0.107557,0.133914,0.223215,0.038885,0.126516,0.298596,-0.107937,0.133068,0.299008,0.039142,0.124955,0.218748,0.195803,0.128784,0.29829,0.197883,0.13023,0.380937,0.197767,0.131063
