Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
Capture Frame Rate,240.000000,,,,,,,nan,,,,,,,,nan,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,battery_state,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,gripper_state,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,chisel_state,B1_X,B1_Y,B1_Z,C3_X,C3_Y,C3_Z,C1_X,C1_Y,C1_Z,B3_X,B3_Y,B3_Z,C2_X,C2_Y,C2_Z,B2_X,B2_Y,B2_Z,A3_X,A3_Y,A3_Z,A2_X,A2_Y,A2_Z,A1_X,A1_Y,A1_Z
0.004167,0.300543,0.03848,0.138273,-0.999999,-7.1e-05,-0.000729,-0.000898,-1,0.113849,-0.258056,0.302757,-0.527439,0.195973,-0.797064,-0.219299,-1,0.024946,-0.050355,0.282592,-0.484078,-0.093473,-0.848131,0.193919,-1,0.38055,0.039032,0.123916,0.225671,-0.108074,0.132983,0.377951,-0.107538,0.133923,0.223226,0.038976,0.125912,0.298654,-0.10801,0.132335,0.299069,0.039229,0.124488,0.218644,0.195788,0.128021,0.298294,0.197752,0.129574,0.380922,0.197638,0.130921
0.008333,0.300537,0.038501,0.138216,-0.999999,-7.3e-05,-0.000646,-0.000879,-1,0.113887,-0.25781,0.302474,-0.527387,0.195836,-0.797081,-0.219485,-1,0.0251,-0.050296,0.282651,-0.483967,-0.093053,-0.84816,0.194271,-1,0.380535,0.039058,0.123891,0.225658,-0.108069,0.132978,0.377933,-0.107509,0.133876,0.223203,0.039002,0.125888,0.298646,-0.107999,0.132322,0.299053,0.039259,0.124465,0.218639,0.195802,0.128003,0.298297,0.197773,0.129565,0.3809,0.197658,0.130901
0.012500,0.300526,0.038531,0.138172,-1.0,-8.3e-05,-0.000592,-0.000864,-1,0.114034,-0.257577,0.302304,-0.527624,0.195611,-0.796948,-0.219599,-1,0.025255,-0.050248,0.282708,-0.483884,-0.092801,-0.84818,0.194513,-1,0.380528,0.039085,0.123877,0.225663,-0.108051,0.132976,0.377916,-0.107478,0.133865,0.223187,0.039022,0.125871,0.298655,-0.107983,0.132316,0.299027,0.039292,0.124446,0.218646,0.195816,0.127996,0.2983,0.197779,0.12956,0.380886,0.197693,0.130877
0.016667,0.300543,0.038596,0.138146,-1.0,-6.1e-05,-0.000527,-0.000746,-1,0.11404,-0.257408,0.302015,-0.527275,0.195577,-0.797164,-0.21968,-1,0.025389,-0.05017,0.282729,-0.483804,-0.092844,-0.848228,0.194483,-1,0.380512,0.039107,0.123878,0.225661,-0.108037,0.132982,0.377907,-0.107456,0.133857,0.22318,0.039044,0.125869,0.298638,-0.10797,0.132328,0.299018,0.039317,0.124444,0.218648,0.195836,0.128008,0.298297,0.197798,0.12956,0.380875,0.197715,0.130869
0.020833,0.300509,0.038601,0.138184,-1.0,-5.1e-05,-0.000606,-0.000811,-1,0.114012,-0.257207,0.301738,-0.526792,0.195646,-0.797412,-0.219879,-1,0.025503,-0.050079,0.282728,-0.483766,-0.093224,-0.848266,0.194228,-1,0.380493,0.03913,0.123876,0.225654,-0.108013,0.132984,0.377901,-0.107425,0.133862,0.223166,0.03907,0.125865,0.298637,-0.107953,0.132349,0.299003,0.039352,0.124444,0.218645,0.195846,0.128005,0.29829,0.197814,0.129553,0.380872,0.197745,0.130873
0.025000,0.300508,0.038601,0.138177,-1.0,-3.2e-05,-0.000551,-0.00081,-1,0.113996,-0.257032,0.301493,-0.526299,0.195762,-0.797652,-0.220089,-1,0.025618,-0.04999,0.282716,-0.483754,-0.093757,-0.848308,0.19382,-1,0.380493,0.039133,0.123896,0.225646,-0.107997,0.133009,0.377904,-0.107423,0.133886,0.223164,0.039081,0.12589,0.298619,-0.107939,0.132375,0.299005,0.039361,0.12446,0.218636,0.195872,0.128028,0.298282,0.197835,0.12958,0.380873,0.197757,0.130884
0.029167,0.300494,0.038575,0.138198,-1.0,-5.3e-05,-0.000519,-0.000849,-1,0.11403,-0.256904,0.301315,-0.525963,0.195862,-0.797817,-0.220201,-1,0.02572,-0.049919,0.282707,-0.483703,-0.094311,-0.848373,0.19339,-1,0.380488,0.03913,0.123921,0.225634,-0.107996,0.133026,0.377897,-0.107422,0.133918,0.223169,0.039067,0.125924,0.298606,-0.107946,0.132403,0.299006,0.039344,0.124481,0.21862,0.195871,0.128045,0.298266,0.197834,0.129599,0.380879,0.197755,0.130911
0.033333,0.300498,0.038542,0.138231,-1.0,-5.2e-05,-0.00054,-0.000855,-1,0.114098,-0.256774,0.301195,-0.525701,0.195899,-0.797931,-0.220383,-1,0.025805,-0.049836,0.282649,-0.483597,-0.094993,-0.848493,0.192797,-1,0.380494,0.039098,0.123946,0.225613,-0.107988,0.133042,0.377903,-0.107456,0.133928,0.223177,0.039049,0.12595,0.298586,-0.107954,0.132425,0.299022,0.03931,0.124504,0.218608,0.195865,0.128063,0.298256,0.197835,0.129624,0.380884,0.197734,0.130932
0.041667,0.300551,0.038463,0.138135,-1.0,-1e-05,-0.000396,-0.000895,-1,0.114369,-0.256533,0.301006,-0.525394,0.195756,-0.798084,-0.220684,-1,0.02602,-0.049674,0.2825,-0.483433,-0.096154,-0.848701,0.19171,-1,0.380545,0.039052,0.123913,0.225628,-0.108005,0.132993,0.377954,-0.107507,0.133915,0.223222,0.039005,0.125939,0.298587,-0.107966,0.13238,0.299079,0.039259,0.124486,0.218622,0.195858,0.128018,0.298272,0.197834,0.12957,0.380945,0.197689,0.130941
0.045833,0.300541,0.038406,0.138241,-0.999999,0.000146,-0.000822,-0.000965,-1,0.114483,-0.256447,0.300924,-0.525179,0.195734,-0.7982,-0.220798,-1,0.026119,-0.049605,0.28243,-0.483333,-0.096784,-0.848827,0.19109,-1,0.380566,0.03902,0.123905,0.225629,-0.108028,0.132971,0.377972,-0.107546,0.133918,0.223245,0.038967,0.125938,0.298593,-0.107991,0.132377,0.299097,0.039212,0.124482,0.218627,0.195844,0.128,0.298278,0.197802,0.129559,0.380965,0.197655,0.130945
